Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
175;3605.495944;10;10;9;45;50
176;3605.145586;10;10;9;45;50
177;3605.21291;10;10;9;45;50
178;3605.566863;10;10;9;45;50
179;3605.443895;10;10;9;45;50
180;3605.718018;10;10;9;45;50
181;3605.037061;10;10;9;45;50
182;3605.313097;10;10;9;45;50
183;3605.05269;10;10;9;45;50
184;3605.609234;10;10;9;45;50
185;3605.001888;10;10;9;45;50
186;3605.034551;10;10;9;45;50
187;3605.503836;10;10;9;45;50
188;3605.104298;10;10;9;45;50
189;3604.757045;10;10;9;45;50
190;3605.032411;10;10;9;45;50
191;3604.813743;10;10;9;45;50
192;3605.112739;10;10;9;45;50
193;3605.269254;10;10;9;45;50
194;3605.040868;10;10;9;45;50
195;3604.430204;10;10;9;45;50
196;3605.252571;10;10;9;45;50
197;3604.851802;10;10;9;45;50
198;3605.401252;10;10;9;45;50
199;3605.757092;10;10;9;45;50
200;3605.579658;10;10;9;45;50
201;3605.019483;10;10;9;45;50
202;3605.369426;10;10;9;45;50
203;3605.499953;10;10;9;45;50
204;3605.005958;10;10;9;45;50
205;3605.368417;10;10;9;45;50
206;3604.982731;10;10;9;45;50
207;3605.646939;10;10;9;45;50
208;3604.845876;10;10;9;45;50
209;3604.512323;10;10;9;45;50
210;3604.313984;10;10;9;45;50
211;3604.315645;10;10;9;45;50
212;3604.6937;10;10;9;45;50
213;3604.657162;10;10;9;45;50
214;3604.763242;10;10;9;45;50
215;3604.484486;10;10;9;45;50
216;3605.397861;10;10;9;45;50
217;3604.88071;10;10;9;45;50
218;3605.277593;10;10;9;45;50
219;3604.640648;10;10;9;45;50
220;3605.089158;10;10;9;45;50
221;3605.154533;10;10;9;45;50
222;3605.879715;10;10;9;45;50
223;3605.228863;10;10;9;45;50
224;3605.200305;10;10;9;45;50
225;3604.851581;10;10;9;45;50
226;3605.259616;10;10;9;45;50
227;3605.256527;10;10;9;45;50
228;3604.693309;10;10;9;45;50
229;3605.113011;10;10;9;45;50
230;3605.078775;10;10;9;45;50
231;3605.127759;10;10;9;45;50
232;3604.907732;10;10;9;45;50
233;3605.279338;10;10;9;45;50
234;3605.214194;10;10;9;45;50
235;3605.22463;10;10;9;45;50
236;3604.555246;10;10;9;45;50
237;3604.709244;10;10;9;45;50
238;3605.167322;10;10;9;45;50
239;3604.332657;10;10;9;45;50
240;3604.94934;10;10;9;45;50
241;3604.912214;10;10;9;45;50
242;3605.239512;10;10;9;45;50
243;3604.812235;10;10;9;45;50
244;3605.492772;10;10;9;45;50
245;3605.004328;10;10;9;45;50
246;3604.743501;10;10;9;45;50
247;3604.921523;10;10;9;45;50
248;3604.336597;10;10;9;45;50
249;3604.772596;10;10;9;45;50
250;3604.47436;10;10;9;45;50
251;3605.729681;10;10;9;45;50
252;3605.455541;10;10;9;45;50
253;3605.279425;10;10;9;45;50
254;3605.061182;10;10;9;45;50
255;3605.531211;10;10;9;45;50
256;3605.583726;10;10;9;45;50
257;3605.151681;10;10;9;45;50
258;3604.672898;10;10;9;45;50
259;3604.890877;10;10;9;45;50
260;3605.041688;10;10;9;45;50
261;3604.859032;10;10;9;45;50
262;3605.211443;10;10;9;45;50
263;3605.094291;10;10;9;45;50
264;3605.102131;10;10;9;45;50
265;3604.96066;10;10;9;45;50
266;3604.913787;10;10;9;45;50
267;3605.042394;10;10;9;45;50
268;3605.408943;10;10;9;45;50
269;3605.170625;10;10;9;45;50
270;3605.830069;10;10;9;45;50
271;3604.531487;10;10;9;45;50
272;3604.588177;10;10;9;45;50
273;3604.548872;10;10;9;45;50
274;3605.029223;10;10;9;45;50
275;3605.216763;10;10;9;45;50
276;3604.764586;10;10;9;45;50
277;3604.8241;10;10;9;45;50
278;3604.967817;10;10;9;45;50
279;3604.826839;10;10;9;45;50
280;3605.181494;10;10;9;45;50
281;3605.277915;10;10;9;45;50
282;3605.127724;10;10;9;45;50
283;3604.931493;10;10;9;45;50
284;3604.382792;10;10;9;45;50
285;3605.236813;10;10;9;45;50
286;3605.029438;10;10;9;45;50
287;3605.286977;10;10;9;45;50
288;3604.609013;10;10;9;45;50
289;3607.750045;10;10;9;45;50
290;3605.150216;10;10;9;45;50
291;3604.864652;10;10;9;45;50
292;3604.339569;10;10;9;45;50
293;3605.029466;10;10;9;45;50
294;3605.10883;10;10;9;45;50
295;3605.008319;10;10;9;45;50
296;3605.058269;10;10;9;45;50
297;3605.062919;10;10;9;45;50
298;3605.90137;10;10;9;45;50
299;3605.246958;10;10;9;45;50
