Id;Texec;expectedH;realH;neededMessages;processedMessages
0;169.383887;1;1;50;93
1;83.850853;1;1;50;93
2;88.901387;1;1;50;93
3;62.732501;1;1;50;93
4;53.100022;1;1;50;93
5;72.783537;1;1;50;93
6;44.471561;1;1;50;93
7;50.375033;1;1;50;93
8;80.048211;1;1;50;93
9;70.332767;1;1;50;93
10;65.252371;1;1;51;93
11;93.341894;1;1;50;93
12;36.114477;1;1;50;93
13;71.474671;1;1;50;93
14;59.151408;1;1;50;93
15;29.428079;1;1;50;93
16;33.881079;1;1;50;93
17;30.039401;1;1;50;93
18;38.623456;1;1;50;93
19;31.788175;1;1;50;93
20;25.555472;1;1;50;93
21;27.388179;1;1;50;93
22;28.251565;1;1;50;93
23;26.899359;1;1;50;93
24;27.56362;1;1;50;93
25;27.481218;1;1;50;93
26;28.837417;1;1;50;93
27;29.96645;1;1;50;93
28;44.246152;1;1;50;93
29;69.646388;1;1;50;93
30;47.654365;1;1;50;93
31;37.276244;1;1;50;93
32;30.990438;1;1;50;93
33;26.442503;1;1;50;93
34;72.423251;1;1;50;93
35;63.870985;1;1;50;93
36;76.458948;1;1;50;93
37;53.254597;1;1;50;93
38;36.099223;1;1;50;93
39;31.243141;1;1;50;93
40;29.330163;1;1;50;93
41;24.591396;1;1;50;93
42;28.584124;1;1;50;93
43;28.15056;1;1;50;93
44;24.085817;1;1;50;93
45;22.117672;1;1;50;93
46;22.613401;1;1;50;93
47;23.392014;1;1;50;93
48;23.982042;1;1;50;93
49;22.836837;1;1;50;93
50;23.02335;1;1;50;93
51;26.905896;1;1;50;93
52;21.847052;1;1;50;93
53;23.56899;1;1;50;93
54;25.017418;1;1;50;93
55;33.712922;1;1;50;93
56;31.758953;1;1;75;93
57;38.149328;1;1;50;93
58;24.891054;1;1;50;93
59;29.030381;1;1;50;93
60;34.718581;1;1;50;93
61;27.727409;1;1;50;93
62;41.741035;1;1;50;93
63;44.938585;1;1;50;93
64;40.183611;1;1;50;93
65;43.500735;1;1;50;93
66;23.058326;1;1;55;93
67;20.868319;1;1;50;93
68;41.651027;1;1;50;93
69;92.404093;1;1;52;93
70;52.11419;1;1;50;93
71;34.874784;1;1;50;93
72;24.836157;1;1;50;93
73;20.471572;1;1;50;93
74;18.718906;1;1;50;93
75;18.178653;1;1;50;93
76;18.229082;1;1;50;93
77;17.634843;1;1;50;93
78;17.615269;1;1;50;93
79;17.987072;1;1;50;93
80;20.027821;1;1;50;93
81;19.568538;1;1;50;93
82;22.647831;1;1;50;93
83;20.140116;1;1;50;93
84;20.951961;1;1;50;93
85;22.425639;1;1;50;93
