Id;Texec;expectedH;realH;neededMessages;processedMessages
0;1330.312993;42;42;1333;1364
1;647.831808;42;42;1333;1364
2;2459.780791;42;42;1333;1364
3;791.80314;42;42;1333;1364
4;899.716133;42;42;1333;1364
5;393.600939;42;42;1333;1364
6;345.514458;42;42;1333;1364
7;348.342926;42;42;1333;1364
8;388.345893;42;42;1333;1364
9;277.994627;42;42;1333;1364
10;278.479261;42;42;1333;1364
11;242.238793;42;42;1333;1364
12;248.432635;42;42;1333;1364
13;247.478842;42;42;1333;1364
14;237.252471;42;42;1333;1364
15;237.602087;42;42;1333;1364
16;235.974842;42;42;1333;1364
17;230.94613;42;42;1333;1364
18;244.656044;42;42;1333;1364
19;236.739816;42;42;1333;1364
20;311.912057;42;42;1333;1364
21;366.762672;42;42;1333;1364
22;446.225808;42;42;1333;1364
23;440.973383;42;42;1333;1364
24;305.252912;42;42;1333;1364
25;261.419478;42;42;1333;1364
26;232.019464;42;42;1333;1364
27;229.4953;42;42;1333;1364
28;223.606622;42;42;1333;1364
29;240.448809;42;42;1333;1364
30;229.729801;42;42;1333;1364
31;230.521814;42;42;1333;1364
32;229.23941;42;42;1333;1364
33;233.764945;42;42;1333;1364
34;236.102226;42;42;1333;1364
35;220.42069;42;42;1333;1364
36;219.895619;42;42;1333;1364
37;229.809889;42;42;1333;1364
38;212.411834;42;42;1333;1364
39;296.973358;42;42;1333;1364
40;425.791911;42;42;1333;1364
41;410.520434;42;42;1333;1364
42;461.929414;42;42;1333;1364
43;289.026766;42;42;1333;1364
44;217.6746;42;42;1333;1364
45;225.91962;42;42;1333;1364
46;215.891726;42;42;1333;1364
47;221.094567;42;42;1333;1364
48;223.93786;42;42;1333;1364
49;213.134103;42;42;1333;1364
50;214.587739;42;42;1333;1364
51;223.305685;42;42;1333;1364
52;223.422209;42;42;1333;1364
53;223.757602;42;42;1333;1364
54;235.481787;42;42;1333;1364
55;221.730859;42;42;1333;1364
56;213.36628;42;42;1333;1364
57;231.215505;42;42;1333;1364
58;213.931227;42;42;1333;1364
59;227.132763;42;42;1333;1364
60;217.85615;42;42;1333;1364
61;213.964917;42;42;1333;1364
62;231.902958;42;42;1333;1364
63;217.90387;42;42;1333;1364
64;226.474001;42;42;1333;1364
65;222.228549;42;42;1333;1364
66;221.574413;42;42;1333;1364
67;228.399034;42;42;1333;1364
68;218.279416;42;42;1333;1364
69;220.235178;42;42;1333;1364
70;284.462651;42;42;1333;1364
71;418.272066;42;42;1333;1364
72;339.202163;42;42;1333;1364
73;438.555264;42;42;1333;1364
74;508.452579;42;42;1333;1364
75;301.761765;42;42;1333;1364
76;207.926692;42;42;1333;1364
77;205.091095;42;42;1333;1364
78;218.03575;42;42;1333;1364
79;215.077235;42;42;1333;1364
80;216.433497;42;42;1333;1364
81;211.928947;42;42;1333;1364
82;212.782694;42;42;1333;1364
83;220.683587;42;42;1333;1364
84;216.373021;42;42;1333;1364
85;217.707376;42;42;1333;1364
86;213.420393;42;42;1333;1364
87;216.791339;42;42;1333;1364
88;215.534781;42;42;1333;1364
89;215.756995;42;42;1333;1364
90;213.90122;42;42;1333;1364
91;224.965334;42;42;1333;1364
92;209.710275;42;42;1333;1364
93;217.426263;42;42;1333;1364
94;206.210017;42;42;1333;1364
95;330.696721;42;42;1333;1364
96;528.489242;42;42;1333;1364
97;619.867805;42;42;1333;1364
98;267.830917;42;42;1333;1364
99;239.203668;42;42;1333;1364
100;205.151249;42;42;1333;1364
101;210.079667;42;42;1333;1364
102;209.322273;42;42;1333;1364
103;212.136993;42;42;1333;1364
104;209.37537;42;42;1333;1364
105;214.61938;42;42;1333;1364
106;209.727431;42;42;1333;1364
107;207.604131;42;42;1333;1364
108;207.796644;42;42;1333;1364
109;212.577748;42;42;1333;1364
110;205.496198;42;42;1333;1364
111;208.063537;42;42;1333;1364
112;212.123537;42;42;1333;1364
113;203.189962;42;42;1333;1364
114;208.731389;42;42;1333;1364
115;202.899207;42;42;1333;1364
116;213.020952;42;42;1333;1364
117;245.851514;42;42;1333;1364
118;211.022572;42;42;1333;1364
119;318.011447;42;42;1333;1364
120;357.551757;42;42;1333;1364
121;325.744945;42;42;1333;1364
122;558.75036;42;42;1333;1364
123;316.802151;42;42;1333;1364
124;211.500917;42;42;1333;1364
125;240.623078;42;42;1333;1364
126;199.286494;42;42;1333;1364
127;204.537119;42;42;1333;1364
128;201.882844;42;42;1333;1364
129;200.812627;42;42;1333;1364
130;201.686008;42;42;1333;1364
131;200.18216;42;42;1333;1364
132;198.75243;42;42;1333;1364
133;198.453516;42;42;1333;1364
134;202.322691;42;42;1333;1364
135;194.495335;42;42;1333;1364
