Id;StartingWallTime;Texec;expectedH;realH
0;2023-01-30T11:40:55.742558990;7435.367046;8;8;1143
1;2023-01-30T11:41:03.279874736;3605.873119;8;8;1143
2;2023-01-30T11:41:06.986134859;2917.110843;8;8;1143
3;2023-01-30T11:41:10.004047406;3131.779433;8;8;1143
4;2023-01-30T11:41:13.236538897;4741.901195;8;8;1143
5;2023-01-30T11:41:18.089604153;4103.262685;8;8;1143
6;2023-01-30T11:41:22.294057216;5876.525201;8;8;1143
7;2023-01-30T11:41:28.270816103;2053.19687;8;8;1143
8;2023-01-30T11:41:30.424143576;2179.428999;8;8;1143
9;2023-01-30T11:41:32.704188050;1699.970621;8;8;1143
10;2023-01-30T11:41:34.504329122;1747.86057;8;8;1143
11;2023-01-30T11:41:36.359555959;2060.30225;8;8;1143
12;2023-01-30T11:41:38.520025759;1939.561927;8;8;1143
13;2023-01-30T11:41:40.559764889;1854.151136;8;8;1143
14;2023-01-30T11:41:42.517512875;2009.884748;8;8;1143
15;2023-01-30T11:41:44.627689478;2292.648383;8;8;1143
16;2023-01-30T11:41:47.020587194;2034.553586;8;8;1143
17;2023-01-30T11:41:49.156776291;1665.428433;8;8;1143
18;2023-01-30T11:41:50.922356619;1706.720919;8;8;1143
19;2023-01-30T11:41:52.729243537;1602.39391;8;8;1143
20;2023-01-30T11:41:54.439470295;2420.67857;8;8;1143
21;2023-01-30T11:41:56.960321799;1623.89042;8;8;1143
22;2023-01-30T11:41:58.688812406;1819.853922;8;8;1143
23;2023-01-30T11:42:00.617510680;1868.934505;8;8;1143
24;2023-01-30T11:42:02.586611018;1838.824375;8;8;1143
25;2023-01-30T11:42:04.525602556;1746.677103;8;8;1143
26;2023-01-30T11:42:06.375696510;1626.289229;8;8;1143
27;2023-01-30T11:42:08.111567634;1595.96253;8;8;1143
28;2023-01-30T11:42:09.807769913;1537.710895;8;8;1143
29;2023-01-30T11:42:11.453482987;1606.908713;8;8;1143
30;2023-01-30T11:42:13.162061821;1751.126078;8;8;1143
31;2023-01-30T11:42:15.021489916;1817.481146;8;8;1143
32;2023-01-30T11:42:16.939149972;1692.732709;8;8;1143
33;2023-01-30T11:42:18.732136534;1691.663418;8;8;1143
34;2023-01-30T11:42:20.523959475;1662.235092;8;8;1143
35;2023-01-30T11:42:22.292118668;1975.995505;8;8;1143
36;2023-01-30T11:42:24.368327614;1441.010149;8;8;1143
37;2023-01-30T11:42:25.913790377;2264.130592;8;8;1143
38;2023-01-30T11:42:28.283527516;2295.261436;8;8;1143
39;2023-01-30T11:42:30.680494979;2139.281714;8;8;1143
40;2023-01-30T11:42:32.923066033;1952.199737;8;8;1143
41;2023-01-30T11:42:34.977705007;2001.90317;8;8;1143
42;2023-01-30T11:42:37.082316506;1836.516499;8;8;1143
43;2023-01-30T11:42:39.019699018;1541.355682;8;8;1143
44;2023-01-30T11:42:40.667107331;1707.488512;8;8;1143
45;2023-01-30T11:42:42.481608490;1692.668423;8;8;1143
46;2023-01-30T11:42:44.274429396;1700.062257;8;8;1143
47;2023-01-30T11:42:46.074654573;1585.108444;8;8;1143
48;2023-01-30T11:42:47.763606608;1612.691225;8;8;1143
49;2023-01-30T11:42:49.476480499;2073.119461;8;8;1143
50;2023-01-30T11:42:51.649773741;1502.364851;8;8;1143
51;2023-01-30T11:42:53.252327006;1878.551222;8;8;1143
52;2023-01-30T11:42:55.238483798;1698.792745;8;8;1143
53;2023-01-30T11:42:57.042440904;1644.871003;8;8;1143
54;2023-01-30T11:42:58.794510393;1479.32363;8;8;1143
55;2023-01-30T11:43:00.374014133;1611.258846;8;8;1143
56;2023-01-30T11:43:02.085476967;1702.591818;8;8;1143
57;2023-01-30T11:43:03.888251635;1505.502746;8;8;1143
58;2023-01-30T11:43:05.501483403;1594.476901;8;8;1143
59;2023-01-30T11:43:07.196116780;1678.594848;8;8;1143
60;2023-01-30T11:43:08.980484456;1937.708112;8;8;1143
61;2023-01-30T11:43:11.022665866;1549.390416;8;8;1143
62;2023-01-30T11:43:12.672218154;1851.153792;8;8;1143
63;2023-01-30T11:43:14.628998609;1811.685321;8;8;1143
64;2023-01-30T11:43:16.548478918;1827.116205;8;8;1143
65;2023-01-30T11:43:18.475768392;1586.047251;8;8;1143
66;2023-01-30T11:43:20.166749919;2295.122617;8;8;1143
67;2023-01-30T11:43:22.562068963;1872.686448;8;8;1143
68;2023-01-30T11:43:24.534915526;1704.953979;8;8;1143
69;2023-01-30T11:43:26.340038924;1668.520688;8;8;1143
70;2023-01-30T11:43:28.108716777;1773.448525;8;8;1143
71;2023-01-30T11:43:29.985644757;1772.38471;8;8;1143
72;2023-01-30T11:43:31.858195154;1754.706665;8;8;1143
73;2023-01-30T11:43:33.714206322;1524.416153;8;8;1143
74;2023-01-30T11:43:35.338930638;2177.86142;8;8;1143
75;2023-01-30T11:43:37.622296014;1970.537128;8;8;1143
76;2023-01-30T11:43:39.738062397;1576.758122;8;8;1143
77;2023-01-30T11:43:41.418725497;1913.573606;8;8;1143
78;2023-01-30T11:43:43.434602430;1835.73879;8;8;1143
79;2023-01-30T11:43:45.370857587;2000.132154;8;8;1143
80;2023-01-30T11:43:47.479880722;1523.619071;8;8;1143
81;2023-01-30T11:43:49.103712289;1517.044983;8;8;1143
82;2023-01-30T11:43:50.722476624;1624.459512;8;8;1143
83;2023-01-30T11:43:52.449000135;1821.389167;8;8;1143
84;2023-01-30T11:43:54.370554506;1556.834384;8;8;1143
85;2023-01-30T11:43:56.035510838;1448.472472;8;8;1143
86;2023-01-30T11:43:57.589877278;1594.641458;8;8;1143
87;2023-01-30T11:43:59.284675309;1468.864287;8;8;1143
88;2023-01-30T11:44:00.853718796;1920.453509;8;8;1143
89;2023-01-30T11:44:02.874358386;1615.604831;8;8;1143
90;2023-01-30T11:44:04.594723172;1609.322804;8;8;1143
91;2023-01-30T11:44:06.304201072;1617.852697;8;8;1143
92;2023-01-30T11:44:08.033475401;1810.231634;8;8;1143
