Id;Texec;expectedH;realH;neededMessages;processedMessages
0;74.148574;5;5;90;105
1;35.921864;5;5;90;105
2;41.880517;5;5;90;105
3;30.276736;5;5;90;105
4;19.879271;5;5;90;105
5;18.948542;5;5;90;105
6;29.248545;5;5;90;105
7;27.090466;5;5;90;105
8;31.708133;5;5;90;105
9;33.2532;5;5;90;105
10;47.412473;5;5;90;105
11;20.508123;5;5;90;105
12;36.854335;5;5;90;105
13;19.0612;5;5;90;105
14;22.61205;5;5;90;105
15;17.48571;5;5;90;105
16;15.367612;5;5;90;105
17;11.942701;5;5;90;105
18;12.259394;5;5;90;105
19;11.453488;5;5;90;105
20;11.205408;5;5;90;105
21;13.530464;5;5;90;105
22;16.609393;5;5;90;105
23;12.579789;5;5;90;105
24;14.643734;5;5;90;105
25;13.922917;5;5;90;105
26;17.513017;5;5;90;105
27;17.735081;5;5;90;105
28;12.515273;5;5;90;105
29;20.699793;5;5;90;105
30;18.766099;5;5;90;105
31;18.170245;5;5;90;105
32;18.008368;5;5;90;105
33;17.661629;5;5;90;105
34;15.587324;5;5;90;105
35;11.743488;5;5;90;105
36;17.056317;5;5;90;105
37;9.519878;5;5;90;105
38;9.589729;5;5;90;105
39;8.198024;5;5;90;105
40;8.372629;5;5;90;105
41;8.678947;5;5;90;105
42;10.379453;5;5;90;105
43;8.291444;5;5;90;105
44;7.624544;5;5;90;105
45;9.538312;5;5;90;105
46;8.340516;5;5;90;105
47;9.623016;5;5;90;105
48;10.042617;5;5;90;105
49;8.159601;5;5;90;105
50;10.482694;5;5;90;105
51;14.5861;5;5;90;105
52;11.197758;5;5;90;105
53;11.550088;5;5;90;105
54;8.673978;5;5;90;105
55;7.843374;5;5;90;105
56;8.542795;5;5;90;105
57;11.16632;5;5;90;105
58;9.163988;5;5;90;105
59;8.236304;5;5;90;105
60;10.224753;5;5;90;105
61;11.998731;5;5;90;105
62;11.645708;5;5;90;105
63;9.847199;5;5;90;105
64;8.612706;5;5;90;105
65;9.997877;5;5;90;105
66;34.373749;5;5;90;105
67;18.909202;5;5;90;105
68;23.874356;5;5;90;105
69;21.587079;5;5;90;105
70;7.733212;5;5;90;105
71;29.29697;5;5;90;105
72;14.40402;5;5;90;105
73;24.403163;5;5;90;105
74;7.877239;5;5;90;105
75;27.595641;5;5;90;105
76;17.788842;5;5;90;105
77;7.265838;5;5;90;105
78;6.381215;5;5;90;105
79;7.432792;5;5;90;105
80;6.177941;5;5;90;105
81;6.074646;5;5;90;105
82;8.654037;5;5;90;105
83;7.766642;5;5;90;105
84;6.329387;5;5;90;105
85;6.938298;5;5;90;105
86;6.047759;5;5;90;105
87;6.184984;5;5;90;105
88;6.286371;5;5;90;105
89;6.757046;5;5;90;105
90;6.361417;5;5;90;105
91;7.455766;5;5;90;105
92;6.376791;5;5;90;105
93;6.780292;5;5;90;105
94;7.494202;5;5;90;105
95;6.089653;5;5;90;105
96;6.132461;5;5;90;105
97;6.133937;5;5;90;105
98;7.302078;5;5;90;105
99;6.374541;5;5;90;105
100;6.203179;5;5;90;105
101;6.148424;5;5;90;105
102;7.959341;5;5;90;105
103;7.96984;5;5;90;105
104;7.880487;5;5;90;105
105;7.085511;5;5;90;105
106;6.531527;5;5;90;105
107;6.215306;5;5;90;105
108;6.377902;5;5;90;105
109;7.160705;5;5;90;105
110;9.170764;5;5;90;105
111;7.189471;5;5;90;105
112;6.504471;5;5;90;105
113;6.305704;5;5;90;105
114;6.467323;5;5;90;105
115;9.076076;5;5;90;105
116;6.706941;5;5;90;105
117;8.574341;5;5;90;105
118;6.664354;5;5;90;105
119;6.04088;5;5;90;105
120;6.227851;5;5;90;105
121;7.001125;5;5;90;105
122;8.946106;5;5;90;105
123;7.527906;5;5;90;105
124;8.55888;5;5;90;105
125;6.868427;5;5;90;105
126;6.769194;5;5;90;105
127;7.434075;5;5;90;105
128;6.509493;5;5;90;105
129;6.729966;5;5;90;105
130;6.76551;5;5;90;105
131;7.76592;5;5;90;105
132;20.380555;5;5;90;105
133;9.542265;5;5;90;105
134;6.457156;5;5;90;105
135;5.971238;5;5;90;105
136;6.081286;5;5;90;105
137;6.979001;5;5;90;105
138;7.496732;5;5;90;105
139;7.882771;5;5;90;105
140;6.368199;5;5;90;105
141;7.464337;5;5;90;105
142;6.105255;5;5;90;105
143;8.099544;5;5;90;105
144;6.925934;5;5;90;105
145;7.2606;5;5;90;105
146;9.00118;5;5;90;105
147;6.186623;5;5;90;105
148;6.305216;5;5;90;105
149;12.209077;5;5;90;105
150;6.394042;5;5;90;105
151;6.152036;5;5;90;105
152;6.214435;5;5;90;105
153;6.573394;5;5;90;105
154;6.168208;5;5;90;105
155;6.243065;5;5;90;105
156;10.22654;5;5;90;105
157;8.029343;5;5;90;105
158;7.727372;5;5;90;105
159;6.974338;5;5;90;105
160;6.06209;5;5;90;105
161;13.269424;5;5;90;105
162;6.146771;5;5;90;105
163;8.82742;5;5;90;105
164;8.060767;5;5;90;105
165;7.706497;5;5;90;105
166;6.148119;5;5;90;105
167;8.423327;5;5;90;105
168;7.601021;5;5;90;105
169;8.564151;5;5;90;105
170;7.538628;5;5;90;105
171;6.323559;5;5;90;105
172;7.500549;5;5;90;105
173;6.099784;5;5;90;105
174;8.59043;5;5;90;105
175;6.451944;5;5;90;105
176;7.957161;5;5;90;105
177;7.85141;5;5;90;105
178;5.722311;5;5;90;105
179;5.753755;5;5;90;105
180;7.338201;5;5;90;105
181;5.857162;5;5;90;105
182;6.104933;5;5;90;105
183;5.901156;5;5;90;105
184;5.855017;5;5;90;105
185;5.971558;5;5;90;105
186;8.102111;5;5;90;105
187;5.925386;5;5;90;105
188;6.956524;5;5;90;105
189;8.504242;5;5;90;105
190;7.210155;5;5;90;105
191;6.93304;5;5;90;105
192;6.036059;5;5;90;105
193;7.170786;5;5;90;105
194;7.251651;5;5;90;105
195;7.321094;5;5;90;105
196;6.172691;5;5;90;105
197;6.272641;5;5;90;105
198;7.324383;5;5;90;105
199;6.829293;5;5;90;105
200;7.009772;5;5;90;105
201;5.828027;5;5;90;105
202;5.98198;5;5;90;105
203;6.926567;5;5;90;105
204;7.585564;5;5;90;105
205;6.299727;5;5;90;105
206;7.587479;5;5;90;105
207;6.039653;5;5;90;105
208;7.283673;5;5;90;105
209;7.032353;5;5;90;105
210;7.346201;5;5;90;105
211;6.319163;5;5;90;105
212;6.855543;5;5;90;105
213;5.880692;5;5;90;105
214;6.413462;5;5;90;105
215;10.288447;5;5;90;105
216;6.815912;5;5;90;105
217;7.489632;5;5;90;105
218;7.80163;5;5;90;105
219;5.93473;5;5;90;105
220;6.06761;5;5;90;105
221;6.663116;5;5;90;105
222;7.213196;5;5;90;105
223;8.100151;5;5;90;105
224;6.893096;5;5;90;105
225;6.005082;5;5;90;105
226;6.170642;5;5;90;105
227;6.078919;5;5;90;105
228;6.009681;5;5;90;105
229;7.350132;5;5;90;105
230;6.106887;5;5;90;105
231;6.272728;5;5;90;105
232;7.23617;5;5;90;105
233;7.139244;5;5;90;105
234;7.338683;5;5;90;105
235;5.768494;5;5;90;105
236;5.461587;5;5;90;105
237;7.555694;5;5;90;105
238;8.236214;5;5;90;105
239;7.476654;5;5;90;105
240;6.4318;5;5;90;105
241;8.65524;5;5;90;105
242;6.535405;5;5;90;105
243;6.417143;5;5;90;105
244;6.764943;5;5;90;105
245;7.920153;5;5;90;105
246;5.765876;5;5;90;105
247;8.426172;5;5;90;105
