Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;12066.504275;13;13;12;72;72
1;12125.049835;13;13;12;72;72
2;12130.100832;13;13;12;72;72
3;13024.183661;13;13;12;72;72
4;13923.676741;13;13;12;72;72
5;12825.941672;13;13;12;72;72
6;13730.640576;13;13;12;72;72
7;13629.966272;13;13;12;72;72
8;14529.381274;13;13;12;72;72
9;15427.057495;13;13;12;72;72
10;15331.265523;13;13;12;72;72
11;16123.772692;13;13;12;72;72
12;14118.927122;13;13;12;72;72
13;15017.756417;13;13;12;72;72
14;15918.761711;13;13;12;72;72
15;16818.973625;13;13;12;72;72
16;15714.893205;13;13;12;72;72
17;14614.555198;13;13;12;72;72
18;13512.825683;13;13;12;72;72
19;13115.206091;13;13;12;72;72
20;13014.548278;13;13;12;72;72
21;13914.126793;13;13;12;72;72
22;12812.660669;13;13;12;72;72
23;13714.320633;13;13;12;72;72
24;14116.974914;13;13;12;72;72
25;15014.933075;13;13;12;72;72
26;14910.949249;13;13;12;72;72
27;14808.858232;13;13;12;72;72
28;16114.696573;13;13;12;72;72
29;13011.508954;13;13;12;72;72
30;13911.449301;13;13;12;72;72
31;16115.106076;13;13;12;72;72
32;15012.44154;13;13;12;72;72
33;12910.115097;13;13;12;72;72
34;13813.243023;13;13;12;72;72
35;13712.398528;13;13;12;72;72
36;13610.935975;13;13;12;72;72
37;14510.60046;13;13;12;72;72
38;15112.449416;13;13;12;72;72
39;15011.458847;13;13;12;72;72
40;16911.966279;13;13;12;72;72
41;17812.945423;13;13;12;72;72
42;15111.953144;13;13;12;72;72
43;12009.355157;13;13;12;72;72
44;13010.718004;13;13;12;72;72
45;12910.2895;13;13;12;72;72
46;13809.506327;13;13;12;72;72
47;14708.781754;13;13;12;72;72
48;13113.710669;13;13;12;72;72
49;12010.259272;13;13;12;72;72
50;12113.886852;13;13;12;72;72
51;13010.93797;13;13;12;72;72
52;13910.721908;13;13;12;72;72
53;12809.065569;13;13;12;72;72
54;13708.222039;13;13;12;72;72
55;12608.461395;13;13;12;72;72
56;13110.910308;13;13;12;72;72
57;13010.976804;13;13;12;72;72
58;14908.898927;13;13;12;72;72
59;14111.75698;13;13;12;72;72
60;13009.903895;13;13;12;72;72
61;14908.575502;13;13;12;72;72
62;15806.413726;13;13;12;72;72
63;15111.736884;13;13;12;72;72
64;13009.159592;13;13;12;72;72
65;14110.269292;13;13;12;72;72
66;14009.219567;13;13;12;72;72
67;15907.678855;13;13;12;72;72
68;14805.888836;13;13;12;72;72
69;13111.373521;13;13;12;72;72
70;15009.835063;13;13;12;72;72
71;13109.69925;13;13;12;72;72
72;13110.687729;13;13;12;72;72
73;13010.320408;13;13;12;72;72
74;13108.497814;13;13;12;72;72
75;14009.04121;13;13;12;72;72
76;13907.377335;13;13;12;72;72
77;14805.723028;13;13;12;72;72
78;15110.408578;13;13;12;72;72
79;13110.125339;13;13;12;72;72
80;12008.138739;13;13;12;72;72
81;13909.36542;13;13;12;72;72
82;13807.593922;13;13;12;72;72
83;14704.878887;13;13;12;72;72
84;14602.920828;13;13;12;72;72
85;15500.835182;13;13;12;72;72
86;15397.739286;13;13;12;72;72
87;16294.469159;13;13;12;72;72
88;16192.451819;13;13;12;72;72
89;13108.907433;13;13;12;72;72
90;13009.035167;13;13;12;72;72
91;13908.099041;13;13;12;72;72
92;12805.989751;13;13;12;72;72
93;13108.939458;13;13;12;72;72
94;12007.859315;13;13;12;72;72
95;13908.138157;13;13;12;72;72
96;13807.968366;13;13;12;72;72
97;13110.714241;13;13;12;72;72
98;12008.513055;13;13;12;72;72
99;14906.404614;13;13;12;72;72
100;15805.985938;13;13;12;72;72
101;15109.343945;13;13;12;72;72
102;14008.001006;13;13;12;72;72
103;14906.338669;13;13;12;72;72
104;14805.719332;13;13;12;72;72
105;14702.536359;13;13;12;72;72
106;15601.253009;13;13;12;72;72
107;13498.841033;13;13;12;72;72
108;12396.544612;13;13;12;72;72
109;13008.416268;13;13;12;72;72
110;12904.875975;13;13;12;72;72
111;14109.199825;13;13;12;72;72
112;13007.387495;13;13;12;72;72
113;13905.697757;13;13;12;72;72
114;13109.14529;13;13;12;72;72
115;15007.696197;13;13;12;72;72
116;15906.699297;13;13;12;72;72
117;15804.891238;13;13;12;72;72
118;15109.394129;13;13;12;72;72
119;15009.087989;13;13;12;72;72
120;14906.784689;13;13;12;72;72
121;12805.194866;13;13;12;72;72
122;14703.740851;13;13;12;72;72
123;15603.348882;13;13;12;72;72
124;15501.111529;13;13;12;72;72
125;16399.719886;13;13;12;72;72
126;13296.014427;13;13;12;72;72
127;14109.984833;13;13;12;72;72
128;14008.453349;13;13;12;72;72
129;13108.799631;13;13;12;72;72
130;12007.672056;13;13;12;72;72
131;12007.824451;13;13;12;72;72
132;12906.09311;13;13;12;72;72
133;13804.917821;13;13;12;72;72
134;13698.003065;13;13;12;72;72
135;13596.69886;13;13;12;72;72
136;14496.965491;13;13;12;72;72
137;14396.871712;13;13;12;72;72
138;13108.555508;13;13;12;72;72
139;12006.981096;13;13;12;72;72
140;12107.758437;13;13;12;72;72
141;13007.867778;13;13;12;72;72
142;13110.4607;13;13;12;72;72
143;12007.093781;13;13;12;72;72
144;13008.739922;13;13;12;72;72
145;13906.394913;13;13;12;72;72
146;13805.130925;13;13;12;72;72
147;14109.176414;13;13;12;72;72
148;13007.653938;13;13;12;72;72
149;13906.23988;13;13;12;72;72
150;14805.425527;13;13;12;72;72
151;15702.15039;13;13;12;72;72
152;15598.946154;13;13;12;72;72
153;15497.279436;13;13;12;72;72
154;15109.14065;13;13;12;72;72
155;14007.792326;13;13;12;72;72
156;14108.569316;13;13;12;72;72
157;13108.814995;13;13;12;72;72
158;14108.515897;13;13;12;72;72
159;14107.838228;13;13;12;72;72
160;14110.121206;13;13;12;72;72
161;14006.920594;13;13;12;72;72
162;12905.395464;13;13;12;72;72
163;14804.727072;13;13;12;72;72
164;16704.65557;13;13;12;72;72
165;18110.075364;13;13;12;72;72
166;17110.2597;13;13;12;72;72
167;15107.914553;13;13;12;72;72
168;15006.370996;13;13;12;72;72
169;14905.168277;13;13;12;72;72
170;13803.268634;13;13;12;72;72
171;13701.494504;13;13;12;72;72
172;13598.073788;13;13;12;72;72
173;13497.77157;13;13;12;72;72
174;12396.508617;13;13;12;72;72
175;13108.336647;13;13;12;72;72
176;12108.09896;13;13;12;72;72
177;12009.063544;13;13;12;72;72
178;13908.870691;13;13;12;72;72
179;14808.867243;13;13;12;72;72
