Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;14541.898842;15;15;14;308;330
1;14100.75309;15;15;14;308;330
2;14079.903943;15;15;14;308;330
3;14082.771032;15;15;14;308;330
4;14079.675515;15;15;14;308;330
5;14062.260503;15;15;14;308;330
6;14053.008494;15;15;14;308;330
7;14053.180159;15;15;14;308;330
8;14047.168999;15;15;14;308;330
9;14048.969208;15;15;14;308;330
10;14052.318285;15;15;14;308;330
11;14049.687397;15;15;14;308;330
12;14043.766365;15;15;14;308;330
13;14061.333624;15;15;14;308;330
14;14055.336752;15;15;14;308;330
15;14043.998142;15;15;14;308;330
16;14042.933254;15;15;14;308;330
17;14055.034036;15;15;14;308;330
18;14040.165415;15;15;14;308;330
19;14034.297089;15;15;14;308;330
20;14045.225069;15;15;14;308;330
21;14038.191676;15;15;14;308;330
22;14033.377441;15;15;14;308;330
23;14040.86313;15;15;14;308;330
24;14042.419484;15;15;14;308;330
25;14043.342558;15;15;14;308;330
26;14034.621353;15;15;14;308;330
27;14035.787043;15;15;14;308;330
28;14040.568556;15;15;14;308;330
29;14046.687365;15;15;14;308;330
30;14044.265861;15;15;14;308;330
31;14049.768969;15;15;14;308;330
32;14044.107343;15;15;14;308;330
33;14040.804928;15;15;14;308;330
34;14038.815501;15;15;14;308;330
35;14043.541172;15;15;14;308;330
36;14034.913759;15;15;14;308;330
37;14041.586894;15;15;14;308;330
38;14045.808219;15;15;14;308;330
39;14033.036429;15;15;14;308;330
40;14037.994057;15;15;14;308;330
41;14037.651597;15;15;14;308;330
42;14041.071102;15;15;14;308;330
43;14037.457654;15;15;14;308;330
44;14032.366515;15;15;14;308;330
45;14039.504488;15;15;14;308;330
46;14035.766571;15;15;14;308;330
47;14034.998522;15;15;14;308;330
48;14042.500413;15;15;14;308;330
49;14035.969682;15;15;14;308;330
50;14040.725047;15;15;14;308;330
51;14036.524772;15;15;14;308;330
52;14038.71887;15;15;14;308;330
53;14039.958745;15;15;14;308;330
54;14061.274785;15;15;14;308;330
55;14043.57717;15;15;14;308;330
56;14033.744375;15;15;14;308;330
57;14040.637218;15;15;14;308;330
58;14039.686657;15;15;14;308;330
59;14045.840411;15;15;14;308;330
60;14036.396799;15;15;14;308;330
61;14034.6941;15;15;14;308;330
62;14043.888694;15;15;14;308;330
63;14036.894119;15;15;14;308;330
64;14035.040072;15;15;14;308;330
65;14034.825196;15;15;14;308;330
66;14040.626529;15;15;14;308;330
67;14038.484875;15;15;14;308;330
68;14050.683789;15;15;14;308;330
69;14034.780111;15;15;14;308;330
70;14032.408695;15;15;14;308;330
71;14033.185502;15;15;14;308;330
72;14034.75054;15;15;14;308;330
73;14043.96892;15;15;14;308;330
74;14031.71202;15;15;14;308;330
75;14038.585399;15;15;14;308;330
76;14038.699084;15;15;14;308;330
77;14035.295167;15;15;14;308;330
78;14036.200549;15;15;14;308;330
79;14038.817902;15;15;14;308;330
80;14034.215824;15;15;14;308;330
81;14042.91737;15;15;14;308;330
82;14042.060213;15;15;14;308;330
83;14042.123522;15;15;14;308;330
84;14039.85134;15;15;14;308;330
85;14036.462742;15;15;14;308;330
86;14031.177125;15;15;14;308;330
87;14039.270428;15;15;14;308;330
88;14039.603858;15;15;14;308;330
89;14041.68417;15;15;14;308;330
90;14050.786731;15;15;14;308;330
91;14043.080934;15;15;14;308;330
92;14041.464233;15;15;14;308;330
93;14046.825977;15;15;14;308;330
94;14036.221988;15;15;14;308;330
95;14042.672188;15;15;14;308;330
96;14043.02318;15;15;14;308;330
97;14035.701563;15;15;14;308;330
98;14043.390975;15;15;14;308;330
99;14042.256123;15;15;14;308;330
100;14047.755746;15;15;14;308;330
101;14043.047347;15;15;14;308;330
102;14034.287617;15;15;14;308;330
103;14034.303014;15;15;14;308;330
104;14034.56751;15;15;14;308;330
105;14039.002921;15;15;14;308;330
106;14032.648055;15;15;14;308;330
107;14043.246074;15;15;14;308;330
108;14033.69203;15;15;14;308;330
109;14049.534854;15;15;14;308;330
110;14047.420146;15;15;14;308;330
111;14046.442357;15;15;14;308;330
112;14048.912092;15;15;14;308;330
113;14041.340454;15;15;14;308;330
114;14045.491028;15;15;14;308;330
115;14063.981163;15;15;14;308;330
116;14036.774876;15;15;14;308;330
117;14039.557927;15;15;14;308;330
118;14055.410578;15;15;14;308;330
119;14039.034801;15;15;14;308;330
120;14036.566589;15;15;14;308;330
121;14040.98943;15;15;14;308;330
122;14055.022911;15;15;14;308;330
123;14037.218426;15;15;14;308;330
124;14038.834939;15;15;14;308;330
125;14054.680196;15;15;14;308;330
126;14053.066842;15;15;14;308;330
127;14039.740661;15;15;14;308;330
