Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
0;2023-02-07T22:44:25.325512816;467.138326;10;10;0;108;120
1;2023-02-07T22:44:25.901575715;153.814964;10;10;0;108;120
2;2023-02-07T22:44:26.155960467;232.9151;10;10;0;108;120
3;2023-02-07T22:44:26.489067826;35.027813;10;10;0;108;120
4;2023-02-07T22:44:26.624395607;29.057413;10;10;0;108;120
5;2023-02-07T22:44:26.753670077;29.819246;10;10;0;108;120
6;2023-02-07T22:44:26.883739870;30.678249;10;10;0;108;120
7;2023-02-07T22:44:27.014642868;30.450783;10;10;0;108;120
8;2023-02-07T22:44:27.145359178;37.483634;10;10;0;108;120
9;2023-02-07T22:44:27.283043733;45.102277;10;10;0;108;120
10;2023-02-07T22:44:27.428386346;44.23612;10;10;0;108;120
11;2023-02-07T22:44:27.572820344;33.614609;10;10;0;108;120
12;2023-02-07T22:44:27.706701249;27.782956;10;10;0;108;120
13;2023-02-07T22:44:27.834704000;32.292776;10;10;0;108;120
14;2023-02-07T22:44:27.967211899;31.742435;10;10;0;108;120
15;2023-02-07T22:44:28.099229906;33.196582;10;10;0;108;120
16;2023-02-07T22:44:28.232645703;22.712132;10;10;0;108;120
17;2023-02-07T22:44:28.355612526;34.715759;10;10;0;108;120
18;2023-02-07T22:44:28.490553238;32.946384;10;10;0;108;120
19;2023-02-07T22:44:28.623700063;32.773534;10;10;0;108;120
20;2023-02-07T22:44:28.756712309;22.792428;10;10;0;108;120
21;2023-02-07T22:44:28.879664649;22.526917;10;10;0;108;120
22;2023-02-07T22:44:29.002390484;28.359163;10;10;0;108;120
23;2023-02-07T22:44:29.130991297;24.891126;10;10;0;108;120
24;2023-02-07T22:44:29.256097725;24.302359;10;10;0;108;120
25;2023-02-07T22:44:29.380634027;27.564877;10;10;0;108;120
26;2023-02-07T22:44:29.508383004;17.964901;10;10;0;108;120
27;2023-02-07T22:44:29.626477622;18.875867;10;10;0;108;120
28;2023-02-07T22:44:29.745475302;24.50622;10;10;0;108;120
29;2023-02-07T22:44:29.870687735;23.139321;10;10;0;108;120
30;2023-02-07T22:44:29.994040332;15.470598;10;10;0;108;120
31;2023-02-07T22:44:30.109666997;20.124565;10;10;0;108;120
32;2023-02-07T22:44:30.229978120;17.262101;10;10;0;108;120
33;2023-02-07T22:44:30.347411165;16.745917;10;10;0;108;120
34;2023-02-07T22:44:30.464314129;17.81776;10;10;0;108;120
35;2023-02-07T22:44:30.582278289;27.37193;10;10;0;108;120
36;2023-02-07T22:44:30.709817660;16.634629;10;10;0;108;120
37;2023-02-07T22:44:30.826624838;15.478353;10;10;0;108;120
38;2023-02-07T22:44:30.942266756;19.333931;10;10;0;108;120
39;2023-02-07T22:44:31.061788132;16.572496;10;10;0;108;120
40;2023-02-07T22:44:31.178471682;16.384482;10;10;0;108;120
41;2023-02-07T22:44:31.295036712;17.21611;10;10;0;108;120
42;2023-02-07T22:44:31.412451156;26.54536;10;10;0;108;120
43;2023-02-07T22:44:31.539206257;16.650044;10;10;0;108;120
44;2023-02-07T22:44:31.656039209;20.019198;10;10;0;108;120
45;2023-02-07T22:44:31.776225842;18.953743;10;10;0;108;120
46;2023-02-07T22:44:31.895368049;14.663489;10;10;0;108;120
47;2023-02-07T22:44:32.010233589;15.933988;10;10;0;108;120
48;2023-02-07T22:44:32.126313317;15.237708;10;10;0;108;120
49;2023-02-07T22:44:32.241710969;13.970242;10;10;0;108;120
50;2023-02-07T22:44:32.355864098;15.11047;10;10;0;108;120
51;2023-02-07T22:44:32.471135119;17.216114;10;10;0;108;120
52;2023-02-07T22:44:32.588469857;13.561992;10;10;0;108;120
53;2023-02-07T22:44:32.702207649;15.769456;10;10;0;108;120
54;2023-02-07T22:44:32.818140178;13.000626;10;10;0;108;120
55;2023-02-07T22:44:32.931289120;11.573651;10;10;0;108;120
56;2023-02-07T22:44:33.043028266;15.376267;10;10;0;108;120
57;2023-02-07T22:44:33.158563109;11.782071;10;10;0;108;120
58;2023-02-07T22:44:33.270471728;14.92064;10;10;0;108;120
59;2023-02-07T22:44:33.385557877;13.324596;10;10;0;108;120
60;2023-02-07T22:44:33.499063702;12.288023;10;10;0;108;120
61;2023-02-07T22:44:33.611543334;16.819375;10;10;0;108;120
62;2023-02-07T22:44:33.728532120;19.177772;10;10;0;108;120
63;2023-02-07T22:44:33.847843450;14.046418;10;10;0;108;120
64;2023-02-07T22:44:33.962038966;13.778468;10;10;0;108;120
65;2023-02-07T22:44:34.075981446;12.360568;10;10;0;108;120
66;2023-02-07T22:44:34.188471713;13.010772;10;10;0;108;120
67;2023-02-07T22:44:34.301653042;13.731581;10;10;0;108;120
68;2023-02-07T22:44:34.415565265;14.391154;10;10;0;108;120
69;2023-02-07T22:44:34.530115765;13.374571;10;10;0;108;120
70;2023-02-07T22:44:34.643715972;15.103924;10;10;0;108;120
71;2023-02-07T22:44:34.759012199;14.033493;10;10;0;108;120
72;2023-02-07T22:44:34.873238155;14.907332;10;10;0;108;120
73;2023-02-07T22:44:34.988315316;14.471564;10;10;0;108;120
74;2023-02-07T22:44:35.102967551;13.430608;10;10;0;108;120
75;2023-02-07T22:44:35.217029090;17.838258;10;10;0;108;120
