StartingWallTime;Texec;expectedH;realH
2023-01-02T21:20:18.490248958;32.225003;8;8
2023-01-02T21:20:18.622540259;9.760056;8;8
2023-01-02T21:20:18.732365543;9.869127;8;8
2023-01-02T21:20:18.842300398;49.177952;8;8
2023-01-02T21:20:18.991543349;8.827927;8;8
2023-01-02T21:20:19.100445015;6.90283;8;8
2023-01-02T21:20:19.207413884;13.413567;8;8
2023-01-02T21:20:19.320895810;13.054675;8;8
2023-01-02T21:20:19.434015373;48.020052;8;8
2023-01-02T21:20:19.582102223;8.129832;8;8
2023-01-02T21:20:19.690293693;11.786404;8;8
2023-01-02T21:20:19.802147695;6.340856;8;8
2023-01-02T21:20:19.908550769;6.950481;8;8
2023-01-02T21:20:20.015570949;7.99035;8;8
2023-01-02T21:20:20.123632068;6.354865;8;8
2023-01-02T21:20:20.230049322;5.559429;8;8
2023-01-02T21:20:20.335676579;55.387456;8;8
2023-01-02T21:20:20.491123584;5.601369;8;8
2023-01-02T21:20:20.596787822;6.558437;8;8
2023-01-02T21:20:20.703413958;47.413626;8;8
2023-01-02T21:20:20.850887033;5.173125;8;8
2023-01-02T21:20:20.956135227;5.963042;8;8
2023-01-02T21:20:21.062160367;5.424218;8;8
2023-01-02T21:20:21.167647144;5.158136;8;8
2023-01-02T21:20:21.272873177;5.275927;8;8
2023-01-02T21:20:21.378213402;7.392235;8;8
2023-01-02T21:20:21.485675206;5.198135;8;8
2023-01-02T21:20:21.590935740;5.090694;8;8
2023-01-02T21:20:21.696096803;5.583879;8;8
2023-01-02T21:20:21.801747561;6.432656;8;8
2023-01-02T21:20:21.908249776;52.846653;8;8
2023-01-02T21:20:22.061164468;6.123364;8;8
2023-01-02T21:20:22.167352910;6.736359;8;8
2023-01-02T21:20:22.274149858;5.70824;8;8
2023-01-02T21:20:22.379923257;11.146027;8;8
2023-01-02T21:20:22.491132343;49.734657;8;8
2023-01-02T21:20:22.640928068;4.866913;8;8
2023-01-02T21:20:22.745860399;5.126815;8;8
2023-01-02T21:20:22.851051633;49.775817;8;8
2023-01-02T21:20:23.000888318;4.892163;8;8
2023-01-02T21:20:23.105845900;4.832492;8;8
2023-01-02T21:20:23.210740081;5.304886;8;8
2023-01-02T21:20:23.316117876;5.061854;8;8
2023-01-02T21:20:23.421241949;4.883323;8;8
2023-01-02T21:20:23.526184880;44.555221;8;8
2023-01-02T21:20:23.670799290;5.082394;8;8
2023-01-02T21:20:23.775957423;10.859425;8;8
2023-01-02T21:20:23.886866687;4.779702;8;8
2023-01-02T21:20:23.991708687;5.299727;8;8
2023-01-02T21:20:24.097073292;53.826483;8;8
2023-01-02T21:20:24.250963093;4.892093;8;8
2023-01-02T21:20:24.355918155;4.523439;8;8
2023-01-02T21:20:24.460505613;4.666811;8;8
2023-01-02T21:20:24.565236492;45.685381;8;8
2023-01-02T21:20:24.710983412;4.718941;8;8
2023-01-02T21:20:24.815985944;6.377006;8;8
2023-01-02T21:20:24.922432728;4.737092;8;8
2023-01-02T21:20:25.027232408;43.402151;8;8
2023-01-02T21:20:25.170695498;4.757432;8;8
2023-01-02T21:20:25.275516088;5.026934;8;8
2023-01-02T21:20:25.380603541;5.282416;8;8
2023-01-02T21:20:25.485947986;4.428919;8;8
2023-01-02T21:20:25.590440013;4.730502;8;8
2023-01-02T21:20:25.695232653;10.807225;8;8
2023-01-02T21:20:25.806106566;5.816202;8;8
2023-01-02T21:20:25.911987816;49.175922;8;8
2023-01-02T21:20:26.061224496;4.256558;8;8
2023-01-02T21:20:26.165545862;4.856833;8;8
2023-01-02T21:20:26.270465813;4.799852;8;8
2023-01-02T21:20:26.375327384;4.385238;8;8
2023-01-02T21:20:26.479774821;5.487178;8;8
2023-01-02T21:20:26.585324688;17.242271;8;8
2023-01-02T21:20:26.702629367;58.155181;8;8
2023-01-02T21:20:26.860846746;4.698612;8;8
2023-01-02T21:20:26.965608136;4.717472;8;8
2023-01-02T21:20:27.070385426;4.5962;8;8
2023-01-02T21:20:27.175044125;14.554338;8;8
2023-01-02T21:20:27.289664941;5.797981;8;8
2023-01-02T21:20:27.395528761;45.332178;8;8
2023-01-02T21:20:27.540921107;13.771701;8;8
2023-01-02T21:20:27.654755047;5.038105;8;8
2023-01-02T21:20:27.759855329;4.767882;8;8
2023-01-02T21:20:27.864689850;4.708981;8;8
2023-01-02T21:20:27.969467810;5.529959;8;8
2023-01-02T21:20:28.075062907;4.689191;8;8
2023-01-02T21:20:28.179820626;18.657484;8;8
2023-01-02T21:20:28.298550159;4.725191;8;8
2023-01-02T21:20:28.403339059;14.100553;8;8
2023-01-02T21:20:28.517505621;6.690359;8;8
2023-01-02T21:20:28.624270438;46.575369;8;8
2023-01-02T21:20:28.770912876;5.101924;8;8
2023-01-02T21:20:28.876075059;5.217856;8;8
2023-01-02T21:20:28.981354743;5.010174;8;8
2023-01-02T21:20:29.086426826;4.725821;8;8
2023-01-02T21:20:29.191215436;49.477604;8;8
2023-01-02T21:20:29.340753069;4.767731;8;8
2023-01-02T21:20:29.445595889;5.67919;8;8
2023-01-02T21:20:29.551337407;5.186346;8;8
2023-01-02T21:20:29.656694222;5.205026;8;8
2023-01-02T21:20:29.761958867;4.305047;8;8
2023-01-02T21:20:29.866326183;44.43043;8;8
2023-01-02T21:20:30.010820391;49.989969;8;8
2023-01-02T21:20:30.160869959;4.954763;8;8
2023-01-02T21:20:30.265889991;4.939403;8;8
2023-01-02T21:20:30.370894893;4.718831;8;8
2023-01-02T21:20:30.475679013;45.045565;8;8
2023-01-02T21:20:30.620787247;4.57377;8;8
