StartingWallTime;Texec;expectedH;realH
2023-01-02T21:14:40.901569426;32.535135;5;2
2023-01-02T21:14:41.034174220;15.547196;5;5
2023-01-02T21:14:41.149786405;9.958847;5;3
2023-01-02T21:14:41.259810921;10.633143;5;4
2023-01-02T21:14:41.370510443;7.269524;5;3
2023-01-02T21:14:41.477851515;8.416314;5;3
2023-01-02T21:14:41.586334518;8.462924;5;3
2023-01-02T21:14:41.694867161;8.309333;5;4
2023-01-02T21:14:41.803240612;11.022227;5;2
2023-01-02T21:14:41.914329807;7.520656;5;3
2023-01-02T21:14:42.021916842;10.596613;5;4
2023-01-02T21:14:42.132586643;5.931362;5;2
2023-01-02T21:14:42.238584424;5.978653;5;2
2023-01-02T21:14:42.344628245;5.831801;5;3
2023-01-02T21:14:42.450527885;5.74301;5;3
2023-01-02T21:14:42.556337754;6.359646;5;3
2023-01-02T21:14:42.662763918;7.281154;5;4
2023-01-02T21:14:42.770108380;6.849251;5;2
2023-01-02T21:14:42.877024029;5.856462;5;2
2023-01-02T21:14:42.982944789;5.70783;5;3
2023-01-02T21:14:43.088718918;6.700919;5;4
2023-01-02T21:14:43.195483315;4.659321;5;2
2023-01-02T21:14:43.300208554;6.73891;5;4
2023-01-02T21:14:43.407013792;5.332987;5;2
2023-01-02T21:14:43.512413648;6.734849;5;4
2023-01-02T21:14:43.619216325;4.873433;5;2
2023-01-02T21:14:43.724171667;5.030594;5;2
2023-01-02T21:14:43.829267329;7.765418;5;4
2023-01-02T21:14:43.937101436;5.897462;5;2
2023-01-02T21:14:44.043064366;6.521818;5;3
2023-01-02T21:14:44.149660552;6.890541;5;3
2023-01-02T21:14:44.256614401;5.220796;5;2
2023-01-02T21:14:44.361902746;5.883811;5;3
2023-01-02T21:14:44.467851316;4.892243;5;2
2023-01-02T21:14:44.572813667;6.367786;5;4
2023-01-02T21:14:44.679243322;5.299506;5;3
2023-01-02T21:14:44.784608577;12.199637;5;3
2023-01-02T21:14:44.897052194;14.413586;5;3
2023-01-02T21:14:45.011499239;6.593938;5;4
2023-01-02T21:14:45.118140535;6.453977;5;4
2023-01-02T21:14:45.224661350;5.370067;5;3
2023-01-02T21:14:45.330092426;4.065165;5;2
2023-01-02T21:14:45.434223580;5.812991;5;3
2023-01-02T21:14:45.540105749;7.435656;5;2
2023-01-02T21:14:45.647613603;4.244138;5;2
2023-01-02T21:14:45.751909879;4.098756;5;2
2023-01-02T21:14:45.856072624;6.621658;5;3
2023-01-02T21:14:45.962762870;4.437489;5;2
2023-01-02T21:14:46.067261008;5.515018;5;2
2023-01-02T21:14:46.172841345;47.90733;5;2
2023-01-02T21:14:46.320812174;5.072374;5;3
2023-01-02T21:14:46.425951307;9.10163;5;5
2023-01-02T21:14:46.535174396;7.92196;5;3
2023-01-02T21:14:46.643103413;4.302698;5;2
2023-01-02T21:14:46.747471799;5.535489;5;3
2023-01-02T21:14:46.853074057;5.824221;5;4
2023-01-02T21:14:46.958959526;4.836473;5;3
2023-01-02T21:14:47.063866667;3.857974;5;2
2023-01-02T21:14:47.167789920;6.690138;5;2
2023-01-02T21:14:47.274544447;4.144386;5;2
2023-01-02T21:14:47.378753632;5.945652;5;4
2023-01-02T21:14:47.484762282;6.451877;5;2
2023-01-02T21:14:47.591282168;5.853711;5;4
2023-01-02T21:14:47.697203208;4.265637;5;2
2023-01-02T21:14:47.801532884;4.674762;5;2
2023-01-02T21:14:47.906274763;5.048574;5;3
2023-01-02T21:14:48.011387976;14.285665;5;2
2023-01-02T21:14:48.125742620;6.102153;5;4
2023-01-02T21:14:48.231913052;5.245526;5;3
2023-01-02T21:14:48.337226357;44.51092;5;4
2023-01-02T21:14:48.481802556;6.259425;5;4
