StartingWallTime;Texec;expectedH;realH
2023-01-02T21:25:10.854754937;100.614003;13;13
2023-01-02T21:25:11.055454589;28.397889;13;13
2023-01-02T21:25:11.183920007;61.827643;13;13
2023-01-02T21:25:11.345812098;70.704241;13;13
2023-01-02T21:25:11.516582828;111.753061;13;13
2023-01-02T21:25:11.728400887;23.552517;13;13
2023-01-02T21:25:11.852021213;58.818187;13;13
2023-01-02T21:25:12.010905777;21.949733;13;13
2023-01-02T21:25:12.132924199;17.545224;13;13
2023-01-02T21:25:12.250537561;62.365088;13;13
2023-01-02T21:25:12.412970527;150.429351;13;13
2023-01-02T21:25:12.663469177;59.688004;13;13
2023-01-02T21:25:12.823239829;20.188667;13;13
2023-01-02T21:25:12.943495405;16.461424;13;13
2023-01-02T21:25:13.060020978;60.101378;13;13
2023-01-02T21:25:13.220203114;20.372279;13;13
2023-01-02T21:25:13.340626262;59.23442;13;13
2023-01-02T21:25:13.499927890;59.777325;13;13
2023-01-02T21:25:13.659769864;15.171934;13;13
2023-01-02T21:25:13.775007775;23.027602;13;13
2023-01-02T21:25:13.898102916;12.955404;13;13
2023-01-02T21:25:14.011124428;13.474318;13;13
2023-01-02T21:25:14.124665885;16.541755;13;13
2023-01-02T21:25:14.241282289;58.590824;13;13
2023-01-02T21:25:14.399940122;13.407257;13;13
2023-01-02T21:25:14.513416428;55.114854;13;13
2023-01-02T21:25:14.668772962;16.583466;13;13
2023-01-02T21:25:14.785338465;157.022599;13;13
2023-01-02T21:25:15.042428072;12.138627;13;13
2023-01-02T21:25:15.154637768;53.228587;13;13
2023-01-02T21:25:15.307939934;14.672449;13;13
2023-01-02T21:25:15.422699901;14.116284;13;13
2023-01-02T21:25:15.536909914;12.866733;13;13
2023-01-02T21:25:15.649843215;104.687209;13;13
2023-01-02T21:25:15.854603463;14.927651;13;13
2023-01-02T21:25:15.969603393;57.859128;13;13
2023-01-02T21:25:16.127536649;10.398081;13;13
2023-01-02T21:25:16.238006489;58.725695;13;13
2023-01-02T21:25:16.396798563;50.195491;13;13
2023-01-02T21:25:16.547059372;50.551154;13;13
2023-01-02T21:25:16.697680395;13.150475;13;13
2023-01-02T21:25:16.810902079;9.884546;13;13
2023-01-02T21:25:16.920855944;55.649398;13;13
2023-01-02T21:25:17.076575531;49.886158;13;13
2023-01-02T21:25:17.226534588;59.713754;13;13
2023-01-02T21:25:17.386311460;10.570373;13;13
2023-01-02T21:25:17.496945642;10.441731;13;13
2023-01-02T21:25:17.607453322;68.205219;13;13
2023-01-02T21:25:17.775730989;11.726233;13;13
2023-01-02T21:25:17.887525961;79.986672;13;13
2023-01-02T21:25:18.067585772;11.228088;13;13
2023-01-02T21:25:18.178882199;57.771587;13;13
2023-01-02T21:25:18.336728285;49.893019;13;13
2023-01-02T21:25:18.486703521;10.640334;13;13
2023-01-02T21:25:18.597406703;19.585192;13;13
2023-01-02T21:25:18.717059534;60.3642;13;13
2023-01-02T21:25:18.877497212;59.298371;13;13
2023-01-02T21:25:19.036858851;50.159731;13;13
2023-01-02T21:25:19.187089080;11.010087;13;13
2023-01-02T21:25:19.298168585;58.303292;13;13
2023-01-02T21:25:19.456539456;11.065617;13;13
2023-01-02T21:25:19.567692862;10.971816;13;13
2023-01-02T21:25:19.678754147;11.542451;13;13
2023-01-02T21:25:19.790382747;10.540052;13;13
2023-01-02T21:25:19.900993308;104.399366;13;13
2023-01-02T21:25:20.105462203;10.863675;13;13
2023-01-02T21:25:20.216394087;57.265033;13;13
2023-01-02T21:25:20.373726088;10.483582;13;13
2023-01-02T21:25:20.484282269;9.690555;13;13
2023-01-02T21:25:20.594043322;52.38316;13;13
2023-01-02T21:25:20.746491691;9.969727;13;13
2023-01-02T21:25:20.856528387;11.237088;13;13
2023-01-02T21:25:20.967834684;11.165968;13;13
2023-01-02T21:25:21.079076061;10.031978;13;13
2023-01-02T21:25:21.189174337;57.103502;13;13
2023-01-02T21:25:21.346346707;11.249919;13;13
2023-01-02T21:25:21.457663445;48.438026;13;13
2023-01-02T21:25:21.606167208;9.733366;13;13
2023-01-02T21:25:21.715966582;9.299012;13;13
2023-01-02T21:25:21.825443903;11.335479;13;13
2023-01-02T21:25:21.936776891;9.723655;13;13
2023-01-02T21:25:22.046564985;49.399943;13;13
2023-01-02T21:25:22.196030987;50.190831;13;13
2023-01-02T21:25:22.346292646;49.243502;13;13
2023-01-02T21:25:22.495601277;8.591655;13;13
2023-01-02T21:25:22.604257781;9.282571;13;13
2023-01-02T21:25:22.713610151;9.957277;13;13
2023-01-02T21:25:22.823630377;148.028469;13;13
2023-01-02T21:25:23.071727005;102.086236;13;13
2023-01-02T21:25:23.273879650;9.919227;13;13
2023-01-02T21:25:23.383863665;9.536404;13;13
2023-01-02T21:25:23.493468048;100.852215;13;13
2023-01-02T21:25:23.694386932;51.667643;13;13
2023-01-02T21:25:23.846121374;49.996409;13;13
2023-01-02T21:25:23.996185801;11.32694;13;13
2023-01-02T21:25:24.107583009;106.962339;13;13
2023-01-02T21:25:24.314612907;148.199611;13;13
2023-01-02T21:25:24.562880026;122.448355;13;13
2023-01-02T21:25:24.785395270;100.466952;13;13
2023-01-02T21:25:24.985932281;98.553285;13;13
2023-01-02T21:25:25.184552554;14.264866;13;13
2023-01-02T21:25:25.298915858;105.87732;13;13
2023-01-02T21:25:25.504837296;52.268689;13;13
2023-01-02T21:25:25.657179914;8.885928;13;13
2023-01-02T21:25:25.766145310;50.703246;13;13
2023-01-02T21:25:25.916921904;10.18703;13;13
2023-01-02T21:25:26.027187352;58.836347;13;13
2023-01-02T21:25:26.186100787;40.061292;13;13
2023-01-02T21:25:26.326236958;9.410502;13;13
2023-01-02T21:25:26.435724329;9.201211;13;13
2023-01-02T21:25:26.544999718;11.500761;13;13
2023-01-02T21:25:26.656566058;49.259272;13;13
2023-01-02T21:25:26.805894129;49.997329;13;13
2023-01-02T21:25:26.955961506;49.868568;13;13
2023-01-02T21:25:27.105900353;50.544213;13;13
2023-01-02T21:25:27.256514975;49.652666;13;13
2023-01-02T21:25:27.406233729;49.895529;13;13
2023-01-02T21:25:27.556196426;50.182061;13;13
2023-01-02T21:25:27.706444185;10.373541;13;13
2023-01-02T21:25:27.816888995;16.467004;13;13
