Id;StartingWallTime;Texec;expectedH;realH
0;2023-01-30T12:06:35.496698911;1740.441878;8;8;459
1;2023-01-30T12:06:37.337952612;1446.211864;8;8;459
2;2023-01-30T12:06:38.886356723;790.95544;8;8;459
3;2023-01-30T12:06:39.777589876;446.68558;8;8;459
4;2023-01-30T12:06:40.324534211;1263.89747;8;8;459
5;2023-01-30T12:06:41.689583657;1268.164782;8;8;459
6;2023-01-30T12:06:43.058418196;1201.505161;8;8;459
7;2023-01-30T12:06:44.370572622;1062.711499;8;8;459
8;2023-01-30T12:06:45.542921979;1543.685055;8;8;459
9;2023-01-30T12:06:47.187688232;1514.43961;8;8;459
10;2023-01-30T12:06:48.802715170;1220.290111;8;8;459
11;2023-01-30T12:06:50.123692671;1538.136677;8;8;459
12;2023-01-30T12:06:51.766675516;1685.02655;8;8;459
13;2023-01-30T12:06:53.557600039;1328.198257;8;8;459
14;2023-01-30T12:06:54.994593300;1413.786748;8;8;459
15;2023-01-30T12:06:56.508874053;557.135287;8;8;459
16;2023-01-30T12:06:57.166148406;298.717574;8;8;459
17;2023-01-30T12:06:57.565076085;277.967068;8;8;459
18;2023-01-30T12:06:57.943228087;316.477519;8;8;459
19;2023-01-30T12:06:58.359853355;286.304905;8;8;459
20;2023-01-30T12:06:58.746329159;279.110457;8;8;459
21;2023-01-30T12:06:59.125663427;278.035821;8;8;459
22;2023-01-30T12:06:59.503873671;258.609287;8;8;459
23;2023-01-30T12:06:59.862690722;280.55656;8;8;459
24;2023-01-30T12:07:00.243493850;273.287032;8;8;459
25;2023-01-30T12:07:00.617002498;301.981627;8;8;459
26;2023-01-30T12:07:01.019195409;272.053637;8;8;459
27;2023-01-30T12:07:01.391431392;267.240717;8;8;459
28;2023-01-30T12:07:01.758869248;297.470298;8;8;459
29;2023-01-30T12:07:02.156549441;322.680873;8;8;459
30;2023-01-30T12:07:02.579404802;279.163677;8;8;459
31;2023-01-30T12:07:02.958728417;303.789479;8;8;459
32;2023-01-30T12:07:03.362705328;262.529154;8;8;459
33;2023-01-30T12:07:03.725511891;359.358373;8;8;459
34;2023-01-30T12:07:04.185004877;294.25206;8;8;459
35;2023-01-30T12:07:04.579455551;282.315023;8;8;459
36;2023-01-30T12:07:04.961958379;282.94985;8;8;459
37;2023-01-30T12:07:05.345170141;323.042264;8;8;459
38;2023-01-30T12:07:05.768425327;278.737772;8;8;459
39;2023-01-30T12:07:06.147433218;392.864631;8;8;459
40;2023-01-30T12:07:06.640456454;375.371444;8;8;459
41;2023-01-30T12:07:07.116067894;449.89878;8;8;459
42;2023-01-30T12:07:07.666128908;283.752775;8;8;459
43;2023-01-30T12:07:08.050099576;345.367578;8;8;459
44;2023-01-30T12:07:08.495757921;315.017148;8;8;459
45;2023-01-30T12:07:08.910972778;339.712815;8;8;459
46;2023-01-30T12:07:09.350916706;287.862047;8;8;459
47;2023-01-30T12:07:09.739002231;280.446847;8;8;459
48;2023-01-30T12:07:10.119800934;317.209662;8;8;459
49;2023-01-30T12:07:10.537223550;334.895223;8;8;459
50;2023-01-30T12:07:10.972341089;333.301354;8;8;459
51;2023-01-30T12:07:11.405811672;274.361748;8;8;459
52;2023-01-30T12:07:11.780370672;262.522262;8;8;459
53;2023-01-30T12:07:12.143112053;262.087276;8;8;459
54;2023-01-30T12:07:12.505358317;254.99042;8;8;459
55;2023-01-30T12:07:12.860571873;250.254156;8;8;459
56;2023-01-30T12:07:13.211122508;254.28855;8;8;459
57;2023-01-30T12:07:13.565614343;237.733113;8;8;459
58;2023-01-30T12:07:13.903542662;273.429142;8;8;459
59;2023-01-30T12:07:14.277131713;269.935504;8;8;459
60;2023-01-30T12:07:14.647212087;272.217022;8;8;459
61;2023-01-30T12:07:15.019629910;241.705126;8;8;459
62;2023-01-30T12:07:15.361576915;251.812575;8;8;459
63;2023-01-30T12:07:15.713675170;258.428231;8;8;459
64;2023-01-30T12:07:16.072309119;256.772513;8;8;459
65;2023-01-30T12:07:16.429270130;266.447422;8;8;459
66;2023-01-30T12:07:16.795943434;236.876078;8;8;459
67;2023-01-30T12:07:17.133025112;267.962568;8;8;459
68;2023-01-30T12:07:17.501253497;255.529793;8;8;459
69;2023-01-30T12:07:17.857017598;257.688318;8;8;459
70;2023-01-30T12:07:18.214909700;254.13479;8;8;459
71;2023-01-30T12:07:18.569252320;275.099785;8;8;459
72;2023-01-30T12:07:18.944534609;259.515669;8;8;459
73;2023-01-30T12:07:19.304263051;280.643756;8;8;459
74;2023-01-30T12:07:19.685138940;271.128052;8;8;459
75;2023-01-30T12:07:20.057708618;268.214951;8;8;459
76;2023-01-30T12:07:20.426199560;267.558318;8;8;459
77;2023-01-30T12:07:20.793997278;293.175806;8;8;459
78;2023-01-30T12:07:21.187326165;332.702205;8;8;459
79;2023-01-30T12:07:21.620201375;314.108531;8;8;459
80;2023-01-30T12:07:22.034547036;323.874662;8;8;459
81;2023-01-30T12:07:22.458617585;305.569037;8;8;459
82;2023-01-30T12:07:22.864414482;339.539979;8;8;459
83;2023-01-30T12:07:23.304322254;442.434776;8;8;459
84;2023-01-30T12:07:23.847059347;314.347189;8;8;459
85;2023-01-30T12:07:24.261644249;347.048627;8;8;459
86;2023-01-30T12:07:24.708913006;307.105857;8;8;459
87;2023-01-30T12:07:25.116164038;284.098955;8;8;459
88;2023-01-30T12:07:25.500474601;267.486105;8;8;459
89;2023-01-30T12:07:25.868166064;292.70135;8;8;459
90;2023-01-30T12:07:26.261048930;278.159633;8;8;459
91;2023-01-30T12:07:26.639427303;270.758715;8;8;459
92;2023-01-30T12:07:27.010413537;264.275154;8;8;459
