Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
0;96.716708;14;14;0;39;42;0.0;0.0
1;43.01725;14;14;0;39;42;0.0;0.0
2;31.528917;14;14;0;39;42;0.0;0.0
