Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
75;2024-03-18T21:53:24.522204000;15.882917;9;9;0;32;47;0.0;0.0
76;2024-03-18T21:53:24.642942000;15.388208;9;9;0;32;47;0.0;0.0
77;2024-03-18T21:53:24.763266000;13.383625;9;9;0;32;47;0.0;0.0
78;2024-03-18T21:53:24.881775000;13.214833;9;9;0;32;47;0.0;0.0
79;2024-03-18T21:53:24.996601000;15.553458;9;9;0;32;46;0.0;0.0
80;2024-03-18T21:53:25.117262000;22.263292;9;9;0;32;47;0.0;0.0
81;2024-03-18T21:53:25.244052000;46.104666;10;10;0;36;48;0.0;0.0
82;2024-03-18T21:53:25.394887000;22.713875;9;9;0;32;47;0.0;0.0
83;2024-03-18T21:53:25.518609000;21.741542;9;9;0;32;47;0.0;0.0
84;2024-03-18T21:53:25.645480000;19.389208;9;9;0;32;47;0.0;0.0
85;2024-03-18T21:53:25.770023000;21.556583;9;9;0;32;47;0.0;0.0
86;2024-03-18T21:53:25.896753000;14.999375;9;9;0;32;47;0.0;0.0
87;2024-03-18T21:53:26.016861000;21.332375;9;9;0;32;47;0.0;0.0
88;2024-03-18T21:53:26.143377000;24.770958;9;9;0;32;47;0.0;0.0
89;2024-03-18T21:53:26.271579000;13.752583;9;9;0;32;47;0.0;0.0
90;2024-03-18T21:53:26.390437000;14.268333;9;9;0;32;47;0.0;0.0
91;2024-03-18T21:53:26.509815000;15.855792;10;10;0;36;49;0.0;0.0
92;2024-03-18T21:53:26.630682000;26.666125;9;9;0;32;47;0.0;0.0
93;2024-03-18T21:53:26.762611000;18.598083;9;9;0;32;47;0.0;0.0
94;2024-03-18T21:53:26.885638000;17.502833;9;9;0;32;47;0.0;0.0
95;2024-03-18T21:53:27.008250000;20.110083;9;9;0;32;47;0.0;0.0
96;2024-03-18T21:53:27.133560000;12.783584;9;9;0;32;47;0.0;0.0
97;2024-03-18T21:53:27.251438000;23.688666;9;9;0;32;47;0.0;0.0
98;2024-03-18T21:53:27.379711000;22.3745;9;9;0;32;47;0.0;0.0
99;2024-03-18T21:53:27.506136000;12.882041;9;9;0;32;47;0.0;0.0
100;2024-03-18T21:53:27.624134000;18.690583;9;9;0;32;47;0.0;0.0
101;2024-03-18T21:53:27.747001000;20.371875;9;9;0;32;47;0.0;0.0
102;2024-03-18T21:53:27.872575000;25.570375;9;9;0;32;47;0.0;0.0
103;2024-03-18T21:53:28.003309000;26.110792;9;9;0;32;47;0.0;0.0
104;2024-03-18T21:53:28.134626000;20.909584;9;9;0;32;47;0.0;0.0
105;2024-03-18T21:53:28.259646000;15.879875;9;9;0;32;47;0.0;0.0
106;2024-03-18T21:53:28.380659000;27.908375;9;9;0;32;46;0.0;0.0
107;2024-03-18T21:53:28.509046000;19.773;9;9;0;32;47;0.0;0.0
108;2024-03-18T21:53:28.631325000;20.378833;9;9;0;32;47;0.0;0.0
109;2024-03-18T21:53:28.756890000;22.5895;9;9;0;32;47;0.0;0.0
110;2024-03-18T21:53:28.884424000;17.249541;9;9;0;32;47;0.0;0.0
111;2024-03-18T21:53:29.006925000;20.950084;9;9;0;32;47;0.0;0.0
112;2024-03-18T21:53:29.133141000;23.190458;9;9;0;32;47;0.0;0.0
113;2024-03-18T21:53:29.257632000;19.353583;9;9;0;32;47;0.0;0.0
114;2024-03-18T21:53:29.379272000;18.178375;9;9;0;32;47;0.0;0.0
115;2024-03-18T21:53:29.500669000;18.855083;9;9;0;32;47;0.0;0.0
116;2024-03-18T21:53:29.624790000;48.983542;9;9;0;32;47;0.0;0.0
117;2024-03-18T21:53:29.778353000;14.876917;9;9;0;32;47;0.0;0.0
118;2024-03-18T21:53:29.894596000;15.628375;9;9;0;32;47;0.0;0.0
119;2024-03-18T21:53:30.014047000;18.2415;9;9;0;32;47;0.0;0.0
120;2024-03-18T21:53:30.132694000;15.740292;9;9;0;32;47;0.0;0.0
121;2024-03-18T21:53:30.250868000;38.24625;9;9;0;32;46;0.0;0.0
122;2024-03-18T21:53:30.394304000;15.12425;9;9;0;32;47;0.0;0.0
123;2024-03-18T21:53:30.513122000;14.325291;9;9;0;32;47;0.0;0.0
124;2024-03-18T21:53:30.632674000;30.747792;9;9;0;32;47;0.0;0.0
125;2024-03-18T21:53:30.767025000;14.95775;9;9;0;32;47;0.0;0.0
126;2024-03-18T21:53:30.886544000;18.512292;9;9;0;32;47;0.0;0.0
127;2024-03-18T21:53:31.006241000;39.941;9;9;0;32;47;0.0;0.0
128;2024-03-18T21:53:31.151316000;13.737458;9;9;0;32;47;0.0;0.0
129;2024-03-18T21:53:31.270168000;16.517375;9;9;0;32;47;0.0;0.0
