Id;StartingWallTime;Texec;expectedH;realH
0;2023-01-30T11:56:48.738996309;38.188576;5;5;36
1;2023-01-30T11:56:48.877453234;13.90626;5;5;36
2;2023-01-30T11:56:48.991585120;11.488664;5;5;36
3;2023-01-30T11:56:49.103282212;10.147517;5;5;36
4;2023-01-30T11:56:49.213743702;10.187729;5;5;36
5;2023-01-30T11:56:49.324148781;10.02755;5;5;36
6;2023-01-30T11:56:49.434354809;8.806034;5;5;36
7;2023-01-30T11:56:49.543360643;9.856417;5;5;36
8;2023-01-30T11:56:49.653583764;12.580814;5;5;36
9;2023-01-30T11:56:49.766325788;7.599957;5;5;36
10;2023-01-30T11:56:49.874091375;7.4102;5;5;36
11;2023-01-30T11:56:49.981642705;7.511365;5;5;36
12;2023-01-30T11:56:50.089340184;7.601547;5;5;36
13;2023-01-30T11:56:50.197082911;6.770015;5;5;36
14;2023-01-30T11:56:50.303969270;6.161006;5;5;36
15;2023-01-30T11:56:50.410274095;6.318162;5;5;36
16;2023-01-30T11:56:50.516735066;6.855626;5;5;36
17;2023-01-30T11:56:50.623753750;15.859476;5;5;36
18;2023-01-30T11:56:50.739786118;6.817987;5;5;36
19;2023-01-30T11:56:50.846741097;7.639429;5;5;36
20;2023-01-30T11:56:50.954531585;6.357242;5;5;36
21;2023-01-30T11:56:51.061015770;6.532494;5;5;36
22;2023-01-30T11:56:51.167673482;7.344161;5;5;36
23;2023-01-30T11:56:51.275138436;6.545081;5;5;36
24;2023-01-30T11:56:51.381803467;5.70581;5;5;36
25;2023-01-30T11:56:51.487629342;6.459043;5;5;36
26;2023-01-30T11:56:51.594217951;6.739682;5;5;36
27;2023-01-30T11:56:51.701085136;9.245405;5;5;36
28;2023-01-30T11:56:51.810464499;6.23641;5;5;36
29;2023-01-30T11:56:51.916823834;8.007316;5;5;36
30;2023-01-30T11:56:52.024975240;5.997602;5;5;36
31;2023-01-30T11:56:52.131117154;6.096673;5;5;36
32;2023-01-30T11:56:52.237387554;6.084048;5;5;36
33;2023-01-30T11:56:52.343622972;5.986951;5;5;36
34;2023-01-30T11:56:52.449763982;5.809477;5;5;36
35;2023-01-30T11:56:52.555698521;5.975797;5;5;36
36;2023-01-30T11:56:52.661812775;7.021919;5;5;36
37;2023-01-30T11:56:52.769056293;5.570777;5;5;36
38;2023-01-30T11:56:52.874776111;5.603829;5;5;36
39;2023-01-30T11:56:52.980500736;5.244292;5;5;36
40;2023-01-30T11:56:53.085863236;5.381248;5;5;36
41;2023-01-30T11:56:53.191369102;5.344413;5;5;36
42;2023-01-30T11:56:53.296844042;5.603059;5;5;36
43;2023-01-30T11:56:53.402591670;5.099563;5;5;36
44;2023-01-30T11:56:53.507807739;5.395823;5;5;36
45;2023-01-30T11:56:53.613317695;5.518184;5;5;36
46;2023-01-30T11:56:53.718955583;5.865879;5;5;36
47;2023-01-30T11:56:53.824944697;5.66225;5;5;36
48;2023-01-30T11:56:53.930724707;5.380162;5;5;36
49;2023-01-30T11:56:54.036224152;5.497954;5;5;36
50;2023-01-30T11:56:54.141858910;6.05498;5;5;36
51;2023-01-30T11:56:54.248040916;6.381943;5;5;36
52;2023-01-30T11:56:54.354568248;6.102506;5;5;36
53;2023-01-30T11:56:54.460792166;5.802213;5;5;36
54;2023-01-30T11:56:54.566722772;5.023227;5;5;36
55;2023-01-30T11:56:54.671885079;7.608878;5;5;36
56;2023-01-30T11:56:54.779631174;6.147636;5;5;36
57;2023-01-30T11:56:54.885911361;5.879243;5;5;36
