PID;utime;stime;elapsed;cpu_usage
3554262;45;43;1170;7
3554374;600;43;1167;55
3554501;576;43;1166;53
3554639;628;42;1164;57
3554790;661;43;1162;60
3554953;631;42;1160;58
3555125;617;43;1157;57
3555304;629;41;1155;58
3555493;677;40;1153;62
3555693;688;42;1151;63
3555881;636;42;1149;59
3556066;643;43;1147;59
3556254;622;39;1145;57
3556445;675;43;1143;62
3556641;633;43;1141;59
3556842;666;42;1139;62
3557046;622;44;1137;58
3557254;647;42;1135;60
3557466;679;41;1133;63
3557682;650;43;1131;61
3557902;646;43;1129;61
3558126;621;44;1127;59
3558354;639;44;1125;60
3558586;526;44;1123;50
3558822;506;44;1121;49
3559062;692;42;1119;65
3559306;656;43;1117;62
3559554;542;44;1115;52
3559807;608;44;1113;58
3560070;625;43;1111;60
3560333;647;44;1109;62
3560599;659;43;1107;63
3560871;646;44;1105;62
3561149;561;45;1103;54
3561429;549;44;1101;53
3561714;623;44;1099;60
3561998;670;42;1097;64
3562286;498;47;1095;49
3562578;699;44;1093;67
3562874;624;44;1091;61
3563174;570;45;1089;56
3563478;572;46;1087;56
3563786;598;45;1085;59
3564098;710;45;1083;69
3564414;641;44;1081;63
3564734;688;44;1079;67
3565058;617;46;1077;61
3565386;638;45;1075;63
3565718;659;44;1073;65
3566054;630;44;1071;62
3566394;570;45;1069;57
3566738;636;46;1067;63
3567086;655;45;1065;65
3567438;660;45;1063;66
3567794;677;45;1061;68
3568154;687;45;1059;69
3568518;675;44;1057;68
3568886;654;45;1055;66
3569258;637;40;1053;64
3569634;636;46;1051;64
3570014;690;44;1049;69
3570398;643;46;1047;65
3570787;676;45;1045;68
3571179;606;46;1043;62
3571575;695;45;1041;71
3571976;644;46;1039;66
3572381;717;44;1037;73
3572802;654;46;1035;67
3573266;718;45;1033;73
3573695;679;44;1031;70
3574128;678;46;1029;70
3574565;672;44;1027;69
3575006;679;45;1025;70
3575451;443;45;1023;47
3575900;691;46;1021;72
3576353;634;45;1019;66
3576823;648;45;1017;68
3577284;649;44;1015;68
3577763;670;44;1013;70
3578245;594;45;1011;63
3578731;647;47;1009;68
3579210;680;45;1007;71
3579691;717;43;1005;75
3580177;661;45;1003;70
3580679;631;41;1001;67
3581185;579;45;999;62
3581773;599;45;997;64
3582287;489;46;995;53
3582792;652;44;993;70
3583302;643;46;991;69
3583820;627;43;989;67
3584366;652;43;987;70
3584905;668;44;985;72
3585435;623;45;983;67
3585969;679;40;981;73
3586507;647;43;979;70
3587062;663;44;977;72
3587608;647;45;975;70
3588159;656;45;973;72
3588713;669;44;971;73
3589284;686;45;969;75
3589847;658;45;967;72
3590415;701;44;965;77
3590981;673;44;963;74
3591551;662;44;961;73
3592130;473;42;959;53
3592714;586;45;957;65
3593341;649;44;955;72
3593947;655;45;953;73
3594553;680;45;951;76
3595150;590;44;949;66
3595751;611;44;947;69
3596384;632;44;945;71
3597009;601;44;943;68
3597636;680;44;941;76
3598258;554;41;939;63
3598880;679;43;937;77
3599506;657;42;935;74
3600163;561;45;933;64
3600811;688;40;931;78
3601463;676;44;929;77
3602106;716;42;927;81
3602752;690;43;925;79
3603404;657;41;923;75
3604071;647;45;921;75
3604743;632;42;919;73
3605403;643;41;917;74
3606080;661;44;915;77
