PID;utime;stime;elapsed;cpu_usage
3335133;26;18;243;18
3335245;134;18;240;63
3335372;142;18;238;67
3335509;134;17;236;63
3335661;136;18;234;65
3335824;135;17;232;65
3335995;137;17;230;66
3336174;138;17;228;67
3336363;137;16;226;67
3336561;141;18;224;70
3336751;138;17;222;69
3336935;141;17;220;71
3337123;134;18;218;69
3337315;143;17;216;74
3337512;142;18;214;74
3337713;140;17;212;74
3337918;142;18;210;76
3338126;138;18;208;75
3338338;136;18;206;74
3338554;136;18;204;75
3338774;137;16;202;75
3338999;142;18;200;80
3339228;140;18;198;79
3339460;137;17;196;78
3339697;137;17;194;79
3339937;142;18;192;83
3340182;134;16;190;78
3340430;137;18;188;82
3340683;135;16;186;81
3340947;139;18;184;85
3341210;134;18;182;83
3341475;138;18;180;86
3341748;137;16;178;85
3342028;134;17;176;85
3342307;138;18;174;89
3342590;137;17;172;89
3342875;136;17;170;90
3343163;140;18;168;94
3343455;139;17;166;93
3343751;138;18;164;95
3344051;135;17;162;93
3344354;138;18;160;97
3344662;140;20;158;101
3344974;138;17;156;99
3345290;137;18;154;100
3345609;138;18;152;102
3345933;140;17;150;104
3346261;135;17;148;102
3346593;139;17;146;106
3346929;138;17;144;107
3347269;140;17;142;110
3347613;141;17;140;112
3347961;138;17;138;112
3348313;144;18;136;119
3348669;136;18;134;114
3349029;140;17;132;118
3349393;142;17;130;122
3349762;137;15;128;118
3350134;137;15;126;120
3350511;140;17;124;126
3350891;138;17;122;127
3351275;143;17;120;133
3351663;140;17;118;133
3352055;138;17;116;133
