PID;utime;stime;elapsed;cpu_usage
3077751;19;12;114;27
3077863;68;12;111;72
3077990;70;13;109;76
3078128;71;12;107;77
3078280;71;12;105;79
3078444;69;12;103;78
3078616;69;12;101;80
3078793;72;12;99;84
3078981;70;12;97;84
3079180;71;13;95;88
3079368;71;12;93;89
3079552;69;13;91;90
3079740;71;13;90;93
3079932;71;11;88;93
3080128;71;12;86;96
3080329;71;13;84;100
3080532;73;13;82;104
3080741;70;12;80;102
3080953;71;12;78;106
3081169;71;13;76;110
3081389;73;12;74;114
3081615;72;13;72;118
3081843;72;13;70;121
3082075;71;12;68;122
3082311;71;13;66;127
3082551;71;12;64;129
3082795;71;12;62;133
3083043;72;11;60;138
3083295;73;9;58;141
3083557;74;12;56;153
3083821;73;12;54;157
3084088;73;12;52;163
