PID;utime;stime;elapsed;cpu_usage
3494799;24;18;122;34
3494912;80;18;119;82
3495039;81;17;117;83
3495178;82;19;115;87
3495330;80;15;113;84
3495495;83;18;111;90
3495666;82;17;109;90
3495844;83;18;107;94
3496032;80;14;105;89
3496228;83;19;103;99
3496419;82;18;101;99
3496603;83;19;99;103
3496791;83;18;97;104
3496983;82;18;95;105
3497179;83;18;93;108
3497380;85;18;91;113
3497584;83;17;89;112
3497792;84;18;87;117
3498004;85;19;85;122
3498219;86;18;83;125
3498439;84;17;81;124
3498664;84;18;79;129
3498893;84;18;77;132
3499126;83;18;75;134
3499363;85;18;73;141
3499604;84;18;71;143
3499848;84;18;69;147
3500096;84;18;67;152
3500349;88;14;65;156
3500611;88;17;63;166
3500876;85;14;61;162
3501142;86;15;59;171
