PID;utime;stime;elapsed;cpu_usage
3158095;25;18;254;16
3158207;148;18;251;66
3158334;148;18;249;66
3158473;149;17;247;67
3158624;150;18;245;68
3158787;149;18;243;68
3158958;148;19;241;69
3159135;148;19;239;69
3159322;149;18;237;70
3159520;148;19;235;71
3159712;150;19;233;72
3159897;148;18;231;71
3160085;149;18;229;72
3160277;150;18;227;74
3160473;151;19;225;75
3160674;150;18;223;75
3160879;149;19;221;76
3161088;151;18;219;77
3161302;151;19;217;78
3161518;153;19;215;80
3161738;152;19;213;80
3161964;150;20;211;80
3162193;150;18;209;80
3162425;148;18;207;80
3162661;150;19;205;82
3162901;151;19;203;83
3163145;150;18;201;83
3163393;150;18;199;84
3163646;151;18;197;85
3163907;151;18;195;86
3164169;152;18;193;88
3164437;149;18;191;87
3164708;151;19;190;89
3164986;151;18;188;89
3165265;152;18;186;91
3165548;151;17;184;91
3165832;151;16;182;91
3166120;152;17;180;93
3166412;151;18;178;94
3166708;151;18;176;96
3167008;151;17;174;96
3167312;151;17;172;97
3167620;150;17;170;98
3167932;151;17;168;100
3168248;150;18;166;101
3168568;152;18;164;103
3168892;154;18;162;106
3169220;151;18;160;105
3169552;151;17;158;106
3169888;152;18;156;108
3170228;154;18;154;111
3170572;152;18;152;111
3170920;150;17;150;111
3171272;153;18;148;115
3171628;150;15;146;113
3171988;152;17;144;117
3172352;151;18;142;119
3172720;152;18;140;121
3173092;150;17;138;121
3173468;150;14;136;120
3173848;152;17;134;126
3174232;151;17;132;127
3174621;152;17;130;130
3175013;151;18;128;132
