PID;utime;stime;elapsed;cpu_usage
3376513;38;33;656;10
3376625;263;32;653;45
3376752;276;32;651;47
3376891;249;33;649;43
3377042;273;33;647;47
3377206;272;32;645;47
3377377;256;33;643;44
3377554;274;33;641;47
3377742;258;30;639;45
3377942;231;32;637;41
3378132;245;32;635;43
3378316;268;33;633;47
3378504;250;33;631;44
3378696;281;33;629;49
3378892;266;33;627;47
3379093;243;31;625;43
3379297;277;34;623;49
3379505;241;34;621;44
3379717;281;31;619;50
3379933;296;34;617;53
3380153;237;34;615;44
3380378;237;34;613;44
3380607;289;34;611;52
3380839;238;34;609;44
3381075;270;33;607;49
3381314;278;32;605;51
3381558;275;33;603;51
3381806;273;34;601;51
3382059;294;32;599;54
3382321;274;34;597;51
3382583;260;31;595;48
3382850;231;34;593;44
3383122;219;32;591;42
3383401;253;33;589;48
3383681;283;34;587;54
3383963;237;33;585;46
3384249;290;35;583;55
3384537;237;33;581;46
3384829;265;35;579;51
3385125;244;35;577;48
3385425;264;34;575;51
3385730;278;34;573;54
3386038;254;34;571;50
3386350;284;34;569;55
3386666;254;33;567;50
3386986;247;34;565;49
3387310;242;33;563;48
3387638;222;35;561;45
3387970;224;34;559;46
3388306;264;34;557;53
3388646;263;30;555;52
3388990;297;34;553;59
3389339;259;34;551;53
3389691;303;34;549;61
3390047;298;34;547;60
3390407;268;33;545;55
3390771;255;34;543;53
3391139;243;33;541;51
3391511;258;33;539;53
3391887;267;33;537;55
3392267;301;33;535;62
3392651;257;34;533;54
3393039;284;34;531;59
3393431;235;34;529;50
3393827;271;34;527;57
3394228;267;32;525;56
3394632;260;34;523;56
3395053;261;33;521;56
3395477;249;33;519;54
3395906;260;33;517;56
3396326;266;33;515;58
3396776;281;34;513;61
3397217;267;30;511;58
3397675;259;33;509;57
3398124;280;34;507;61
3398577;238;32;505;53
3399034;284;33;503;63
3399521;269;32;501;60
3400011;247;34;499;56
3400480;284;34;497;63
3400953;232;34;495;53
3401431;276;30;493;62
3401925;297;32;491;67
3402411;286;34;489;65
3402926;252;34;487;58
3403419;285;33;485;65
3404008;286;35;483;66
3404522;272;35;481;63
3405040;270;34;479;63
3405551;253;34;477;60
3406083;272;33;475;64
3406604;295;33;473;69
3407130;271;30;471;63
3407672;286;30;469;67
3408206;277;33;467;66
3408745;245;33;465;59
3409325;300;34;463;72
3409871;288;32;461;69
3410436;256;33;459;62
3411004;261;34;457;64
3411561;304;34;455;74
3412123;295;34;453;72
3412702;270;30;451;66
3413269;286;30;449;70
3413866;285;34;447;71
3414444;291;33;445;72
3415042;291;33;443;73
3415628;304;32;441;76
3416218;238;31;439;61
3416813;292;31;437;73
3417409;224;35;435;59
3418012;284;31;433;72
3418632;262;28;431;67
3419245;275;28;429;70
3419858;254;28;427;66
3420491;250;28;425;65
3421115;270;27;423;70
3421741;300;31;421;78
3422386;284;29;419;74
3423047;248;27;417;65
3423686;275;27;415;72
3424342;265;28;413;70
3424999;230;28;411;62
3425663;281;28;409;75
3426319;254;29;407;69
3426978;259;27;405;70
3427652;258;28;403;70
3428340;243;28;401;67
