type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694429867;0.582035
APPROXIMATION;-1;100;1;1672694429869;0.762686
APPROXIMATION;-1;100;2;1672694429871;0.827297
HALTED;-1;100;3;1672694429920;0.582625
INITIALIZATION;-1;101;0;1672694430011;0.587345
APPROXIMATION;-1;101;1;1672694430013;0.601695
APPROXIMATION;-1;101;2;1672694430014;0.590255
HALTED;-1;101;3;1672694430014;0.534395
INITIALIZATION;-1;102;0;1672694430162;0.660086
APPROXIMATION;-1;102;1;1672694430163;0.581855
APPROXIMATION;-1;102;2;1672694430164;0.613576
HALTED;-1;102;3;1672694430165;0.498274
INITIALIZATION;-1;103;0;1672694430267;0.587495
APPROXIMATION;-1;103;1;1672694430268;0.531695
APPROXIMATION;-1;103;2;1672694430269;0.652196
HALTED;-1;103;3;1672694430270;0.577525
INITIALIZATION;-1;104;0;1672694430372;0.617816
APPROXIMATION;-1;104;1;1672694430373;0.561875
APPROXIMATION;-1;104;2;1672694430373;0.592005
HALTED;-1;104;3;1672694430375;0.538995
INITIALIZATION;-1;105;0;1672694430476;0.546725
APPROXIMATION;-1;105;1;1672694430477;0.539895
APPROXIMATION;-1;105;2;1672694430479;0.568445
HALTED;-1;105;3;1672694430479;0.504875
INITIALIZATION;-1;106;0;1672694430621;0.607446
APPROXIMATION;-1;106;1;1672694430623;0.543935
APPROXIMATION;-1;106;2;1672694430624;0.588145
HALTED;-1;106;3;1672694430669;0.559484
INITIALIZATION;-1;107;0;1672694430726;0.505465
APPROXIMATION;-1;107;1;1672694430727;0.543815
APPROXIMATION;-1;107;2;1672694430728;0.565695
HALTED;-1;107;3;1672694430729;0.642325
INITIALIZATION;-1;108;0;1672694430831;0.613425
APPROXIMATION;-1;108;1;1672694430832;0.580725
APPROXIMATION;-1;108;2;1672694430833;0.536505
HALTED;-1;108;3;1672694430834;0.535965
INITIALIZATION;-1;109;0;1672694430935;0.564495
APPROXIMATION;-1;109;1;1672694430936;0.465004
APPROXIMATION;-1;109;2;1672694430937;0.450804
HALTED;-1;109;3;1672694430938;0.462124
INITIALIZATION;-1;110;0;1672694431039;0.685966
APPROXIMATION;-1;110;1;1672694431040;0.570385
APPROXIMATION;-1;110;2;1672694431041;0.549415
HALTED;-1;110;3;1672694431089;0.506095
INITIALIZATION;-1;111;0;1672694431192;0.565245
APPROXIMATION;-1;111;1;1672694431193;0.688006
APPROXIMATION;-1;111;2;1672694431194;0.701266
HALTED;-1;111;3;1672694431195;0.498364
INITIALIZATION;-1;112;0;1672694431297;0.584865
APPROXIMATION;-1;112;1;1672694431298;0.513974
APPROXIMATION;-1;112;2;1672694431299;0.536815
HALTED;-1;112;3;1672694431299;0.581335
INITIALIZATION;-1;113;0;1672694431441;0.565785
APPROXIMATION;-1;113;1;1672694431442;0.589226
APPROXIMATION;-1;113;2;1672694431443;0.495184
HALTED;-1;113;3;1672694431490;0.515494
INITIALIZATION;-1;114;0;1672694431546;0.521584
APPROXIMATION;-1;114;1;1672694431547;0.443654
APPROXIMATION;-1;114;2;1672694431548;0.535105
HALTED;-1;114;3;1672694431549;0.440884
INITIALIZATION;-1;115;0;1672694431651;0.845448
APPROXIMATION;-1;115;1;1672694431653;0.645946
APPROXIMATION;-1;115;2;1672694431654;0.564795
HALTED;-1;115;3;1672694431655;0.619925
INITIALIZATION;-1;116;0;1672694431802;0.731236
APPROXIMATION;-1;116;1;1672694431803;0.476554
APPROXIMATION;-1;116;2;1672694431804;0.648275
HALTED;-1;116;3;1672694431805;0.523095
