type;receiverPort;reqIdInternal;Round;startWalltime;duration
APPROXIMATION;-1;126;2;1672694432939;0.761177
HALTED;-1;126;3;1672694432940;0.544674
INITIALIZATION;-1;127;0;1672694433042;0.505995
APPROXIMATION;-1;127;1;1672694433043;0.601065
APPROXIMATION;-1;127;2;1672694433044;0.490554
HALTED;-1;127;3;1672694433090;0.675705
INITIALIZATION;-1;128;0;1672694433191;0.548605
APPROXIMATION;-1;128;1;1672694433193;0.632916
APPROXIMATION;-1;128;2;1672694433194;0.541594
HALTED;-1;128;3;1672694433195;0.666055
INITIALIZATION;-1;129;0;1672694433297;0.449304
APPROXIMATION;-1;129;1;1672694433298;0.558574
APPROXIMATION;-1;129;2;1672694433299;0.564265
HALTED;-1;129;3;1672694433300;0.599505
INITIALIZATION;-1;130;0;1672694433401;0.510935
APPROXIMATION;-1;130;1;1672694433402;0.625625
APPROXIMATION;-1;130;2;1672694433403;0.619975
HALTED;-1;130;3;1672694433450;0.613415
INITIALIZATION;-1;131;0;1672694433551;0.436774
APPROXIMATION;-1;131;1;1672694433552;0.560805
APPROXIMATION;-1;131;2;1672694433553;0.665496
HALTED;-1;131;3;1672694433554;0.557915
INITIALIZATION;-1;132;0;1672694433655;0.514624
APPROXIMATION;-1;132;1;1672694433656;0.549755
APPROXIMATION;-1;132;2;1672694433657;0.538555
HALTED;-1;132;3;1672694433658;0.600356
INITIALIZATION;-1;133;0;1672694433759;0.658596
APPROXIMATION;-1;133;1;1672694433762;0.634056
APPROXIMATION;-1;133;2;1672694433762;0.441314
HALTED;-1;133;3;1672694433809;0.565925
INITIALIZATION;-1;134;0;1672694433910;0.451934
APPROXIMATION;-1;134;1;1672694433912;0.498094
APPROXIMATION;-1;134;2;1672694433913;0.593235
HALTED;-1;134;3;1672694433913;0.532404
INITIALIZATION;-1;135;0;1672694434014;0.507774
APPROXIMATION;-1;135;1;1672694434016;0.526024
APPROXIMATION;-1;135;2;1672694434017;0.619985
HALTED;-1;135;3;1672694434018;0.654886
INITIALIZATION;-1;136;0;1672694434119;0.460994
APPROXIMATION;-1;136;1;1672694434120;0.574165
APPROXIMATION;-1;136;2;1672694434121;0.528774
HALTED;-1;136;3;1672694434122;0.522265
INITIALIZATION;-1;137;0;1672694434223;0.529675
APPROXIMATION;-1;137;1;1672694434224;0.525414
APPROXIMATION;-1;137;2;1672694434225;0.588215
HALTED;-1;137;3;1672694434225;0.566975
INITIALIZATION;-1;138;0;1672694434326;0.473804
APPROXIMATION;-1;138;1;1672694434328;0.535795
APPROXIMATION;-1;138;2;1672694434329;0.524644
HALTED;-1;138;3;1672694434370;0.542894
INITIALIZATION;-1;139;0;1672694434470;0.442794
APPROXIMATION;-1;139;1;1672694434472;0.558955
APPROXIMATION;-1;139;2;1672694434473;0.523735
HALTED;-1;139;3;1672694434474;0.490274
INITIALIZATION;-1;140;0;1672694434575;0.516475
APPROXIMATION;-1;140;1;1672694434577;0.538504
APPROXIMATION;-1;140;2;1672694434577;0.503614
HALTED;-1;140;3;1672694434578;0.510054
INITIALIZATION;-1;141;0;1672694434679;0.500795
APPROXIMATION;-1;141;1;1672694434681;0.549495
APPROXIMATION;-1;141;2;1672694434682;0.554015
HALTED;-1;141;3;1672694434683;0.517575
INITIALIZATION;-1;142;0;1672694434784;0.531654
APPROXIMATION;-1;142;1;1672694434786;0.587045
APPROXIMATION;-1;142;2;1672694434787;0.489174
HALTED;-1;142;3;1672694434788;0.355203
INITIALIZATION;-1;143;0;1672694434888;0.462954
APPROXIMATION;-1;143;1;1672694434890;0.545445
APPROXIMATION;-1;143;2;1672694434891;0.545455
HALTED;-1;143;3;1672694434940;0.472154
INITIALIZATION;-1;144;0;1672694435041;0.520784
APPROXIMATION;-1;144;1;1672694435042;0.638615
APPROXIMATION;-1;144;2;1672694435043;0.576865
HALTED;-1;144;3;1672694435044;0.538095
INITIALIZATION;-1;145;0;1672694435145;0.536005
APPROXIMATION;-1;145;1;1672694435146;0.599455
APPROXIMATION;-1;145;2;1672694435147;0.530035
HALTED;-1;145;3;1672694435190;0.554135
INITIALIZATION;-1;146;0;1672694435291;0.439404
APPROXIMATION;-1;146;1;1672694435292;0.528795
APPROXIMATION;-1;146;2;1672694435293;0.608915
HALTED;-1;146;3;1672694435294;0.528705
INITIALIZATION;-1;147;0;1672694435395;0.623896
APPROXIMATION;-1;147;1;1672694435396;0.535294
APPROXIMATION;-1;147;2;1672694435397;0.575425
HALTED;-1;147;3;1672694435398;0.590126
INITIALIZATION;-1;148;0;1672694435499;0.520035
APPROXIMATION;-1;148;1;1672694435501;0.554535
APPROXIMATION;-1;148;2;1672694435502;0.450694
HALTED;-1;148;3;1672694435550;0.485404
INITIALIZATION;-1;149;0;1672694435651;0.407053
APPROXIMATION;-1;149;1;1672694435652;0.528855
APPROXIMATION;-1;149;2;1672694435653;0.484454
HALTED;-1;149;3;1672694435654;0.491435
INITIALIZATION;-1;150;0;1672694435754;0.447474
APPROXIMATION;-1;150;1;1672694435756;0.459094
APPROXIMATION;-1;150;2;1672694435758;0.489034
HALTED;-1;150;3;1672694435759;0.679506
INITIALIZATION;-1;151;0;1672694435860;0.509795
APPROXIMATION;-1;151;1;1672694435862;0.478175
APPROXIMATION;-1;151;2;1672694435863;0.590295
HALTED;-1;151;3;1672694435864;0.540375
INITIALIZATION;-1;152;0;1672694435965;0.462174
APPROXIMATION;-1;152;1;1672694435967;0.518614
APPROXIMATION;-1;152;2;1672694435968;0.587545
HALTED;-1;152;3;1672694436010;0.588075
INITIALIZATION;-1;153;0;1672694436111;0.442394
APPROXIMATION;-1;153;1;1672694436112;0.655256
APPROXIMATION;-1;153;2;1672694436113;0.688406
HALTED;-1;153;3;1672694436114;0.480054
INITIALIZATION;-1;154;0;1672694436215;0.501204
APPROXIMATION;-1;154;1;1672694436216;0.633255
APPROXIMATION;-1;154;2;1672694436217;0.640616
HALTED;-1;154;3;1672694436218;0.477944
INITIALIZATION;-1;155;0;1672694436319;0.457644
APPROXIMATION;-1;155;1;1672694436321;0.634296
APPROXIMATION;-1;155;2;1672694436322;0.555295
HALTED;-1;155;3;1672694436322;0.439764
INITIALIZATION;-1;156;0;1672694436423;0.480754
APPROXIMATION;-1;156;1;1672694436425;0.601665
APPROXIMATION;-1;156;2;1672694436426;0.659016
HALTED;-1;156;3;1672694436427;0.627125
INITIALIZATION;-1;157;0;1672694436528;0.526895
APPROXIMATION;-1;157;1;1672694436531;0.899888
APPROXIMATION;-1;157;2;1672694436534;0.816407
HALTED;-1;157;3;1672694436536;0.480294
INITIALIZATION;-1;158;0;1672694436637;0.528565
APPROXIMATION;-1;158;1;1672694436639;0.669446
APPROXIMATION;-1;158;2;1672694436640;0.648616
HALTED;-1;158;3;1672694436641;0.494344
INITIALIZATION;-1;159;0;1672694436742;0.457974
APPROXIMATION;-1;159;1;1672694436743;0.532025
APPROXIMATION;-1;159;2;1672694436745;0.674386
HALTED;-1;159;3;1672694436745;0.462824
INITIALIZATION;-1;160;0;1672694436846;0.501975
APPROXIMATION;-1;160;1;1672694436848;0.607595
APPROXIMATION;-1;160;2;1672694436849;0.534715
HALTED;-1;160;3;1672694436849;0.485475
INITIALIZATION;-1;161;0;1672694436950;0.506674
APPROXIMATION;-1;161;1;1672694436952;0.576005
APPROXIMATION;-1;161;2;1672694436953;0.440724
HALTED;-1;161;3;1672694436953;0.546644
INITIALIZATION;-1;162;0;1672694437054;0.460544
APPROXIMATION;-1;162;1;1672694437056;0.565975
APPROXIMATION;-1;162;2;1672694437057;0.604655
