type;receiverPort;reqIdInternal;Round;startWalltime;duration
APPROXIMATION;-1;106;13;1672694726084;0.458994
HALTED;-1;106;14;1672694726085;0.425894
INITIALIZATION;-1;107;0;1672694726187;0.452274
APPROXIMATION;-1;107;1;1672694726218;0.419094
APPROXIMATION;-1;107;2;1672694726219;0.455074
APPROXIMATION;-1;107;3;1672694726219;0.573605
APPROXIMATION;-1;107;4;1672694726220;0.371243
APPROXIMATION;-1;107;5;1672694726220;0.424124
APPROXIMATION;-1;107;6;1672694726221;0.314513
APPROXIMATION;-1;107;7;1672694726221;0.380214
APPROXIMATION;-1;107;8;1672694726222;0.404813
APPROXIMATION;-1;107;9;1672694726222;0.426864
APPROXIMATION;-1;107;10;1672694726223;0.397303
APPROXIMATION;-1;107;11;1672694726223;0.330083
APPROXIMATION;-1;107;12;1672694726224;0.328283
APPROXIMATION;-1;107;13;1672694726224;0.387083
HALTED;-1;107;14;1672694726225;0.347423
INITIALIZATION;-1;108;0;1672694726327;0.486005
APPROXIMATION;-1;108;1;1672694726327;0.426574
APPROXIMATION;-1;108;2;1672694726328;0.403063
APPROXIMATION;-1;108;3;1672694726329;0.429434
APPROXIMATION;-1;108;4;1672694726329;0.438744
APPROXIMATION;-1;108;5;1672694726330;0.426454
APPROXIMATION;-1;108;6;1672694726330;0.367563
APPROXIMATION;-1;108;7;1672694726331;0.326802
APPROXIMATION;-1;108;8;1672694726331;0.369723
APPROXIMATION;-1;108;9;1672694726332;0.323933
APPROXIMATION;-1;108;10;1672694726332;0.334353
APPROXIMATION;-1;108;11;1672694726333;0.323903
APPROXIMATION;-1;108;12;1672694726333;0.385364
APPROXIMATION;-1;108;13;1672694726334;0.380133
HALTED;-1;108;14;1672694726334;0.352033
INITIALIZATION;-1;109;0;1672694726437;0.616345
APPROXIMATION;-1;109;1;1672694726437;0.698737
APPROXIMATION;-1;109;2;1672694726438;0.336873
APPROXIMATION;-1;109;3;1672694726438;0.346453
APPROXIMATION;-1;109;4;1672694726439;0.425213
APPROXIMATION;-1;109;5;1672694726440;0.327772
APPROXIMATION;-1;109;6;1672694726440;0.266632
APPROXIMATION;-1;109;7;1672694726441;0.290013
APPROXIMATION;-1;109;8;1672694726441;0.269752
APPROXIMATION;-1;109;9;1672694726442;0.258582
APPROXIMATION;-1;109;10;1672694726442;0.335653
APPROXIMATION;-1;109;11;1672694726442;0.262683
APPROXIMATION;-1;109;12;1672694726443;0.250653
APPROXIMATION;-1;109;13;1672694726443;0.264393
HALTED;-1;109;14;1672694726444;0.241142
INITIALIZATION;-1;110;0;1672694726546;0.602106
APPROXIMATION;-1;110;1;1672694726547;0.396094
APPROXIMATION;-1;110;2;1672694726548;0.489614
APPROXIMATION;-1;110;3;1672694726549;0.498984
APPROXIMATION;-1;110;4;1672694726550;0.410244
APPROXIMATION;-1;110;5;1672694726550;0.405244
APPROXIMATION;-1;110;6;1672694726551;0.349253
APPROXIMATION;-1;110;7;1672694726551;0.338493
APPROXIMATION;-1;110;8;1672694726552;0.316193
APPROXIMATION;-1;110;9;1672694726552;0.336913
APPROXIMATION;-1;110;10;1672694726553;0.327153
APPROXIMATION;-1;110;11;1672694726553;0.323813
APPROXIMATION;-1;110;12;1672694726554;0.329173
APPROXIMATION;-1;110;13;1672694726555;0.329133
HALTED;-1;110;14;1672694726555;0.331453
INITIALIZATION;-1;111;0;1672694726657;0.538215
APPROXIMATION;-1;111;1;1672694726658;0.358233
APPROXIMATION;-1;111;2;1672694726659;0.370854
APPROXIMATION;-1;111;3;1672694726659;0.334183
APPROXIMATION;-1;111;4;1672694726700;0.349383
APPROXIMATION;-1;111;5;1672694726700;0.521605
APPROXIMATION;-1;111;6;1672694726701;0.448744
APPROXIMATION;-1;111;7;1672694726701;0.413083
APPROXIMATION;-1;111;8;1672694726702;0.317953
APPROXIMATION;-1;111;9;1672694726702;0.328513
APPROXIMATION;-1;111;10;1672694726703;0.319953
APPROXIMATION;-1;111;11;1672694726703;0.320493
APPROXIMATION;-1;111;12;1672694726704;0.343053
APPROXIMATION;-1;111;13;1672694726704;0.343913
HALTED;-1;111;14;1672694726705;0.400004
INITIALIZATION;-1;112;0;1672694726806;0.512234
APPROXIMATION;-1;112;1;1672694726807;0.505594
APPROXIMATION;-1;112;2;1672694726808;0.288802
APPROXIMATION;-1;112;3;1672694726808;0.282943
APPROXIMATION;-1;112;4;1672694726850;0.416344
APPROXIMATION;-1;112;5;1672694726850;0.410944
APPROXIMATION;-1;112;6;1672694726851;0.417163
APPROXIMATION;-1;112;7;1672694726851;0.353783
APPROXIMATION;-1;112;8;1672694726852;0.348884
APPROXIMATION;-1;112;9;1672694726852;0.383683
APPROXIMATION;-1;112;10;1672694726853;0.353704
APPROXIMATION;-1;112;11;1672694726854;0.435114
APPROXIMATION;-1;112;12;1672694726854;0.356723
APPROXIMATION;-1;112;13;1672694726855;0.426494
HALTED;-1;112;14;1672694726855;0.390544
INITIALIZATION;-1;113;0;1672694726957;0.482524
APPROXIMATION;-1;113;1;1672694726958;0.473915
APPROXIMATION;-1;113;2;1672694726958;0.374354
APPROXIMATION;-1;113;3;1672694726999;0.416583
APPROXIMATION;-1;113;4;1672694727000;0.862827
APPROXIMATION;-1;113;5;1672694727001;0.339863
APPROXIMATION;-1;113;6;1672694727001;0.259692
APPROXIMATION;-1;113;7;1672694727002;0.274842
APPROXIMATION;-1;113;8;1672694727002;0.264632
APPROXIMATION;-1;113;9;1672694727003;0.289472
APPROXIMATION;-1;113;10;1672694727003;0.266773
APPROXIMATION;-1;113;11;1672694727004;0.276662
APPROXIMATION;-1;113;12;1672694727004;0.276902
APPROXIMATION;-1;113;13;1672694727005;0.270543
HALTED;-1;113;14;1672694727005;0.254952
INITIALIZATION;-1;114;0;1672694727106;0.437474
APPROXIMATION;-1;114;1;1672694727108;0.374903
APPROXIMATION;-1;114;2;1672694727108;0.363943
APPROXIMATION;-1;114;3;1672694727149;0.373263
APPROXIMATION;-1;114;4;1672694727150;0.558865
APPROXIMATION;-1;114;5;1672694727150;0.558595
APPROXIMATION;-1;114;6;1672694727151;0.546355
APPROXIMATION;-1;114;7;1672694727152;0.313263
APPROXIMATION;-1;114;8;1672694727152;0.275022
APPROXIMATION;-1;114;9;1672694727152;0.269662
APPROXIMATION;-1;114;10;1672694727153;0.245852
APPROXIMATION;-1;114;11;1672694727153;0.253642
APPROXIMATION;-1;114;12;1672694727154;0.235532
APPROXIMATION;-1;114;13;1672694727154;0.240722
HALTED;-1;114;14;1672694727155;0.254973
INITIALIZATION;-1;115;0;1672694727257;0.488634
APPROXIMATION;-1;115;1;1672694727258;0.399224
APPROXIMATION;-1;115;2;1672694727258;0.351683
APPROXIMATION;-1;115;3;1672694727259;0.427374
APPROXIMATION;-1;115;4;1672694727300;0.579245
APPROXIMATION;-1;115;5;1672694727300;0.425794
APPROXIMATION;-1;115;6;1672694727301;0.299622
APPROXIMATION;-1;115;7;1672694727301;0.314333
APPROXIMATION;-1;115;8;1672694727302;0.330783
APPROXIMATION;-1;115;9;1672694727303;0.359293
APPROXIMATION;-1;115;10;1672694727303;0.344553
APPROXIMATION;-1;115;11;1672694727304;0.315752
APPROXIMATION;-1;115;12;1672694727304;0.328362
APPROXIMATION;-1;115;13;1672694727304;0.313252
