type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694091634;0.794757
APPROXIMATION;-1;100;1;1672694091635;0.902478
APPROXIMATION;-1;100;2;1672694091636;0.592595
HALTED;-1;100;3;1672694091636;0.566385
INITIALIZATION;-1;101;0;1672694091739;0.768997
APPROXIMATION;-1;101;1;1672694091739;0.907168
APPROXIMATION;-1;101;2;1672694091740;0.646346
HALTED;-1;101;3;1672694091741;0.537265
INITIALIZATION;-1;102;0;1672694091843;0.710197
APPROXIMATION;-1;102;1;1672694091844;0.749477
APPROXIMATION;-1;102;2;1672694091844;0.721437
APPROXIMATION;-1;102;3;1672694091845;0.616576
HALTED;-1;102;4;1672694091846;0.540625
INITIALIZATION;-1;103;0;1672694091947;0.771737
APPROXIMATION;-1;103;1;1672694091948;0.619446
APPROXIMATION;-1;103;2;1672694091949;0.694786
HALTED;-1;103;3;1672694091989;0.655746
INITIALIZATION;-1;104;0;1672694092051;0.678726
APPROXIMATION;-1;104;1;1672694092052;0.694816
APPROXIMATION;-1;104;2;1672694092053;0.604975
APPROXIMATION;-1;104;3;1672694092053;0.625825
APPROXIMATION;-1;104;4;1672694092054;0.583365
HALTED;-1;104;5;1672694092055;0.579515
INITIALIZATION;-1;105;0;1672694092156;0.654645
APPROXIMATION;-1;105;1;1672694092157;0.797607
APPROXIMATION;-1;105;2;1672694092158;0.598276
APPROXIMATION;-1;105;3;1672694092158;0.668766
HALTED;-1;105;4;1672694092159;0.618906
INITIALIZATION;-1;106;0;1672694092261;0.735867
APPROXIMATION;-1;106;1;1672694092262;0.652635
APPROXIMATION;-1;106;2;1672694092262;0.709156
HALTED;-1;106;3;1672694092263;0.563795
INITIALIZATION;-1;107;0;1672694092365;0.580235
APPROXIMATION;-1;107;1;1672694092366;0.572145
APPROXIMATION;-1;107;2;1672694092367;0.479244
APPROXIMATION;-1;107;3;1672694092367;0.469084
APPROXIMATION;-1;107;4;1672694092368;0.592635
HALTED;-1;107;5;1672694092368;0.498195
INITIALIZATION;-1;108;0;1672694092470;0.658975
APPROXIMATION;-1;108;1;1672694092471;0.599795
APPROXIMATION;-1;108;2;1672694092471;0.499354
HALTED;-1;108;3;1672694092472;0.523095
INITIALIZATION;-1;109;0;1672694092574;0.701936
APPROXIMATION;-1;109;1;1672694092575;0.551735
APPROXIMATION;-1;109;2;1672694092576;0.531875
APPROXIMATION;-1;109;3;1672694092576;0.890018
HALTED;-1;109;4;1672694092577;0.569295
INITIALIZATION;-1;110;0;1672694092679;0.731747
APPROXIMATION;-1;110;1;1672694092680;1.017249
APPROXIMATION;-1;110;2;1672694092681;0.607405
HALTED;-1;110;3;1672694092681;0.588066
INITIALIZATION;-1;111;0;1672694092783;0.734636
APPROXIMATION;-1;111;1;1672694092784;0.603165
