type;receiverPort;reqIdInternal;Round;startWalltime;duration
INITIALIZATION;-1;100;0;1672694091633;0.710546
APPROXIMATION;-1;100;1;1672694091634;0.629775
APPROXIMATION;-1;100;2;1672694091635;0.564905
HALTED;-1;100;3;1672694091636;0.596795
INITIALIZATION;-1;101;0;1672694091738;0.699116
APPROXIMATION;-1;101;1;1672694091739;0.848078
APPROXIMATION;-1;101;2;1672694091740;0.523864
HALTED;-1;101;3;1672694091741;0.539844
INITIALIZATION;-1;102;0;1672694091843;0.637346
APPROXIMATION;-1;102;1;1672694091843;0.539115
APPROXIMATION;-1;102;2;1672694091844;0.559735
APPROXIMATION;-1;102;3;1672694091845;0.532785
HALTED;-1;102;4;1672694091846;0.534375
INITIALIZATION;-1;103;0;1672694091947;0.594585
APPROXIMATION;-1;103;1;1672694091948;0.491205
APPROXIMATION;-1;103;2;1672694091949;0.483844
HALTED;-1;103;3;1672694091949;0.494354
INITIALIZATION;-1;104;0;1672694092051;0.586495
APPROXIMATION;-1;104;1;1672694092052;0.482404
APPROXIMATION;-1;104;2;1672694092053;0.504294
APPROXIMATION;-1;104;3;1672694092053;0.585826
APPROXIMATION;-1;104;4;1672694092054;0.562915
HALTED;-1;104;5;1672694092055;0.526775
INITIALIZATION;-1;105;0;1672694092156;0.620175
APPROXIMATION;-1;105;1;1672694092157;0.480244
APPROXIMATION;-1;105;2;1672694092157;0.463144
APPROXIMATION;-1;105;3;1672694092158;0.517054
HALTED;-1;105;4;1672694092159;0.429044
INITIALIZATION;-1;106;0;1672694092260;0.646085
APPROXIMATION;-1;106;1;1672694092261;0.593745
APPROXIMATION;-1;106;2;1672694092262;0.487664
APPROXIMATION;-1;106;3;1672694092263;0.477834
HALTED;-1;106;4;1672694092263;0.492975
INITIALIZATION;-1;107;0;1672694092365;0.525655
APPROXIMATION;-1;107;1;1672694092366;0.466484
APPROXIMATION;-1;107;2;1672694092366;0.447794
APPROXIMATION;-1;107;3;1672694092367;0.439354
APPROXIMATION;-1;107;4;1672694092367;0.410214
HALTED;-1;107;5;1672694092368;0.485805
INITIALIZATION;-1;108;0;1672694092470;0.617496
APPROXIMATION;-1;108;1;1672694092471;0.447124
APPROXIMATION;-1;108;2;1672694092471;0.445744
HALTED;-1;108;3;1672694092472;0.405843
INITIALIZATION;-1;109;0;1672694092574;0.572095
APPROXIMATION;-1;109;1;1672694092575;0.547864
APPROXIMATION;-1;109;2;1672694092576;0.416434
APPROXIMATION;-1;109;3;1672694092576;0.580635
