Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
0;2024-03-18T00:13:50.450202000;119.215917;10;10;0;27;30;0.0;0.0
1;2024-03-18T00:13:50.671024000;25.486166;10;10;0;27;30;0.0;0.0
2;2024-03-18T00:13:50.801593000;25.442583;10;10;0;27;30;0.0;0.0
3;2024-03-18T00:13:50.932161000;20.696417;10;10;0;27;30;0.0;0.0
4;2024-03-18T00:13:51.057927000;25.62125;10;10;0;27;30;0.0;0.0
5;2024-03-18T00:13:51.188684000;17.103125;10;10;0;27;30;0.0;0.0
6;2024-03-18T00:13:51.310940000;21.3405;10;10;0;27;30;0.0;0.0
7;2024-03-18T00:13:51.437401000;16.1635;10;10;0;27;30;0.0;0.0
8;2024-03-18T00:13:51.558686000;28.129375;10;10;0;27;30;0.0;0.0
9;2024-03-18T00:13:51.691946000;15.440833;10;10;0;27;30;0.0;0.0
10;2024-03-18T00:13:51.812467000;13.039333;10;10;0;27;30;0.0;0.0
11;2024-03-18T00:13:51.930636000;13.982333;10;10;0;27;30;0.0;0.0
12;2024-03-18T00:13:52.049685000;23.12825;10;10;0;27;30;0.0;0.0
13;2024-03-18T00:13:52.177891000;12.511625;10;10;0;27;30;0.0;0.0
14;2024-03-18T00:13:52.295545000;11.499625;10;10;0;27;30;0.0;0.0
15;2024-03-18T00:13:52.409031000;10.430083;10;10;0;27;30;0.0;0.0
16;2024-03-18T00:13:52.524534000;13.82675;10;10;0;27;30;0.0;0.0
17;2024-03-18T00:13:52.641535000;12.507416;10;10;0;27;30;0.0;0.0
18;2024-03-18T00:13:52.758615000;9.766375;10;10;0;27;30;0.0;0.0
19;2024-03-18T00:13:52.873496000;9.158458;10;10;0;27;30;0.0;0.0
20;2024-03-18T00:13:52.987721000;9.500125;10;10;0;27;30;0.0;0.0
21;2024-03-18T00:13:53.102293000;16.015542;10;10;0;27;30;0.0;0.0
22;2024-03-18T00:13:53.223379000;11.738709;10;10;0;27;30;0.0;0.0
