Id;Texec;expectedH;realH;neededMessages;processedMessages
0;525.913667;13;13;434;465
1;368.082535;13;13;434;465
2;424.350503;13;13;434;465
3;205.975056;13;13;434;465
4;169.793015;13;13;434;465
5;226.187664;13;13;434;465
6;428.117662;13;13;434;465
7;926.684136;13;13;434;465
8;297.933921;13;13;434;465
9;236.820096;13;13;434;465
10;174.22269;13;13;434;465
11;231.700353;13;13;434;465
12;173.1669;13;13;434;465
13;247.704747;13;13;434;465
14;202.215192;13;13;434;465
15;133.614543;13;13;434;465
16;113.634567;13;13;434;465
17;128.265795;13;13;434;465
18;120.558369;13;13;434;465
19;142.488298;13;13;434;465
20;139.19511;13;13;434;465
21;158.938309;13;13;434;465
22;124.735869;13;13;434;465
23;85.496269;13;13;434;465
24;83.063377;13;13;434;465
25;108.047327;13;13;434;465
26;98.160184;13;13;434;465
27;89.255868;13;13;434;465
28;89.83143;13;13;434;465
29;102.666267;13;13;434;465
30;99.816087;13;13;434;465
31;90.082096;13;13;434;465
32;86.404287;13;13;434;465
33;91.366871;13;13;434;465
34;91.576844;13;13;434;465
35;88.620351;13;13;434;465
36;82.329006;13;13;434;465
37;81.747683;13;13;434;465
38;87.555524;13;13;434;465
39;86.363483;13;13;434;465
40;87.168403;13;13;434;465
41;96.568792;13;13;434;465
42;84.893621;13;13;434;465
43;82.05837;13;13;434;465
44;81.926106;13;13;434;465
45;96.087974;13;13;434;465
46;83.711996;13;13;434;465
47;86.53936;13;13;434;465
48;91.552516;13;13;434;465
49;79.387062;13;13;434;465
50;80.950052;13;13;434;465
51;83.323589;13;13;434;465
52;84.288489;13;13;434;465
53;84.869349;13;13;434;465
54;78.772984;13;13;434;465
55;80.391182;13;13;434;465
56;88.382344;13;13;434;465
57;143.232967;13;13;434;465
58;107.905595;13;13;434;465
59;149.523134;13;13;434;465
60;83.527682;13;13;434;465
61;189.402217;13;13;434;465
62;134.711841;13;13;434;465
63;122.115383;13;13;434;465
64;236.661602;13;13;434;465
65;126.977581;13;13;434;465
66;144.356201;13;13;434;465
67;101.620381;13;13;434;465
68;80.768347;13;13;434;465
69;100.390073;13;13;434;465
70;80.933512;13;13;434;465
71;77.051521;13;13;434;465
72;80.143546;13;13;434;465
73;73.675262;13;13;434;465
74;77.600622;13;13;434;465
75;90.029988;13;13;434;465
76;82.400654;13;13;434;465
77;80.655441;13;13;434;465
78;84.189287;13;13;434;465
79;80.823456;13;13;434;465
80;87.761771;13;13;434;465
81;78.906171;13;13;434;465
82;86.579299;13;13;434;465
83;86.418195;13;13;434;465
84;78.934069;13;13;434;465
85;79.037327;13;13;434;465
86;80.649995;13;13;434;465
87;80.404475;13;13;434;465
88;86.252282;13;13;434;465
89;80.116902;13;13;434;465
90;76.951516;13;13;434;465
91;77.749106;13;13;434;465
92;77.959851;13;13;434;465
93;77.902009;13;13;434;465
94;75.782477;13;13;434;465
95;76.878322;13;13;434;465
96;80.933846;13;13;434;465
97;83.351974;13;13;434;465
98;78.204068;13;13;434;465
99;83.271687;13;13;434;465
100;83.597511;13;13;434;465
101;79.090691;13;13;434;465
102;80.454072;13;13;434;465
103;78.36109;13;13;434;465
104;75.791663;13;13;434;465
105;79.414312;13;13;434;465
106;77.655887;13;13;434;465
107;73.560936;13;13;434;465
108;77.339728;13;13;434;465
109;80.62188;13;13;434;465
110;93.466773;13;13;434;465
111;82.954767;13;13;434;465
112;78.055231;13;13;434;465
113;79.271459;13;13;434;465
114;122.23977;13;13;434;465
115;100.927354;13;13;434;465
116;154.404588;13;13;434;465
117;165.755259;13;13;434;465
118;121.684893;13;13;434;465
119;170.145748;13;13;434;465
120;299.166797;13;13;434;465
121;144.662991;13;13;434;465
122;101.024801;13;13;434;465
123;132.470889;13;13;434;465
124;78.033647;13;13;434;465
125;76.100573;13;13;434;465
126;74.506555;13;13;434;465
127;95.356669;13;13;434;465
128;76.262441;13;13;434;465
129;77.474359;13;13;434;465
130;74.344833;13;13;434;465
131;79.906115;13;13;434;465
132;80.249864;13;13;434;465
133;76.2123;13;13;434;465
134;74.867324;13;13;434;465
135;76.455463;13;13;434;465
136;74.79064;13;13;434;465
137;77.285813;13;13;434;465
138;75.615738;13;13;434;465
139;77.661155;13;13;434;465
140;81.65958;13;13;434;465
141;75.881395;13;13;434;465
142;75.92077;13;13;434;465
143;78.842494;13;13;434;465
144;76.891674;13;13;434;465
145;74.741417;13;13;434;465
146;76.346692;13;13;434;465
147;80.263548;13;13;434;465
148;84.769619;13;13;434;465
149;78.487981;13;13;434;465
150;75.979255;13;13;434;465
151;74.057728;13;13;434;465
152;77.928396;13;13;434;465
153;76.131296;13;13;434;465
154;81.68226;13;13;434;465
155;75.300081;13;13;434;465
156;75.891334;13;13;434;465
157;82.116302;13;13;434;465
158;73.359971;13;13;434;465
159;85.854412;13;13;434;465
160;75.785507;13;13;434;465
161;77.464854;13;13;434;465
162;77.033899;13;13;434;465
163;72.363717;13;13;434;465
164;73.538942;13;13;434;465
165;72.414925;13;13;434;465
166;128.027193;13;13;434;465
167;85.252625;13;13;434;465
168;77.579304;13;13;434;465
169;77.011687;13;13;434;465
170;77.751017;13;13;434;465
171;73.635753;13;13;434;465
172;75.517375;13;13;434;465
173;74.866717;13;13;434;465
174;75.624402;13;13;434;465
175;75.970669;13;13;434;465
176;74.508404;13;13;434;465
177;74.699806;13;13;434;465
178;77.736727;13;13;434;465
179;74.668499;13;13;434;465
180;76.850847;13;13;434;465
181;82.373979;13;13;434;465
182;77.233729;13;13;434;465
183;80.613787;13;13;434;465
184;83.077168;13;13;434;465
185;79.700307;13;13;434;465
186;82.37742;13;13;434;465
187;84.882851;13;13;434;465
188;79.482898;13;13;434;465
189;76.730367;13;13;434;465
190;84.120413;13;13;434;465
191;88.5637;13;13;434;465
192;80.221284;13;13;434;465
193;102.88291;13;13;434;465
194;126.663036;13;13;434;465
195;118.880105;13;13;434;465
196;78.325895;13;13;434;465
197;76.670107;13;13;434;465
198;96.336064;13;13;434;465
199;82.012232;13;13;434;465
200;113.307763;13;13;434;465
201;75.35722;13;13;434;465
202;82.179347;13;13;434;465
203;140.203869;13;13;434;465
204;138.712731;13;13;434;465
205;77.606826;13;13;434;465
206;77.087074;13;13;434;465
207;155.978963;13;13;434;465
208;75.92607;13;13;434;465
209;160.624532;13;13;434;465
210;127.242996;13;13;434;465
211;146.126373;13;13;434;465
212;123.125743;13;13;434;465
213;223.02768;13;13;434;465
214;130.938351;13;13;434;465
215;72.571363;13;13;434;465
216;74.426239;13;13;434;465
217;81.46975;13;13;434;465
218;77.62868;13;13;434;465
219;73.594142;13;13;434;465
220;74.600065;13;13;434;465
221;73.19478;13;13;434;465
222;73.839171;13;13;434;465
223;76.03845;13;13;434;465
224;76.496884;13;13;434;465
225;75.022471;13;13;434;465
226;76.611693;13;13;434;465
227;75.693767;13;13;434;465
228;77.854077;13;13;434;465
229;83.552351;13;13;434;465
230;75.80348;13;13;434;465
231;76.120404;13;13;434;465
232;74.723412;13;13;434;465
233;73.44148;13;13;434;465
234;74.223193;13;13;434;465
235;77.424069;13;13;434;465
236;75.207146;13;13;434;465
237;75.398979;13;13;434;465
238;74.83137;13;13;434;465
239;73.545576;13;13;434;465
240;71.725874;13;13;434;465
241;73.109208;13;13;434;465
242;74.029002;13;13;434;465
243;74.702397;13;13;434;465
244;75.930617;13;13;434;465
245;73.372468;13;13;434;465
246;73.867262;13;13;434;465
247;73.752574;13;13;434;465
248;75.215951;13;13;434;465
249;73.942048;13;13;434;465
250;75.488912;13;13;434;465
251;74.035505;13;13;434;465
252;82.339984;13;13;434;465
253;76.261947;13;13;434;465
254;74.421157;13;13;434;465
255;92.16474;13;13;434;465
