Id;Texec;expectedH;realH;neededMessages;processedMessages
0;117.267429;13;13;210;225
1;73.289453;13;13;210;225
2;40.597528;13;13;210;225
3;49.196434;13;13;210;225
4;72.853699;13;13;210;225
5;55.255941;13;13;210;225
6;51.072165;13;13;210;225
7;46.80469;13;13;210;225
8;37.393254;13;13;210;225
9;41.413715;13;13;210;225
10;36.804755;13;13;210;225
11;32.274554;13;13;210;225
12;61.65462;13;13;210;225
13;41.865928;13;13;210;225
14;60.997379;13;13;210;225
15;76.590351;13;13;210;225
16;69.032453;13;13;210;225
17;49.226786;13;13;210;225
18;37.716951;13;13;210;225
19;32.444927;13;13;210;225
20;19.010393;13;13;210;225
21;25.833052;13;13;210;225
22;17.332407;13;13;210;225
23;18.839504;13;13;210;225
24;25.059221;13;13;210;225
25;22.469689;13;13;210;225
26;18.523071;13;13;210;225
27;18.405884;13;13;210;225
28;35.150875;13;13;210;225
29;32.943841;13;13;210;225
30;15.909404;13;13;210;225
31;15.195853;13;13;210;225
32;15.542844;13;13;210;225
33;22.276544;13;13;210;225
34;15.18637;13;13;210;225
35;13.284986;13;13;210;225
36;13.690646;13;13;210;225
37;14.011632;13;13;210;225
38;14.05826;13;13;210;225
39;13.876996;13;13;210;225
40;29.334854;13;13;210;225
41;23.947973;13;13;210;225
42;31.357946;13;13;210;225
43;13.844747;13;13;210;225
44;32.527217;13;13;210;225
45;44.568595;13;13;210;225
46;22.954182;13;13;210;225
47;27.415587;13;13;210;225
48;28.036132;13;13;210;225
49;39.59717;13;13;210;225
50;26.248129;13;13;210;225
51;13.149423;13;13;210;225
52;13.139086;13;13;210;225
53;14.0109;13;13;210;225
54;14.864271;13;13;210;225
55;13.636136;13;13;210;225
56;13.711515;13;13;210;225
57;14.733527;13;13;210;225
58;13.981811;13;13;210;225
59;13.108457;13;13;210;225
60;26.989974;13;13;210;225
61;13.878513;13;13;210;225
62;14.961451;13;13;210;225
63;12.713837;13;13;210;225
64;14.562338;13;13;210;225
65;14.424555;13;13;210;225
66;13.836534;13;13;210;225
67;17.779176;13;13;210;225
68;14.481058;13;13;210;225
69;13.445243;13;13;210;225
70;13.546987;13;13;210;225
71;13.618924;13;13;210;225
72;12.993725;13;13;210;225
73;15.887004;13;13;210;225
74;13.180175;13;13;210;225
75;12.809824;13;13;210;225
76;14.593353;13;13;210;225
77;13.50843;13;13;210;225
78;13.804156;13;13;210;225
79;15.998662;13;13;210;225
80;13.727824;13;13;210;225
81;13.292227;13;13;210;225
82;18.318366;13;13;210;225
83;15.039386;13;13;210;225
84;13.491671;13;13;210;225
85;13.364113;13;13;210;225
86;12.46346;13;13;210;225
87;13.011886;13;13;210;225
88;13.580955;13;13;210;225
89;15.433299;13;13;210;225
90;12.886526;13;13;210;225
91;12.132402;13;13;210;225
92;12.514636;13;13;210;225
93;14.050623;13;13;210;225
94;13.268411;13;13;210;225
95;13.014292;13;13;210;225
96;12.741057;13;13;210;225
97;14.287127;13;13;210;225
98;13.062122;13;13;210;225
99;14.164212;13;13;210;225
100;13.687337;13;13;210;225
101;14.671389;13;13;210;225
102;12.624654;13;13;210;225
103;12.78253;13;13;210;225
104;17.71053;13;13;210;225
105;13.669242;13;13;210;225
106;12.488689;13;13;210;225
107;14.263135;13;13;210;225
108;13.566808;13;13;210;225
109;13.632847;13;13;210;225
110;13.881973;13;13;210;225
111;13.992246;13;13;210;225
112;12.626949;13;13;210;225
