type;receiverPort;reqIdInternal;Round;startWalltime;duration
APPROXIMATION;-1;106;13;1672694726085;0.240972
HALTED;-1;106;14;1672694726085;0.222862
INITIALIZATION;-1;107;0;1672694726187;0.446893
APPROXIMATION;-1;107;1;1672694726218;0.239182
APPROXIMATION;-1;107;2;1672694726219;0.208192
APPROXIMATION;-1;107;3;1672694726219;0.275432
APPROXIMATION;-1;107;4;1672694726220;0.256442
APPROXIMATION;-1;107;5;1672694726221;0.195782
APPROXIMATION;-1;107;6;1672694726221;0.232802
APPROXIMATION;-1;107;7;1672694726222;0.212642
APPROXIMATION;-1;107;8;1672694726222;0.212092
APPROXIMATION;-1;107;9;1672694726223;0.198472
APPROXIMATION;-1;107;10;1672694726223;0.253193
APPROXIMATION;-1;107;11;1672694726224;0.225252
APPROXIMATION;-1;107;12;1672694726224;0.223172
APPROXIMATION;-1;107;13;1672694726225;0.226802
HALTED;-1;107;14;1672694726225;0.344423
INITIALIZATION;-1;108;0;1672694726327;0.333563
APPROXIMATION;-1;108;1;1672694726328;0.252492
APPROXIMATION;-1;108;2;1672694726328;0.207752
APPROXIMATION;-1;108;3;1672694726329;0.213832
APPROXIMATION;-1;108;4;1672694726329;0.265503
APPROXIMATION;-1;108;5;1672694726330;0.235742
APPROXIMATION;-1;108;6;1672694726330;0.255573
APPROXIMATION;-1;108;7;1672694726331;0.236852
APPROXIMATION;-1;108;8;1672694726331;0.220752
APPROXIMATION;-1;108;9;1672694726332;0.218152
APPROXIMATION;-1;108;10;1672694726333;0.244242
APPROXIMATION;-1;108;11;1672694726333;0.230512
APPROXIMATION;-1;108;12;1672694726334;0.242062
APPROXIMATION;-1;108;13;1672694726334;0.266532
HALTED;-1;108;14;1672694726335;0.233912
INITIALIZATION;-1;109;0;1672694726437;0.453934
APPROXIMATION;-1;109;1;1672694726437;0.304822
APPROXIMATION;-1;109;2;1672694726438;0.338143
APPROXIMATION;-1;109;3;1672694726439;0.293392
APPROXIMATION;-1;109;4;1672694726439;0.281522
APPROXIMATION;-1;109;5;1672694726440;0.308912
APPROXIMATION;-1;109;6;1672694726440;0.270752
APPROXIMATION;-1;109;7;1672694726441;0.256963
APPROXIMATION;-1;109;8;1672694726441;0.263993
APPROXIMATION;-1;109;9;1672694726442;0.284663
APPROXIMATION;-1;109;10;1672694726442;0.267142
APPROXIMATION;-1;109;11;1672694726443;0.273092
