Id;Texec;expectedH;realH;neededMessages
0;483.713474;8;8;279
1;187.751857;8;8;279
2;231.557083;8;8;279
3;250.913096;8;8;279
4;226.454003;8;8;279
5;146.203128;8;8;279
6;109.207301;8;8;279
7;112.086546;8;8;279
8;180.539163;8;8;279
9;228.738581;8;8;279
10;783.547541;8;8;279
11;357.444564;8;8;279
12;248.102793;8;8;279
13;268.184697;8;8;279
14;170.503369;8;8;279
15;124.196181;8;8;279
16;113.095626;8;8;279
17;152.747801;8;8;279
18;141.932938;8;8;279
19;93.46596;8;8;279
20;205.210156;8;8;279
21;289.808947;8;8;279
22;109.452779;8;8;279
23;89.532848;8;8;279
24;75.347243;8;8;279
25;74.788162;8;8;279
26;76.36524;8;8;279
27;71.911886;8;8;279
28;78.475629;8;8;279
29;97.128483;8;8;279
30;76.474571;8;8;279
31;71.679873;8;8;279
32;79.380899;8;8;279
33;79.25206;8;8;279
34;87.866183;8;8;279
35;67.018504;8;8;279
36;84.691945;8;8;279
37;92.19645;8;8;279
38;103.493982;8;8;279
39;123.11491;8;8;279
40;101.337728;8;8;279
41;88.731139;8;8;279
42;86.073737;8;8;279
43;71.572345;8;8;279
44;65.04029;8;8;279
45;61.309336;8;8;279
46;58.450166;8;8;279
47;61.650661;8;8;279
48;61.173313;8;8;279
49;61.397572;8;8;279
50;58.048717;8;8;279
51;62.008512;8;8;279
52;56.434207;8;8;279
53;58.637059;8;8;279
54;59.937444;8;8;279
55;75.851133;8;8;279
56;60.65659;8;8;279
57;61.843438;8;8;279
58;55.88435;8;8;279
59;54.905688;8;8;279
60;57.728625;8;8;279
61;56.270699;8;8;279
62;59.031377;8;8;279
63;55.158441;8;8;279
64;59.662326;8;8;279
65;57.441708;8;8;279
66;61.719055;8;8;279
67;68.794451;8;8;279
68;73.437045;8;8;279
69;57.887114;8;8;279
70;63.816991;8;8;279
71;63.576118;8;8;279
72;60.582268;8;8;279
73;61.848928;8;8;279
74;58.661405;8;8;279
75;62.482342;8;8;279
76;55.126463;8;8;279
77;67.384385;8;8;279
78;59.517578;8;8;279
79;53.462439;8;8;279
80;54.566722;8;8;279
81;53.539744;8;8;279
82;61.85123;8;8;279
83;61.337879;8;8;279
84;62.86961;8;8;279
85;54.95078;8;8;279
86;70.386101;8;8;279
87;58.699223;8;8;279
88;54.923757;8;8;279
89;78.653009;8;8;279
90;92.314508;8;8;279
91;86.416569;8;8;279
92;54.387756;8;8;279
93;59.48496;8;8;279
94;55.457726;8;8;279
95;88.038965;8;8;279
96;57.236021;8;8;279
97;56.069567;8;8;279
98;54.854473;8;8;279
99;58.354044;8;8;279
100;77.769404;8;8;279
101;91.228363;8;8;279
102;59.967611;8;8;279
103;51.545292;8;8;279
104;52.430756;8;8;279
105;77.934655;8;8;279
106;85.74041;8;8;279
107;54.936272;8;8;279
108;56.194163;8;8;279
109;122.911087;8;8;279
110;147.188645;8;8;279
111;134.935951;8;8;279
112;163.733118;8;8;279
113;117.271339;8;8;279
114;79.532812;8;8;279
115;118.624564;8;8;279
116;53.877971;8;8;279
117;86.338159;8;8;279
118;56.304056;8;8;279
119;56.87869;8;8;279
120;57.995063;8;8;279
121;58.043773;8;8;279
122;55.575777;8;8;279
123;55.954749;8;8;279
124;53.190195;8;8;279
125;54.262384;8;8;279
126;53.523662;8;8;279
127;54.066463;8;8;279
128;54.72062;8;8;279
129;52.873824;8;8;279
130;53.202165;8;8;279
131;54.969858;8;8;279
132;55.624435;8;8;279
133;58.578975;8;8;279
134;52.972731;8;8;279
135;53.334456;8;8;279
136;54.822738;8;8;279
137;55.71508;8;8;279
138;52.30026;8;8;279
139;53.854323;8;8;279
140;51.008275;8;8;279
141;52.262971;8;8;279
142;59.014002;8;8;279
143;53.722182;8;8;279
144;52.743083;8;8;279
145;51.662812;8;8;279
146;54.190106;8;8;279
147;52.929966;8;8;279
148;53.794563;8;8;279
149;57.102475;8;8;279
150;60.147607;8;8;279
151;53.048798;8;8;279
152;55.570735;8;8;279
153;52.863514;8;8;279
154;52.04307;8;8;279
155;51.008641;8;8;279
156;53.720819;8;8;279
157;59.664814;8;8;279
158;52.132221;8;8;279
159;52.72026;8;8;279
160;57.152447;8;8;279
161;52.351457;8;8;279
162;51.583078;8;8;279
163;54.300535;8;8;279
164;51.467261;8;8;279
165;53.397505;8;8;279
166;78.134733;8;8;279
167;63.913578;8;8;279
168;76.997926;8;8;279
169;52.418062;8;8;279
170;51.222147;8;8;279
171;71.327288;8;8;279
172;76.673872;8;8;279
173;72.767056;8;8;279
174;53.057604;8;8;279
175;54.432113;8;8;279
176;79.884232;8;8;279
177;86.40194;8;8;279
178;87.568825;8;8;279
179;57.80795;8;8;279
180;67.768732;8;8;279
181;73.121063;8;8;279
182;123.408386;8;8;279
183;127.402403;8;8;279
184;145.150343;8;8;279
185;90.075316;8;8;279
186;66.529982;8;8;279
187;72.996115;8;8;279
188;64.949806;8;8;279
189;67.304118;8;8;279
190;51.197179;8;8;279
191;51.170592;8;8;279
192;52.370973;8;8;279
193;50.674196;8;8;279
194;57.395761;8;8;279
195;52.348161;8;8;279
196;50.802824;8;8;279
197;50.762303;8;8;279
198;53.609725;8;8;279
199;58.741526;8;8;279
200;55.110628;8;8;279
201;54.894012;8;8;279
202;52.846327;8;8;279
203;50.601105;8;8;279
204;50.332393;8;8;279
205;74.006344;8;8;279
206;52.114121;8;8;279
207;54.113788;8;8;279
208;50.754636;8;8;279
209;52.374055;8;8;279
210;49.881862;8;8;279
211;50.264047;8;8;279
212;49.176009;8;8;279
213;50.852611;8;8;279
214;50.504265;8;8;279
215;49.863635;8;8;279
216;50.763641;8;8;279
217;53.20194;8;8;279
218;52.446477;8;8;279
219;51.705768;8;8;279
220;53.022604;8;8;279
221;53.548602;8;8;279
222;51.612036;8;8;279
223;54.133174;8;8;279
224;55.467621;8;8;279
225;51.043639;8;8;279
226;51.993331;8;8;279
227;51.44687;8;8;279
228;54.112087;8;8;279
229;63.243412;8;8;279
230;53.939042;8;8;279
231;52.073435;8;8;279
232;51.665083;8;8;279
233;50.70432;8;8;279
234;53.399233;8;8;279
235;52.349172;8;8;279
236;50.595384;8;8;279
237;51.143482;8;8;279
238;48.913254;8;8;279
239;50.86691;8;8;279
240;51.704806;8;8;279
241;54.295009;8;8;279
242;56.380126;8;8;279
243;51.569986;8;8;279
244;68.984122;8;8;279
245;50.423107;8;8;279
246;52.048301;8;8;279
247;51.078439;8;8;279
248;53.435171;8;8;279
249;53.806125;8;8;279
250;53.767992;8;8;279
251;54.502784;8;8;279
252;60.838306;8;8;279
253;57.393106;8;8;279
254;54.087125;8;8;279
255;66.639629;8;8;279
256;58.649425;8;8;279
257;52.079608;8;8;279
258;51.478215;8;8;279
259;52.834239;8;8;279
260;55.720852;8;8;279
261;51.661422;8;8;279
262;54.184066;8;8;279
263;51.994029;8;8;279
264;51.252303;8;8;279
265;53.565434;8;8;279
266;53.698594;8;8;279
267;53.185615;8;8;279
268;53.970621;8;8;279
269;82.130643;8;8;279
270;53.201088;8;8;279
271;53.161351;8;8;279
272;50.882202;8;8;279
273;50.535258;8;8;279
274;77.590755;8;8;279
275;54.580459;8;8;279
276;52.140772;8;8;279
277;52.101762;8;8;279
278;50.610443;8;8;279
279;50.522002;8;8;279
280;50.653709;8;8;279
281;52.517173;8;8;279
282;52.914932;8;8;279
283;51.442199;8;8;279
284;53.590609;8;8;279
285;57.258582;8;8;279
286;52.080622;8;8;279
287;52.971329;8;8;279
288;53.795281;8;8;279
289;52.636451;8;8;279
290;55.670381;8;8;279
291;50.301923;8;8;279
292;56.669112;8;8;279
293;55.994884;8;8;279
294;51.808479;8;8;279
295;53.922829;8;8;279
296;82.65697;8;8;279
297;52.576552;8;8;279
298;86.010451;8;8;279
299;130.85767;8;8;279
