Id;Texec;expectedH;realH;neededMessages
0;39.011981;8;8;63
1;15.20063;8;8;63
2;12.374774;8;8;63
3;12.005651;8;8;63
4;9.119258;8;8;63
5;11.853442;8;8;63
6;7.899621;8;8;63
7;7.783864;8;8;63
8;18.408815;8;8;63
9;8.176688;8;8;63
10;8.035866;8;8;63
11;8.732557;8;8;63
12;8.630092;8;8;63
13;8.463969;8;8;63
14;7.399614;8;8;63
15;7.174968;8;8;63
16;7.229802;8;8;63
17;15.720016;8;8;63
18;7.528739;8;8;63
19;7.06208;8;8;63
20;6.498314;8;8;63
21;6.62882;8;8;63
22;8.205512;8;8;63
23;6.470036;8;8;63
24;6.887476;8;8;63
25;7.514528;8;8;63
26;7.118231;8;8;63
27;5.039741;8;8;63
28;7.253341;8;8;63
29;6.396285;8;8;63
30;5.624212;8;8;63
31;6.385921;8;8;63
32;5.415795;8;8;63
33;5.126556;8;8;63
34;5.27968;8;8;63
35;5.385859;8;8;63
36;5.378516;8;8;63
37;4.760448;8;8;63
38;5.036326;8;8;63
39;6.594949;8;8;63
40;5.599934;8;8;63
41;5.438205;8;8;63
42;5.705082;8;8;63
43;5.214334;8;8;63
44;5.284791;8;8;63
45;5.383784;8;8;63
46;6.512712;8;8;63
47;6.094211;8;8;63
48;5.445468;8;8;63
49;5.007338;8;8;63
50;5.709211;8;8;63
51;5.201946;8;8;63
52;4.942106;8;8;63
53;4.693589;8;8;63
54;4.378111;8;8;63
55;4.420085;8;8;63
56;5.211294;8;8;63
57;4.241144;8;8;63
58;4.182945;8;8;63
59;4.43376;8;8;63
60;4.122195;8;8;63
61;4.35964;8;8;63
62;4.127567;8;8;63
63;5.759866;8;8;63
64;4.496732;8;8;63
65;5.428848;8;8;63
66;4.516926;8;8;63
67;4.350085;8;8;63
68;4.910201;8;8;63
69;3.805212;8;8;63
70;4.324114;8;8;63
71;4.777655;8;8;63
72;5.108927;8;8;63
73;5.14394;8;8;63
74;4.373306;8;8;63
75;5.706341;8;8;63
76;4.548762;8;8;63
77;4.531125;8;8;63
78;4.871696;8;8;63
79;5.389401;8;8;63
80;4.621268;8;8;63
81;5.15917;8;8;63
82;5.514399;8;8;63
83;4.324815;8;8;63
84;4.399645;8;8;63
85;5.309189;8;8;63
86;4.467445;8;8;63
87;5.497562;8;8;63
88;4.617622;8;8;63
89;4.270822;8;8;63
90;4.578482;8;8;63
91;4.891833;8;8;63
92;5.757978;8;8;63
93;5.676482;8;8;63
94;5.326603;8;8;63
95;3.836414;8;8;63
96;4.779571;8;8;63
97;5.963354;8;8;63
98;3.90801;8;8;63
99;5.331391;8;8;63
100;3.867614;8;8;63
101;4.057525;8;8;63
102;11.195696;8;8;63
103;11.279914;8;8;63
104;4.284501;8;8;63
105;12.014953;8;8;63
106;3.995133;8;8;63
107;4.886121;8;8;63
108;4.047057;8;8;63
109;4.191783;8;8;63
110;4.154444;8;8;63
111;5.795856;8;8;63
112;4.049526;8;8;63
113;3.561093;8;8;63
114;22.654368;8;8;63
115;3.419992;8;8;63
116;3.922823;8;8;63
117;3.72643;8;8;63
