Id;StartingWallTime;Texec;expectedH;realH
0;2023-01-30T12:22:10.815537180;56.978317;13;13;98
1;2023-01-30T12:22:10.972793177;21.964686;13;13;98
2;2023-01-30T12:22:11.094901586;19.795009;13;13;98
3;2023-01-30T12:22:11.214893036;18.87849;13;13;98
4;2023-01-30T12:22:11.333970979;13.282556;13;13;98
5;2023-01-30T12:22:11.447417260;12.950742;13;13;98
6;2023-01-30T12:22:11.560531324;12.125383;13;13;98
7;2023-01-30T12:22:11.672812353;24.135121;13;13;98
8;2023-01-30T12:22:11.797108942;13.767146;13;13;98
9;2023-01-30T12:22:11.911046807;14.428777;13;13;98
10;2023-01-30T12:22:12.025704842;13.977925;13;13;98
11;2023-01-30T12:22:12.139895780;12.360572;13;13;98
12;2023-01-30T12:22:12.252455381;12.864899;13;13;98
13;2023-01-30T12:22:12.365530304;12.711007;13;13;98
14;2023-01-30T12:22:12.478397366;10.256617;13;13;98
15;2023-01-30T12:22:12.588812734;13.269063;13;13;98
16;2023-01-30T12:22:12.702257355;19.745164;13;13;98
17;2023-01-30T12:22:12.822192791;11.743049;13;13;98
18;2023-01-30T12:22:12.934094059;11.835919;13;13;98
19;2023-01-30T12:22:13.046079454;10.564676;13;13;98
20;2023-01-30T12:22:13.156790681;9.595455;13;13;98
21;2023-01-30T12:22:13.266537972;9.684035;13;13;98
22;2023-01-30T12:22:13.376364992;8.513167;13;13;98
23;2023-01-30T12:22:13.485009235;9.74611;13;13;98
24;2023-01-30T12:22:13.594892455;9.056308;13;13;98
25;2023-01-30T12:22:13.704098571;14.066876;13;13;98
26;2023-01-30T12:22:13.818349779;13.530299;13;13;98
27;2023-01-30T12:22:13.932031953;10.273033;13;13;98
28;2023-01-30T12:22:14.043302147;17.040163;13;13;98
29;2023-01-30T12:22:14.160080779;10.558203;13;13;98
30;2023-01-30T12:22:14.270797487;9.462363;13;13;98
31;2023-01-30T12:22:14.380453076;10.924307;13;13;98
32;2023-01-30T12:22:14.491556061;9.981807;13;13;98
33;2023-01-30T12:22:14.601702003;9.025289;13;13;98
34;2023-01-30T12:22:14.710880802;9.086747;13;13;98
35;2023-01-30T12:22:14.820101843;9.19072;13;13;98
36;2023-01-30T12:22:14.929444575;8.654551;13;13;98
37;2023-01-30T12:22:15.038252506;9.4405;13;13;98
38;2023-01-30T12:22:15.147843930;8.734375;13;13;98
39;2023-01-30T12:22:15.256705592;8.15554;13;13;98
40;2023-01-30T12:22:15.364988793;8.374068;13;13;98
41;2023-01-30T12:22:15.473480165;8.306655;13;13;98
42;2023-01-30T12:22:15.581898237;7.717535;13;13;98
43;2023-01-30T12:22:15.689734571;7.534709;13;13;98
44;2023-01-30T12:22:15.797462907;7.628462;13;13;98
45;2023-01-30T12:22:15.905201286;7.693471;13;13;98
46;2023-01-30T12:22:16.013011818;7.690964;13;13;98
47;2023-01-30T12:22:16.120810974;7.432896;13;13;98
48;2023-01-30T12:22:16.228359910;7.972651;13;13;98
49;2023-01-30T12:22:16.336462860;7.786126;13;13;98
50;2023-01-30T12:22:16.444362102;7.898682;13;13;98
51;2023-01-30T12:22:16.552397015;8.244295;13;13;98
52;2023-01-30T12:22:16.660783228;8.11811;13;13;98
53;2023-01-30T12:22:16.769047847;8.187373;13;13;98
54;2023-01-30T12:22:16.877379773;7.991314;13;13;98
55;2023-01-30T12:22:16.985500277;8.603108;13;13;98
56;2023-01-30T12:22:17.094231559;8.430345;13;13;98
57;2023-01-30T12:22:17.202793405;7.331365;13;13;98
58;2023-01-30T12:22:17.310261855;7.822812;13;13;98
59;2023-01-30T12:22:17.418217173;9.124366;13;13;98
60;2023-01-30T12:22:17.527486871;8.855442;13;13;98
61;2023-01-30T12:22:17.636519663;10.296776;13;13;98
62;2023-01-30T12:22:17.747014954;9.703242;13;13;98
63;2023-01-30T12:22:17.856885288;8.189745;13;13;98
64;2023-01-30T12:22:17.965215550;8.347952;13;13;98
65;2023-01-30T12:22:18.073697260;7.272652;13;13;98
66;2023-01-30T12:22:18.181097514;7.777785;13;13;98
67;2023-01-30T12:22:18.288993660;7.302049;13;13;98
68;2023-01-30T12:22:18.396423461;7.113615;13;13;98
69;2023-01-30T12:22:18.503662403;7.981653;13;13;98
70;2023-01-30T12:22:18.611771455;7.995165;13;13;98
71;2023-01-30T12:22:18.719897629;6.605072;13;13;98
72;2023-01-30T12:22:18.826640702;7.416291;13;13;98
73;2023-01-30T12:22:18.934184085;8.759599;13;13;98
