Id;Texec;expectedH;realH;neededMessages
0;10024.749669;14;14;1905
1;4170.550995;14;14;1905
2;6511.308636;14;14;1905
3;7630.003995;14;14;1905
4;4993.465682;14;14;1905
5;3524.71083;14;14;1905
6;2913.417917;14;14;1905
7;3167.740903;14;14;1905
8;3802.587803;14;14;1905
9;3342.692605;14;14;1905
10;2685.631184;14;14;1905
11;3040.777653;14;14;1905
12;2733.316697;14;14;1905
13;2853.027352;14;14;1905
14;3142.559629;14;14;1905
15;2584.15534;14;14;1905
16;2728.531269;14;14;1905
17;3355.77774;14;14;1905
18;2953.192166;14;14;1905
19;3263.4035;14;14;1905
20;2853.781886;14;14;1905
21;3147.432934;14;14;1905
22;3148.49167;14;14;1905
23;3675.154819;14;14;1905
24;3351.599955;14;14;1905
25;2934.254821;14;14;1905
26;2710.826965;14;14;1905
27;2647.514512;14;14;1905
28;2842.681414;14;14;1905
29;2767.90562;14;14;1905
30;2713.186045;14;14;1905
31;2630.356267;14;14;1905
32;3450.753582;14;14;1905
33;2939.138074;14;14;1905
34;2508.265601;14;14;1905
35;2888.643503;14;14;1905
36;2853.544313;14;14;1905
37;2846.724227;14;14;1905
38;2999.151283;14;14;1905
39;2972.996254;14;14;1905
40;3454.618277;14;14;1905
41;3496.682921;14;14;1905
42;3181.558391;14;14;1905
43;3819.788479;14;14;1905
44;2796.665874;14;14;1905
45;3062.555114;14;14;1905
46;3272.447711;14;14;1905
47;3036.58883;14;14;1905
48;2788.490727;14;14;1905
49;2992.045653;14;14;1905
50;3242.024446;14;14;1905
51;2553.25816;14;14;1905
52;2879.677405;14;14;1905
53;2724.125477;14;14;1905
54;2749.05191;14;14;1905
55;3104.043061;14;14;1905
56;2747.858343;14;14;1905
57;2751.291885;14;14;1905
58;3395.604004;14;14;1905
59;2954.245998;14;14;1905
60;2651.6145;14;14;1905
61;3308.488461;14;14;1905
62;3197.742028;14;14;1905
63;2773.130627;14;14;1905
64;2794.019034;14;14;1905
65;3046.175449;14;14;1905
66;3112.18107;14;14;1905
67;3196.546954;14;14;1905
68;2872.357141;14;14;1905
69;3096.60598;14;14;1905
70;2550.094833;14;14;1905
71;2800.221132;14;14;1905
72;3018.212083;14;14;1905
73;2940.62742;14;14;1905
74;2597.649879;14;14;1905
75;2615.827598;14;14;1905
76;3041.896522;14;14;1905
77;2799.82776;14;14;1905
78;3018.937271;14;14;1905
79;3172.17798;14;14;1905
80;3140.190164;14;14;1905
81;3573.61417;14;14;1905
82;2961.093813;14;14;1905
83;2996.544296;14;14;1905
84;3475.731281;14;14;1905
85;3087.947178;14;14;1905
86;3061.079805;14;14;1905
87;3429.814486;14;14;1905
88;3012.150533;14;14;1905
89;2949.908903;14;14;1905
90;2785.115126;14;14;1905
91;2609.782533;14;14;1905
92;3027.363634;14;14;1905
93;2656.437919;14;14;1905
94;3116.68637;14;14;1905
95;2791.809186;14;14;1905
96;3018.032859;14;14;1905
97;2820.608495;14;14;1905
98;2818.620939;14;14;1905
99;2772.536377;14;14;1905
100;3717.480011;14;14;1905
101;2887.049826;14;14;1905
102;2850.333596;14;14;1905
103;2455.232055;14;14;1905
104;2810.287956;14;14;1905
105;2702.43727;14;14;1905
106;2529.381608;14;14;1905
107;2688.033963;14;14;1905
108;2329.133811;14;14;1905
109;2761.992878;14;14;1905
110;2725.691245;14;14;1905
111;2879.018967;14;14;1905
112;2736.924602;14;14;1905
113;2997.637005;14;14;1905
114;3169.019413;14;14;1905
115;2836.161564;14;14;1905
116;3170.524343;14;14;1905
117;2903.639164;14;14;1905
118;3277.814658;14;14;1905
119;2927.633626;14;14;1905
120;2945.803881;14;14;1905
121;2754.484114;14;14;1905
122;2867.888456;14;14;1905
123;3037.873851;14;14;1905
124;3314.230416;14;14;1905
125;2760.031442;14;14;1905
126;2849.575854;14;14;1905
127;2740.458642;14;14;1905
128;3029.536553;14;14;1905
129;2691.597789;14;14;1905
130;2616.847322;14;14;1905
131;2761.401436;14;14;1905
132;2555.249663;14;14;1905
133;2383.532013;14;14;1905
134;2492.732832;14;14;1905
135;2763.133726;14;14;1905
136;2787.550608;14;14;1905
