Id;Texec;expectedH;realH;neededMessages
0;49.378584;13;13;98
1;21.213654;13;13;98
2;17.561888;13;13;98
3;17.147443;13;13;98
4;11.70471;13;13;98
5;11.460323;13;13;98
6;9.643234;13;13;98
7;18.520451;13;13;98
8;12.331868;13;13;98
9;13.507684;13;13;98
10;11.918369;13;13;98
11;10.540474;13;13;98
12;10.769338;13;13;98
13;10.241815;13;13;98
14;8.543598;13;13;98
15;11.741324;13;13;98
16;17.684019;13;13;98
17;10.432041;13;13;98
18;10.26889;13;13;98
19;8.94567;13;13;98
20;7.441034;13;13;98
21;8.351264;13;13;98
22;7.364658;13;13;98
23;8.406131;13;13;98
24;7.302766;13;13;98
25;12.907886;13;13;98
26;10.672967;13;13;98
27;8.661112;13;13;98
28;8.853808;13;13;98
29;9.148544;13;13;98
30;8.409157;13;13;98
31;9.335683;13;13;98
32;8.390329;13;13;98
33;7.515603;13;13;98
34;7.245669;13;13;98
35;7.490021;13;13;98
36;7.200265;13;13;98
37;7.708867;13;13;98
38;7.342889;13;13;98
39;6.54493;13;13;98
40;7.005576;13;13;98
41;6.453383;13;13;98
42;6.027288;13;13;98
43;6.296449;13;13;98
44;5.725261;13;13;98
45;6.274825;13;13;98
46;6.195883;13;13;98
47;6.097998;13;13;98
48;6.546854;13;13;98
49;6.368512;13;13;98
50;6.493568;13;13;98
51;6.634636;13;13;98
52;6.50688;13;13;98
53;6.468537;13;13;98
54;6.345328;13;13;98
55;6.634771;13;13;98
56;6.951606;13;13;98
57;5.874818;13;13;98
58;6.392668;13;13;98
59;7.993094;13;13;98
60;7.274856;13;13;98
61;8.735037;13;13;98
62;7.945729;13;13;98
63;6.433816;13;13;98
64;6.50059;13;13;98
65;5.569774;13;13;98
66;6.255732;13;13;98
67;5.802815;13;13;98
68;5.352779;13;13;98
69;6.487694;13;13;98
70;6.611769;13;13;98
71;5.810736;13;13;98
72;6.159806;13;13;98
73;7.23087;13;13;98
74;13.54565;13;13;98
75;12.914734;13;13;98
76;5.60739;13;13;98
77;5.359267;13;13;98
78;5.400755;13;13;98
79;5.50966;13;13;98
80;5.876798;13;13;98
81;5.936429;13;13;98
82;6.161052;13;13;98
83;5.95209;13;13;98
84;5.566721;13;13;98
85;6.267276;13;13;98
86;6.707305;13;13;98
87;14.871843;13;13;98
88;7.084303;13;13;98
89;22.289711;13;13;98
90;5.662415;13;13;98
91;6.024792;13;13;98
92;5.642915;13;13;98
93;7.023291;13;13;98
94;5.242331;13;13;98
95;5.107705;13;13;98
96;5.58203;13;13;98
97;6.931194;13;13;98
98;21.158808;13;13;98
99;6.79386;13;13;98
100;5.750501;13;13;98
101;5.901562;13;13;98
102;13.49511;13;13;98
103;7.541466;13;13;98
104;6.659288;13;13;98
105;7.079281;13;13;98
106;5.835991;13;13;98
107;5.901772;13;13;98
108;4.868056;13;13;98
109;7.066073;13;13;98
110;5.512171;13;13;98
111;5.843864;13;13;98
112;5.680217;13;13;98
113;4.959255;13;13;98
114;5.431546;13;13;98
115;6.078569;13;13;98
116;5.907545;13;13;98
117;6.486418;13;13;98
118;9.331305;13;13;98
119;5.875194;13;13;98
120;5.62661;13;13;98
121;5.037;13;13;98
122;5.670118;13;13;98
123;5.4535;13;13;98
124;4.951471;13;13;98
125;5.72861;13;13;98
126;5.822525;13;13;98
127;6.815236;13;13;98
128;5.380379;13;13;98
129;4.909019;13;13;98
130;5.872106;13;13;98
131;5.418349;13;13;98
132;7.852397;13;13;98
133;6.457381;13;13;98
134;5.740149;13;13;98
135;5.708163;13;13;98
136;5.802664;13;13;98
137;5.622608;13;13;98
138;6.141587;13;13;98
139;4.791631;13;13;98
140;6.24949;13;13;98
141;7.141124;13;13;98
142;5.618932;13;13;98
143;5.282275;13;13;98
144;19.166538;13;13;98
145;5.672488;13;13;98
146;6.278938;13;13;98
147;5.629617;13;13;98
148;6.749985;13;13;98
149;5.250129;13;13;98
150;5.973103;13;13;98
151;5.417596;13;13;98
152;5.388679;13;13;98
153;6.113512;13;13;98
154;5.859249;13;13;98
155;6.365131;13;13;98
156;6.952852;13;13;98
157;5.959415;13;13;98
158;5.623655;13;13;98
159;5.551235;13;13;98
160;5.576692;13;13;98
161;5.615216;13;13;98
162;5.10876;13;13;98
163;5.233152;13;13;98
164;6.878039;13;13;98
165;6.454227;13;13;98
166;5.799956;13;13;98
167;6.498737;13;13;98
168;6.312416;13;13;98
169;5.450467;13;13;98
170;5.44173;13;13;98
171;5.430993;13;13;98
172;6.461181;13;13;98
173;5.33052;13;13;98
174;5.226892;13;13;98
175;5.876187;13;13;98
176;5.455331;13;13;98
177;5.641669;13;13;98
178;5.386841;13;13;98
179;5.466821;13;13;98
180;5.311675;13;13;98
181;5.378588;13;13;98
182;6.233313;13;13;98
183;5.12337;13;13;98
184;5.478002;13;13;98
185;4.387676;13;13;98
186;5.350004;13;13;98
187;5.997391;13;13;98
188;6.322469;13;13;98
189;5.34552;13;13;98
190;5.51269;13;13;98
191;5.163395;13;13;98
192;5.955506;13;13;98
193;5.677517;13;13;98
194;5.643919;13;13;98
195;5.65553;13;13;98
196;5.257147;13;13;98
197;5.669627;13;13;98
198;5.218872;13;13;98
199;6.137096;13;13;98
200;5.997078;13;13;98
201;5.220194;13;13;98
202;5.618036;13;13;98
203;5.628553;13;13;98
204;6.055037;13;13;98
205;5.319031;13;13;98
206;5.164027;13;13;98
207;5.087828;13;13;98
208;5.386675;13;13;98
209;5.200759;13;13;98
210;8.999253;13;13;98
211;5.552589;13;13;98
212;5.64543;13;13;98
213;5.037515;13;13;98
214;5.406878;13;13;98
215;5.710813;13;13;98
216;4.930309;13;13;98
217;5.002634;13;13;98
218;5.111518;13;13;98
219;5.304656;13;13;98
220;4.855153;13;13;98
221;5.965069;13;13;98
222;6.131078;13;13;98
223;5.732481;13;13;98
224;5.195042;13;13;98
225;5.53893;13;13;98
226;7.266316;13;13;98
227;5.221303;13;13;98
228;5.710661;13;13;98
229;5.199927;13;13;98
230;6.115769;13;13;98
231;5.210361;13;13;98
232;5.224561;13;13;98
233;41.657233;13;13;98
234;5.311424;13;13;98
235;5.408275;13;13;98
236;5.680401;13;13;98
237;5.281797;13;13;98
238;5.429447;13;13;98
239;5.241985;13;13;98
240;5.534857;13;13;98
241;5.540448;13;13;98
242;4.809364;13;13;98
243;5.152161;13;13;98
244;5.255315;13;13;98
245;5.574978;13;13;98
246;5.179035;13;13;98
247;8.319576;13;13;98
248;6.344559;13;13;98
249;5.245774;13;13;98
250;26.400801;13;13;98
251;47.975962;13;13;98
252;5.52059;13;13;98
253;5.107876;13;13;98
254;4.811016;13;13;98
255;5.96849;13;13;98
256;5.703791;13;13;98
257;5.474095;13;13;98
258;23.582876;13;13;98
259;5.398795;13;13;98
260;5.321597;13;13;98
261;5.072012;13;13;98
262;28.331269;13;13;98
263;5.974051;13;13;98
264;4.828383;13;13;98
265;6.081102;13;13;98
266;5.381118;13;13;98
267;4.744478;13;13;98
268;4.901122;13;13;98
269;5.896376;13;13;98
270;5.957937;13;13;98
271;5.353753;13;13;98
272;4.960421;13;13;98
273;5.12481;13;13;98
274;5.379419;13;13;98
275;5.56402;13;13;98
276;4.925041;13;13;98
277;5.22699;13;13;98
278;5.289289;13;13;98
279;6.596246;13;13;98
280;4.820102;13;13;98
281;5.346092;13;13;98
282;5.122335;13;13;98
283;4.775715;13;13;98
284;5.564275;13;13;98
285;5.833659;13;13;98
286;4.474214;13;13;98
287;5.677413;13;13;98
288;5.138561;13;13;98
289;4.808331;13;13;98
290;5.406352;13;13;98
291;4.867556;13;13;98
292;4.601114;13;13;98
293;4.968905;13;13;98
294;4.923222;13;13;98
295;4.623339;13;13;98
296;5.123221;13;13;98
297;5.891549;13;13;98
298;5.380374;13;13;98
299;5.067455;13;13;98
