Id;Texec;expectedH;realH;neededMessages
0;2678.859228;14;14;945
1;1446.08441;14;14;945
2;1693.571432;14;14;945
3;2865.541072;14;14;945
4;1972.586313;14;14;945
5;1570.929095;14;14;945
6;1334.187216;14;14;945
7;556.981714;14;14;945
8;575.096419;14;14;945
9;562.799268;14;14;945
10;557.673026;14;14;945
11;533.523653;14;14;945
12;525.630065;14;14;945
13;505.481806;14;14;945
14;474.976661;14;14;945
15;526.004507;14;14;945
16;491.522469;14;14;945
17;496.73239;14;14;945
18;542.531865;14;14;945
19;514.153435;14;14;945
20;506.358196;14;14;945
21;534.500434;14;14;945
22;581.379285;14;14;945
23;678.234261;14;14;945
24;605.81347;14;14;945
25;620.221483;14;14;945
26;545.794601;14;14;945
27;533.16518;14;14;945
28;512.980836;14;14;945
29;551.679743;14;14;945
30;465.113905;14;14;945
31;469.533761;14;14;945
32;472.046398;14;14;945
33;475.038762;14;14;945
34;480.736813;14;14;945
35;449.68331;14;14;945
36;464.319552;14;14;945
37;447.746853;14;14;945
38;450.287557;14;14;945
39;443.381406;14;14;945
40;438.798856;14;14;945
41;483.263993;14;14;945
42;455.355984;14;14;945
43;472.476437;14;14;945
44;437.153022;14;14;945
45;468.844416;14;14;945
46;444.283787;14;14;945
47;597.574576;14;14;945
48;589.627448;14;14;945
49;683.509031;14;14;945
50;757.929441;14;14;945
51;745.171264;14;14;945
52;642.407843;14;14;945
53;536.383177;14;14;945
54;483.662272;14;14;945
55;475.324685;14;14;945
56;460.862284;14;14;945
57;428.131313;14;14;945
58;562.175159;14;14;945
59;460.139712;14;14;945
60;455.387424;14;14;945
61;457.899641;14;14;945
62;433.434094;14;14;945
63;419.525166;14;14;945
64;467.20147;14;14;945
65;442.705317;14;14;945
66;446.938836;14;14;945
67;434.837592;14;14;945
68;456.678752;14;14;945
69;439.150436;14;14;945
70;442.716891;14;14;945
71;419.862995;14;14;945
72;438.932564;14;14;945
73;429.890176;14;14;945
74;436.248415;14;14;945
75;440.231428;14;14;945
76;437.485469;14;14;945
77;443.483911;14;14;945
78;446.865159;14;14;945
79;424.802387;14;14;945
80;438.707656;14;14;945
81;467.75408;14;14;945
82;471.212775;14;14;945
83;481.869157;14;14;945
84;496.378907;14;14;945
85;483.390785;14;14;945
86;496.19679;14;14;945
87;460.952345;14;14;945
88;557.318582;14;14;945
89;536.520301;14;14;945
90;631.021721;14;14;945
91;620.796724;14;14;945
92;523.925106;14;14;945
93;596.10196;14;14;945
94;570.440417;14;14;945
95;547.162845;14;14;945
96;501.247121;14;14;945
97;454.078908;14;14;945
98;557.719079;14;14;945
99;454.885378;14;14;945
100;442.039707;14;14;945
101;433.238952;14;14;945
102;431.38113;14;14;945
103;436.310023;14;14;945
104;423.856436;14;14;945
105;448.334817;14;14;945
106;436.162635;14;14;945
107;413.811728;14;14;945
108;426.865127;14;14;945
109;452.927211;14;14;945
110;480.006786;14;14;945
111;475.526804;14;14;945
112;432.530555;14;14;945
113;424.53995;14;14;945
114;430.054739;14;14;945
115;441.633789;14;14;945
116;449.356339;14;14;945
117;429.079585;14;14;945
118;406.442687;14;14;945
119;464.84811;14;14;945
120;483.511141;14;14;945
121;428.424225;14;14;945
122;426.256613;14;14;945
123;480.168531;14;14;945
124;464.158502;14;14;945
125;557.563626;14;14;945
126;484.927526;14;14;945
127;518.195822;14;14;945
128;643.851621;14;14;945
129;563.366594;14;14;945
130;484.722491;14;14;945
131;557.237435;14;14;945
132;469.471315;14;14;945
133;539.706199;14;14;945
134;574.45579;14;14;945
135;474.46835;14;14;945
136;624.364784;14;14;945
137;456.810451;14;14;945
138;492.584837;14;14;945
139;472.952276;14;14;945
140;445.475574;14;14;945
141;445.192248;14;14;945
142;430.241135;14;14;945
143;463.785523;14;14;945
144;419.380647;14;14;945
145;415.106962;14;14;945
146;424.821212;14;14;945
147;442.827116;14;14;945
148;438.050959;14;14;945
149;412.894297;14;14;945
150;428.353841;14;14;945
151;430.415127;14;14;945
152;439.47479;14;14;945
153;422.126854;14;14;945
154;406.922212;14;14;945
155;437.528175;14;14;945
156;421.749316;14;14;945
157;477.33508;14;14;945
158;502.608124;14;14;945
159;487.241714;14;14;945
160;482.228971;14;14;945
161;473.036348;14;14;945
162;447.125209;14;14;945
163;465.306517;14;14;945
164;509.473116;14;14;945
165;543.593518;14;14;945
166;496.735231;14;14;945
167;665.896192;14;14;945
168;537.340949;14;14;945
169;478.409412;14;14;945
170;448.842301;14;14;945
171;515.308745;14;14;945
172;496.209139;14;14;945
173;536.557693;14;14;945
174;476.333792;14;14;945
175;485.725006;14;14;945
176;497.310386;14;14;945
177;426.066386;14;14;945
178;444.853884;14;14;945
179;443.734165;14;14;945
180;456.329383;14;14;945
181;428.323675;14;14;945
182;433.740523;14;14;945
183;417.241375;14;14;945
184;425.284028;14;14;945
185;418.694577;14;14;945
186;414.719462;14;14;945
187;420.570278;14;14;945
188;417.49383;14;14;945
189;418.299367;14;14;945
190;406.867169;14;14;945
191;435.376822;14;14;945
192;433.903988;14;14;945
193;425.708445;14;14;945
194;427.685663;14;14;945
195;421.419549;14;14;945
196;449.419937;14;14;945
197;425.594078;14;14;945
198;437.045907;14;14;945
199;415.659197;14;14;945
200;430.965677;14;14;945
201;419.852238;14;14;945
202;418.066907;14;14;945
203;423.305433;14;14;945
204;443.978864;14;14;945
205;424.212897;14;14;945
206;422.56545;14;14;945
207;427.692732;14;14;945
208;426.156428;14;14;945
209;439.326261;14;14;945
210;431.81382;14;14;945
211;416.120042;14;14;945
212;414.669741;14;14;945
213;442.637162;14;14;945
214;429.354577;14;14;945
215;412.558845;14;14;945
216;425.683838;14;14;945
217;447.655646;14;14;945
218;496.380133;14;14;945
219;416.12725;14;14;945
220;444.031028;14;14;945
221;450.465166;14;14;945
222;418.05714;14;14;945
223;503.859784;14;14;945
