Id;Texec;expectedH;realH;neededMessages;processedMessages
0;425.726485;8;8;279;310
1;204.954038;8;8;279;310
2;252.03559;8;8;279;310
3;248.068177;8;8;279;310
4;227.703902;8;8;279;310
5;136.97533;8;8;279;310
6;104.669204;8;8;279;310
7;100.35819;8;8;279;310
8;173.718833;8;8;279;310
9;223.931203;8;8;279;310
10;945.022782;8;8;279;310
11;547.683354;8;8;279;310
12;342.6085;8;8;279;310
13;237.596025;8;8;279;310
14;169.082993;8;8;279;310
15;105.919778;8;8;279;310
16;93.178617;8;8;279;310
17;159.863432;8;8;279;310
18;129.546016;8;8;279;310
19;89.323115;8;8;279;310
20;170.944455;8;8;279;310
21;201.926418;8;8;279;310
22;101.757456;8;8;279;310
23;99.637678;8;8;279;310
24;74.866794;8;8;279;310
25;98.525816;8;8;279;310
26;98.610103;8;8;279;310
27;82.257938;8;8;279;310
28;80.921648;8;8;279;310
29;92.710379;8;8;279;310
30;66.95474;8;8;279;310
31;71.208146;8;8;279;310
32;74.867577;8;8;279;310
33;62.608647;8;8;279;310
34;56.371571;8;8;279;310
35;57.328394;8;8;279;310
36;54.62811;8;8;279;310
37;56.359404;8;8;279;310
38;75.05227;8;8;279;310
39;58.214419;8;8;279;310
40;65.015626;8;8;279;310
41;58.471176;8;8;279;310
42;64.867981;8;8;279;310
43;59.736666;8;8;279;310
44;58.310283;8;8;279;310
45;57.155921;8;8;279;310
46;55.089174;8;8;279;310
47;58.127095;8;8;279;310
48;56.954021;8;8;279;310
49;55.928286;8;8;279;310
50;60.138209;8;8;279;310
51;55.614822;8;8;279;310
52;53.539434;8;8;279;310
53;55.083891;8;8;279;310
54;55.658442;8;8;279;310
55;54.373892;8;8;279;310
56;54.335443;8;8;279;310
57;54.664533;8;8;279;310
58;56.247172;8;8;279;310
59;54.742136;8;8;279;310
60;57.525351;8;8;279;310
61;57.730991;8;8;279;310
62;54.896796;8;8;279;310
63;54.257249;8;8;279;310
64;55.709252;8;8;279;310
65;55.994654;8;8;279;310
66;65.587693;8;8;279;310
67;63.623501;8;8;279;310
68;54.324291;8;8;279;310
69;54.134976;8;8;279;310
70;53.629025;8;8;279;310
71;51.693022;8;8;279;310
72;52.693817;8;8;279;310
73;57.120414;8;8;279;310
74;53.116648;8;8;279;310
75;55.22215;8;8;279;310
76;55.432837;8;8;279;310
77;53.086801;8;8;279;310
78;62.397227;8;8;279;310
79;51.528192;8;8;279;310
80;55.946228;8;8;279;310
81;56.59258;8;8;279;310
82;62.036649;8;8;279;310
83;98.26096;8;8;279;310
84;59.621898;8;8;279;310
85;101.249976;8;8;279;310
86;126.436923;8;8;279;310
87;77.258408;8;8;279;310
88;52.075426;8;8;279;310
89;195.810172;8;8;279;310
90;112.767952;8;8;279;310
91;115.216019;8;8;279;310
92;110.415044;8;8;279;310
93;87.037074;8;8;279;310
94;127.385902;8;8;279;310
95;83.777748;8;8;279;310
96;75.501494;8;8;279;310
97;51.034265;8;8;279;310
98;55.503751;8;8;279;310
99;94.953581;8;8;279;310
100;52.584232;8;8;279;310
101;61.005466;8;8;279;310
102;52.747963;8;8;279;310
103;52.219717;8;8;279;310
104;67.946823;8;8;279;310
105;51.043338;8;8;279;310
106;52.906479;8;8;279;310
107;52.121351;8;8;279;310
108;54.370231;8;8;279;310
109;55.618389;8;8;279;310
110;52.253612;8;8;279;310
111;56.114342;8;8;279;310
112;61.14489;8;8;279;310
113;51.573692;8;8;279;310
114;51.976963;8;8;279;310
115;51.842661;8;8;279;310
116;52.499802;8;8;279;310
117;56.242421;8;8;279;310
118;53.816477;8;8;279;310
119;54.552697;8;8;279;310
120;51.660279;8;8;279;310
121;51.917327;8;8;279;310
122;57.801234;8;8;279;310
123;56.096996;8;8;279;310
124;58.762401;8;8;279;310
125;52.252626;8;8;279;310
126;51.225408;8;8;279;310
127;53.208902;8;8;279;310
128;51.700494;8;8;279;310
129;48.933296;8;8;279;310
130;49.159385;8;8;279;310
131;49.922655;8;8;279;310
132;56.049181;8;8;279;310
133;52.913173;8;8;279;310
134;49.44927;8;8;279;310
135;49.351478;8;8;279;310
136;51.119885;8;8;279;310
137;50.749603;8;8;279;310
138;49.280097;8;8;279;310
139;48.109296;8;8;279;310
140;49.72237;8;8;279;310
141;50.006613;8;8;279;310
142;48.889555;8;8;279;310
143;49.83579;8;8;279;310
144;49.142697;8;8;279;310
145;50.577387;8;8;279;310
146;53.468726;8;8;279;310
147;49.301488;8;8;279;310
148;53.183969;8;8;279;310
149;51.909407;8;8;279;310
150;48.587929;8;8;279;310
151;48.27996;8;8;279;310
152;54.855914;8;8;279;310
153;49.881103;8;8;279;310
154;47.48659;8;8;279;310
155;48.251573;8;8;279;310
156;48.942244;8;8;279;310
157;50.509149;8;8;279;310
158;47.051027;8;8;279;310
159;48.900614;8;8;279;310
160;46.610763;8;8;279;310
161;47.582423;8;8;279;310
162;46.657243;8;8;279;310
163;47.314287;8;8;279;310
164;71.363547;8;8;279;310
165;49.582627;8;8;279;310
166;96.922172;8;8;279;310
167;92.74493;8;8;279;310
168;53.429179;8;8;279;310
169;48.661953;8;8;279;310
170;198.498586;8;8;279;310
171;73.80384;8;8;279;310
172;144.203106;8;8;279;310
173;103.756186;8;8;279;310
174;81.402912;8;8;279;310
175;125.440489;8;8;279;310
176;132.705255;8;8;279;310
177;81.460577;8;8;279;310
178;130.280817;8;8;279;310
179;126.195945;8;8;279;310
180;49.444121;8;8;279;310
181;82.976747;8;8;279;310
182;49.723458;8;8;279;310
183;64.605976;8;8;279;310
184;48.662393;8;8;279;310
185;50.311139;8;8;279;310
186;48.016239;8;8;279;310
187;49.02881;8;8;279;310
188;49.518932;8;8;279;310
189;48.971969;8;8;279;310
190;47.096676;8;8;279;310
191;50.207922;8;8;279;310
192;47.647596;8;8;279;310
193;49.477086;8;8;279;310
194;53.729033;8;8;279;310
195;53.627672;8;8;279;310
196;49.025104;8;8;279;310
197;47.985133;8;8;279;310
198;50.787199;8;8;279;310
199;60.57315;8;8;279;310
200;56.457539;8;8;279;310
201;52.130579;8;8;279;310
202;47.74249;8;8;279;310
203;48.830715;8;8;279;310
204;47.537394;8;8;279;310
205;49.638358;8;8;279;310
206;48.647495;8;8;279;310
207;48.662044;8;8;279;310
208;51.150071;8;8;279;310
209;49.67346;8;8;279;310
210;47.806536;8;8;279;310
211;48.50707;8;8;279;310
212;48.699252;8;8;279;310
213;48.940086;8;8;279;310
214;47.793487;8;8;279;310
215;47.565287;8;8;279;310
216;49.083022;8;8;279;310
217;47.901101;8;8;279;310
218;49.167664;8;8;279;310
219;47.213624;8;8;279;310
220;49.748986;8;8;279;310
221;47.775188;8;8;279;310
222;48.028373;8;8;279;310
223;51.920075;8;8;279;310
224;48.835616;8;8;279;310
225;47.828516;8;8;279;310
226;49.17687;8;8;279;310
227;48.320022;8;8;279;310
228;48.480873;8;8;279;310
229;58.361339;8;8;279;310
230;48.916383;8;8;279;310
231;48.072249;8;8;279;310
232;48.190943;8;8;279;310
233;45.920463;8;8;279;310
234;48.313607;8;8;279;310
235;49.121737;8;8;279;310
236;46.052284;8;8;279;310
237;50.549937;8;8;279;310
238;54.939947;8;8;279;310
239;47.565539;8;8;279;310
240;44.571246;8;8;279;310
241;47.850044;8;8;279;310
242;47.102848;8;8;279;310
243;48.33217;8;8;279;310
244;64.176967;8;8;279;310
245;46.583893;8;8;279;310
246;47.028045;8;8;279;310
247;47.710304;8;8;279;310
248;46.341607;8;8;279;310
249;47.387974;8;8;279;310
250;50.208811;8;8;279;310
251;53.027883;8;8;279;310
252;56.659763;8;8;279;310
253;50.606356;8;8;279;310
254;48.674177;8;8;279;310
255;64.849735;8;8;279;310
256;54.311086;8;8;279;310
257;46.939063;8;8;279;310
258;46.319308;8;8;279;310
259;46.184436;8;8;279;310
260;46.972355;8;8;279;310
261;47.311053;8;8;279;310
262;48.926688;8;8;279;310
263;47.738902;8;8;279;310
264;47.286518;8;8;279;310
265;49.781546;8;8;279;310
266;50.141615;8;8;279;310
267;48.152283;8;8;279;310
268;47.387983;8;8;279;310
269;64.34192;8;8;279;310
270;51.162561;8;8;279;310
271;49.912099;8;8;279;310
272;49.107358;8;8;279;310
273;70.426085;8;8;279;310
274;77.053598;8;8;279;310
275;69.387699;8;8;279;310
276;68.712047;8;8;279;310
277;50.561668;8;8;279;310
278;48.813884;8;8;279;310
279;48.473415;8;8;279;310
280;47.503512;8;8;279;310
281;48.277621;8;8;279;310
282;52.222918;8;8;279;310
283;46.69769;8;8;279;310
284;48.507095;8;8;279;310
285;88.279719;8;8;279;310
286;50.519283;8;8;279;310
287;74.745707;8;8;279;310
288;74.731862;8;8;279;310
289;47.019382;8;8;279;310
290;48.121681;8;8;279;310
291;53.118316;8;8;279;310
292;47.383069;8;8;279;310
293;47.732492;8;8;279;310
294;48.048153;8;8;279;310
295;49.960672;8;8;279;310
296;74.101205;8;8;279;310
297;49.274798;8;8;279;310
298;59.011783;8;8;279;310
299;81.709514;8;8;279;310
