Id;Texec;expectedH;realH;neededMessages;processedMessages
0;423.912903;8;8;279;310
1;205.834303;8;8;279;310
2;246.715328;8;8;279;310
3;237.721767;8;8;279;310
4;229.285207;8;8;279;310
5;135.472092;8;8;279;310
6;104.405904;8;8;279;310
7;100.197333;8;8;279;310
8;172.153199;8;8;279;310
9;219.006327;8;8;279;310
10;969.876003;8;8;279;310
11;564.438329;8;8;279;310
12;335.95403;8;8;279;310
13;237.731842;8;8;279;310
14;165.910977;8;8;279;310
15;100.479983;8;8;279;310
16;92.122438;8;8;279;310
17;160.603732;8;8;279;310
18;128.089282;8;8;279;310
19;88.826445;8;8;279;310
20;172.920113;8;8;279;310
21;202.497753;8;8;279;310
22;101.518173;8;8;279;310
23;98.039755;8;8;279;310
24;76.576758;8;8;279;310
25;99.887774;8;8;279;310
26;98.761949;8;8;279;310
27;82.099616;8;8;279;310
28;78.318061;8;8;279;310
29;92.308024;8;8;279;310
30;67.17669;8;8;279;310
31;72.203332;8;8;279;310
32;75.050054;8;8;279;310
33;61.236048;8;8;279;310
34;55.929077;8;8;279;310
35;56.865911;8;8;279;310
36;53.977279;8;8;279;310
37;55.668577;8;8;279;310
38;73.466989;8;8;279;310
39;57.88044;8;8;279;310
40;64.328267;8;8;279;310
41;58.209189;8;8;279;310
42;64.761407;8;8;279;310
43;58.183803;8;8;279;310
44;59.123915;8;8;279;310
45;57.535049;8;8;279;310
46;54.474444;8;8;279;310
47;60.402818;8;8;279;310
48;56.422764;8;8;279;310
49;56.042262;8;8;279;310
50;58.848195;8;8;279;310
51;54.92375;8;8;279;310
52;52.794601;8;8;279;310
53;54.480158;8;8;279;310
54;55.989947;8;8;279;310
55;54.102324;8;8;279;310
56;54.110558;8;8;279;310
57;54.018927;8;8;279;310
58;55.800495;8;8;279;310
59;56.36472;8;8;279;310
60;56.929714;8;8;279;310
61;55.586741;8;8;279;310
62;54.429118;8;8;279;310
63;54.205367;8;8;279;310
64;55.53704;8;8;279;310
65;55.528712;8;8;279;310
66;65.299553;8;8;279;310
67;64.968703;8;8;279;310
68;53.330178;8;8;279;310
69;53.870371;8;8;279;310
70;53.496838;8;8;279;310
71;51.358486;8;8;279;310
72;52.434648;8;8;279;310
73;57.744816;8;8;279;310
74;52.855536;8;8;279;310
75;54.419031;8;8;279;310
76;56.015221;8;8;279;310
77;52.350733;8;8;279;310
78;62.031591;8;8;279;310
79;51.415777;8;8;279;310
80;55.476574;8;8;279;310
81;57.885139;8;8;279;310
82;61.970149;8;8;279;310
83;97.998717;8;8;279;310
84;59.347938;8;8;279;310
85;102.401839;8;8;279;310
86;126.467123;8;8;279;310
87;78.46628;8;8;279;310
88;51.778117;8;8;279;310
89;195.073611;8;8;279;310
90;112.148267;8;8;279;310
91;114.979467;8;8;279;310
92;109.48934;8;8;279;310
93;86.696825;8;8;279;310
94;111.135615;8;8;279;310
95;84.762237;8;8;279;310
96;75.70593;8;8;279;310
97;51.838608;8;8;279;310
98;55.734165;8;8;279;310
99;95.069479;8;8;279;310
100;54.448017;8;8;279;310
101;61.270329;8;8;279;310
102;52.765696;8;8;279;310
103;53.863163;8;8;279;310
104;66.505397;8;8;279;310
105;50.799824;8;8;279;310
106;53.099159;8;8;279;310
107;52.202357;8;8;279;310
108;54.487353;8;8;279;310
