Id;Texec;expectedH;realH;neededMessages;processedMessages
0;96.321763;8;8;135;150
1;62.544806;8;8;135;150
2;42.42161;8;8;135;150
3;27.264439;8;8;135;150
4;25.825203;8;8;135;150
5;37.914623;8;8;135;150
6;67.399627;8;8;135;150
7;51.335004;8;8;135;150
8;51.483375;8;8;135;150
9;36.812583;8;8;135;150
10;39.813341;8;8;135;150
11;29.523032;8;8;135;150
12;24.699627;8;8;135;150
13;25.863385;8;8;135;150
14;19.512235;8;8;135;150
15;15.798947;8;8;135;150
16;20.033086;8;8;135;150
17;20.305228;8;8;135;150
18;27.802262;8;8;135;150
19;32.320299;8;8;135;150
20;30.508713;8;8;135;150
21;38.769023;8;8;135;150
22;41.340381;8;8;135;150
23;27.491458;8;8;135;150
24;23.076224;8;8;135;150
25;25.527339;8;8;135;150
26;14.868745;8;8;135;150
27;14.457213;8;8;135;150
28;17.314205;8;8;135;150
29;21.008667;8;8;135;150
30;13.214491;8;8;135;150
31;15.687068;8;8;135;150
32;13.688134;8;8;135;150
33;14.756857;8;8;135;150
34;12.30299;8;8;135;150
35;17.514475;8;8;135;150
36;19.467892;8;8;135;150
37;18.552228;8;8;135;150
38;16.274247;8;8;135;150
39;12.978156;8;8;135;150
40;13.169982;8;8;135;150
41;12.682172;8;8;135;150
42;19.316295;8;8;135;150
43;20.41686;8;8;135;150
44;17.612022;8;8;135;150
45;13.514172;8;8;135;150
46;11.796505;8;8;135;150
47;10.625476;8;8;135;150
48;11.743136;8;8;135;150
49;11.487084;8;8;135;150
50;24.954797;8;8;135;150
51;22.097593;8;8;135;150
52;10.476271;8;8;135;150
53;35.078423;8;8;135;150
54;26.638085;8;8;135;150
55;26.669415;8;8;135;150
56;23.084027;8;8;135;150
57;31.118924;8;8;135;150
58;41.771025;8;8;135;150
59;10.347287;8;8;135;150
60;10.453756;8;8;135;150
61;9.477119;8;8;135;150
62;22.398432;8;8;135;150
63;10.551267;8;8;135;150
64;10.855661;8;8;135;150
65;10.635415;8;8;135;150
66;10.069467;8;8;135;150
67;10.119957;8;8;135;150
68;9.830739;8;8;135;150
69;11.133816;8;8;135;150
70;12.521199;8;8;135;150
71;9.366521;8;8;135;150
72;11.287521;8;8;135;150
73;9.781271;8;8;135;150
74;10.002664;8;8;135;150
75;11.520365;8;8;135;150
76;11.204587;8;8;135;150
77;10.851669;8;8;135;150
78;10.398986;8;8;135;150
79;10.837446;8;8;135;150
80;11.279413;8;8;135;150
81;10.610974;8;8;135;150
82;13.063889;8;8;135;150
83;11.959962;8;8;135;150
84;10.368448;8;8;135;150
85;10.455319;8;8;135;150
86;10.033395;8;8;135;150
87;24.618271;8;8;135;150
88;11.112351;8;8;135;150
89;9.360343;8;8;135;150
90;10.554325;8;8;135;150
91;10.111616;8;8;135;150
92;10.107298;8;8;135;150
93;10.556752;8;8;135;150
94;9.661046;8;8;135;150
95;10.820136;8;8;135;150
96;9.62358;8;8;135;150
97;10.29622;8;8;135;150
98;11.524239;8;8;135;150
99;12.520279;8;8;135;150
100;10.247692;8;8;135;150
101;10.244181;8;8;135;150
102;10.401506;8;8;135;150
103;11.994821;8;8;135;150
104;9.943925;8;8;135;150
105;9.871491;8;8;135;150
106;10.098919;8;8;135;150
