Id;Texec;expectedH;realH;neededMessages;processedMessages
0;153.722874;21;21;264;345
1;78.622147;21;21;264;345
2;90.145864;21;21;264;345
3;139.227301;21;21;264;345
4;70.868155;21;21;264;345
5;54.203012;21;21;264;345
6;35.758035;21;21;264;345
7;46.100688;21;21;264;345
8;76.514495;21;21;264;345
9;168.684915;21;21;264;345
10;175.509786;21;21;264;345
11;128.470054;21;21;264;345
12;67.041436;21;21;264;345
13;49.612088;21;21;264;345
14;35.098946;21;21;264;345
15;39.272106;21;21;264;345
16;35.306089;21;21;264;345
17;30.445808;21;21;264;345
18;65.862506;21;21;264;345
19;33.551922;21;21;264;345
20;21.071489;21;21;264;345
21;23.185252;21;21;264;345
22;23.824736;21;21;264;345
23;22.062844;21;21;264;345
24;20.617385;21;21;264;345
25;19.762853;21;21;264;345
26;19.160928;21;21;264;345
27;20.536442;21;21;264;345
28;19.298875;21;21;264;345
29;26.734455;21;21;264;345
30;19.084575;21;21;264;345
31;19.928776;21;21;264;345
32;20.902687;21;21;264;345
33;35.249088;21;21;264;345
34;38.812156;21;21;264;345
35;74.090546;21;21;264;345
36;26.041164;21;21;264;345
37;19.508815;21;21;264;345
38;28.798239;21;21;264;345
39;19.517542;21;21;264;345
40;19.022688;21;21;264;345
41;28.972046;21;21;264;345
42;19.008201;21;21;264;345
43;17.783094;21;21;264;345
44;18.83887;21;21;264;345
45;18.888162;21;21;264;345
46;18.287523;21;21;264;345
47;18.65772;21;21;264;345
48;17.936365;21;21;264;345
49;18.95885;21;21;264;345
50;17.959978;21;21;264;345
51;19.131777;21;21;264;345
52;19.28142;21;21;264;345
53;19.33962;21;21;264;345
54;18.082162;21;21;264;345
55;18.196976;21;21;264;345
56;18.844641;21;21;264;345
57;17.524976;21;21;264;345
58;18.881813;21;21;264;345
59;18.004285;21;21;264;345
60;18.146754;21;21;264;345
61;19.902756;21;21;264;345
62;18.464982;21;21;264;345
63;18.585153;21;21;264;345
64;20.261054;21;21;264;345
65;18.303113;21;21;264;345
66;20.720858;21;21;264;345
67;18.406309;21;21;264;345
68;18.230656;21;21;264;345
69;19.431997;21;21;264;345
70;18.73428;21;21;264;345
71;18.097515;21;21;264;345
72;17.905097;21;21;264;345
73;18.404811;21;21;264;345
74;18.683061;21;21;264;345
75;18.357071;21;21;264;345
76;18.02569;21;21;264;345
77;19.131718;21;21;264;345
78;18.663188;21;21;264;345
79;18.444327;21;21;264;345
80;18.696317;21;21;264;345
81;18.974967;21;21;264;345
82;19.84311;21;21;264;345
83;18.157435;21;21;264;345
84;18.033172;21;21;264;345
85;18.510259;21;21;264;345
86;17.563151;21;21;264;345
87;17.359191;21;21;264;345
88;17.871614;21;21;264;345
89;17.713593;21;21;264;345
90;18.026456;21;21;264;345
91;18.782278;21;21;264;345
92;18.429321;21;21;264;345
93;17.83801;21;21;264;345
94;39.600842;21;21;264;345
95;107.13078;21;21;264;345
96;68.118466;21;21;264;345
97;127.571003;21;21;264;345
98;17.705483;21;21;264;345
99;65.568089;21;21;264;345
100;18.447831;21;21;264;345
101;18.50859;21;21;264;345
102;18.322797;21;21;264;345
103;18.431664;21;21;264;345
104;18.522193;21;21;264;345
105;17.034328;21;21;264;345
106;17.806973;21;21;264;345
107;37.915191;21;21;264;345
108;18.780078;21;21;264;345
109;18.072163;21;21;264;345
110;18.629363;21;21;264;345
111;18.920737;21;21;264;345
112;18.245103;21;21;264;345
113;17.064955;21;21;264;345
114;17.418223;21;21;264;345
115;17.959799;21;21;264;345
116;16.979661;21;21;264;345
117;18.591713;21;21;264;345
118;17.946376;21;21;264;345
119;22.145827;21;21;264;345
120;17.862865;21;21;264;345
121;17.867664;21;21;264;345
122;18.229104;21;21;264;345
123;17.927095;21;21;264;345
124;18.830532;21;21;264;345
125;18.389149;21;21;264;345
126;17.920681;21;21;264;345
127;18.626016;21;21;264;345
128;18.128828;21;21;264;345
129;17.195329;21;21;264;345
130;18.681303;21;21;264;345
131;17.973193;21;21;264;345
132;17.247293;21;21;264;345
133;17.535704;21;21;264;345
134;17.761394;21;21;264;345
135;18.665868;21;21;264;345
136;18.238087;21;21;264;345
137;18.844815;21;21;264;345
138;18.016713;21;21;264;345
139;18.073434;21;21;264;345
140;17.07929;21;21;264;345
141;18.711452;21;21;264;345
142;18.869418;21;21;264;345
143;17.063069;21;21;264;345
144;17.951242;21;21;264;345
145;17.077399;21;21;264;345
146;17.437796;21;21;264;345
147;17.207048;21;21;264;345
148;17.610074;21;21;264;345
149;17.042757;21;21;264;345
150;17.43532;21;21;264;345
151;17.791518;21;21;264;345
152;18.301745;21;21;264;345
153;16.982724;21;21;264;345
154;17.647529;21;21;264;345
155;18.202106;21;21;264;345
156;17.845355;21;21;264;345
157;18.951077;21;21;264;345
158;18.130853;21;21;264;345
159;17.401719;21;21;264;345
160;35.090924;21;21;264;345
161;72.810681;21;21;264;345
162;87.75936;21;21;264;345
163;82.542003;21;21;264;345
164;16.887602;21;21;264;345
165;56.025998;21;21;264;345
166;17.104238;21;21;264;345
167;18.239987;21;21;264;345
168;17.006236;21;21;264;345
169;16.908102;21;21;264;345
170;17.169196;21;21;264;345
171;16.837348;21;21;264;345
172;17.553561;21;21;264;345
173;17.281461;21;21;264;345
174;17.26919;21;21;264;345
175;16.648151;21;21;264;345
176;38.920469;21;21;264;345
177;17.635056;21;21;264;345
178;17.703963;21;21;264;345
179;17.458113;21;21;264;345
180;16.851341;21;21;264;345
181;17.618486;21;21;264;345
