Id;Texec;expectedH;realH;neededMessages;processedMessages
0;154.895914;21;21;264;345
1;79.923934;21;21;264;345
2;92.632031;21;21;264;345
3;136.941616;21;21;264;345
4;83.703621;21;21;264;345
5;53.983576;21;21;264;345
6;34.949872;21;21;264;345
7;46.201458;21;21;264;345
8;76.250394;21;21;264;345
9;167.227898;21;21;264;345
10;162.530621;21;21;264;345
11;128.100471;21;21;264;345
12;67.359457;21;21;264;345
13;49.60707;21;21;264;345
14;34.256663;21;21;264;345
15;37.290396;21;21;264;345
16;33.425886;21;21;264;345
17;29.602535;21;21;264;345
18;73.96219;21;21;264;345
19;32.984717;21;21;264;345
20;20.06277;21;21;264;345
21;22.370379;21;21;264;345
22;23.458834;21;21;264;345
23;21.187824;21;21;264;345
24;19.34539;21;21;264;345
25;18.419681;21;21;264;345
26;18.383761;21;21;264;345
27;19.036825;21;21;264;345
28;17.963831;21;21;264;345
29;25.445837;21;21;264;345
30;18.167531;21;21;264;345
31;19.080759;21;21;264;345
32;19.06236;21;21;264;345
33;34.412526;21;21;264;345
34;45.941278;21;21;264;345
35;73.51942;21;21;264;345
36;25.184015;21;21;264;345
37;19.229266;21;21;264;345
38;28.532197;21;21;264;345
39;18.297238;21;21;264;345
40;18.568157;21;21;264;345
41;28.013624;21;21;264;345
42;17.983683;21;21;264;345
43;17.718153;21;21;264;345
44;17.747923;21;21;264;345
45;17.626718;21;21;264;345
46;17.72487;21;21;264;345
47;18.225098;21;21;264;345
48;17.390892;21;21;264;345
49;18.437446;21;21;264;345
50;17.415064;21;21;264;345
51;18.153754;21;21;264;345
52;17.932522;21;21;264;345
53;18.156427;21;21;264;345
54;17.412344;21;21;264;345
55;17.359751;21;21;264;345
56;17.770264;21;21;264;345
57;17.338426;21;21;264;345
58;18.219141;21;21;264;345
59;17.625641;21;21;264;345
60;17.92737;21;21;264;345
61;17.42648;21;21;264;345
62;17.670514;21;21;264;345
63;17.634178;21;21;264;345
64;19.045961;21;21;264;345
65;17.551556;21;21;264;345
66;19.532194;21;21;264;345
67;17.623888;21;21;264;345
68;17.345058;21;21;264;345
69;18.920459;21;21;264;345
70;17.816005;21;21;264;345
71;17.077203;21;21;264;345
72;16.427003;21;21;264;345
73;17.416608;21;21;264;345
74;17.70329;21;21;264;345
75;17.372219;21;21;264;345
76;17.154121;21;21;264;345
77;20.046661;21;21;264;345
78;17.038362;21;21;264;345
79;17.275845;21;21;264;345
80;17.84621;21;21;264;345
81;17.635005;21;21;264;345
82;18.332844;21;21;264;345
83;16.943548;21;21;264;345
84;17.681497;21;21;264;345
85;17.13305;21;21;264;345
86;16.923044;21;21;264;345
87;16.354796;21;21;264;345
88;16.412589;21;21;264;345
89;17.314359;21;21;264;345
90;16.926047;21;21;264;345
91;18.140928;21;21;264;345
92;17.170963;21;21;264;345
93;17.331993;21;21;264;345
94;38.327524;21;21;264;345
95;110.368536;21;21;264;345
96;63.107585;21;21;264;345
97;127.277797;21;21;264;345
